basin_id,kge,seed,nn_model,variant
5495000,0.6477376795491365,111,DeterministicParamModel,deterministic
5495500,0.8015136213967214,111,DeterministicParamModel,deterministic
5501000,0.7995145055632307,111,DeterministicParamModel,deterministic
5503800,0.7362920604751062,111,DeterministicParamModel,deterministic
5507600,0.7974056731682606,111,DeterministicParamModel,deterministic
5508805,0.809645710564367,111,DeterministicParamModel,deterministic
5525500,0.808075947235245,111,DeterministicParamModel,deterministic
5556500,0.8009399906745681,111,DeterministicParamModel,deterministic
5584500,0.7219220068000443,111,DeterministicParamModel,deterministic
5591550,0.6364669144614459,111,DeterministicParamModel,deterministic
5592050,0.7884715376880498,111,DeterministicParamModel,deterministic
5592575,0.6029417060954327,111,DeterministicParamModel,deterministic
5593575,0.7932113238210947,111,DeterministicParamModel,deterministic
5593900,0.5439697760131131,111,DeterministicParamModel,deterministic
5595730,0.644251621474448,111,DeterministicParamModel,deterministic
7291000,0.4981262846490552,111,DeterministicParamModel,deterministic
7359610,0.7759667249291942,111,DeterministicParamModel,deterministic
7362100,0.7298719301529218,111,DeterministicParamModel,deterministic
7362587,0.6833753543761576,111,DeterministicParamModel,deterministic
7375000,0.6395860467573009,111,DeterministicParamModel,deterministic
8013000,0.7388650422795264,111,DeterministicParamModel,deterministic
8014500,0.6985005171331886,111,DeterministicParamModel,deterministic
5057200,0.3596480452607583,111,DeterministicParamModel,deterministic
5120500,-5.557585090595127,111,DeterministicParamModel,deterministic
6221400,0.1177345482633243,111,DeterministicParamModel,deterministic
6224000,0.1825553525833014,111,DeterministicParamModel,deterministic
6278300,0.4931101454494264,111,DeterministicParamModel,deterministic
6280300,0.6430152369753,111,DeterministicParamModel,deterministic
6289000,0.6410921865856971,111,DeterministicParamModel,deterministic
6291500,0.4050840440395089,111,DeterministicParamModel,deterministic
6311000,0.5078525513025857,111,DeterministicParamModel,deterministic
6332515,-0.0817510625760971,111,DeterministicParamModel,deterministic
6339100,-0.2202937998477512,111,DeterministicParamModel,deterministic
6344600,-0.2376473920535493,111,DeterministicParamModel,deterministic
6350000,0.095991624148975,111,DeterministicParamModel,deterministic
6352000,-0.0869438453470072,111,DeterministicParamModel,deterministic
6404000,0.4919435530664375,111,DeterministicParamModel,deterministic
6406000,0.2655460231398379,111,DeterministicParamModel,deterministic
6409000,-0.1242688596062355,111,DeterministicParamModel,deterministic
6431500,0.5230418146857063,111,DeterministicParamModel,deterministic
6440200,-0.0775493127401498,111,DeterministicParamModel,deterministic
6447500,0.5083441226996104,111,DeterministicParamModel,deterministic
6470800,0.5320963344426222,111,DeterministicParamModel,deterministic
6477500,0.6123001816721603,111,DeterministicParamModel,deterministic
6479215,0.4980574224621835,111,DeterministicParamModel,deterministic
6601000,0.3520678445912159,111,DeterministicParamModel,deterministic
6614800,0.7782746255883074,111,DeterministicParamModel,deterministic
6622700,0.7368098790067844,111,DeterministicParamModel,deterministic
6623800,0.851926919531897,111,DeterministicParamModel,deterministic
6632400,0.8226727427577972,111,DeterministicParamModel,deterministic
6746095,0.3877198966801093,111,DeterministicParamModel,deterministic
6803510,0.6664445611277339,111,DeterministicParamModel,deterministic
6803530,0.6732646812451424,111,DeterministicParamModel,deterministic
6814000,0.7436673497416215,111,DeterministicParamModel,deterministic
6847900,-0.125390367555424,111,DeterministicParamModel,deterministic
6853800,0.3473609300940702,111,DeterministicParamModel,deterministic
6876700,0.318256360658218,111,DeterministicParamModel,deterministic
6878000,0.4632057435260392,111,DeterministicParamModel,deterministic
6879650,-0.5199929727054204,111,DeterministicParamModel,deterministic
6885500,0.355334626087974,111,DeterministicParamModel,deterministic
6888500,0.5872627372922339,111,DeterministicParamModel,deterministic
6889200,0.2046851125766032,111,DeterministicParamModel,deterministic
6889500,0.4739065845549762,111,DeterministicParamModel,deterministic
6892000,0.4590539800523927,111,DeterministicParamModel,deterministic
6903400,0.5873417116214665,111,DeterministicParamModel,deterministic
6906800,0.6590099786550101,111,DeterministicParamModel,deterministic
6910800,0.2515378221513209,111,DeterministicParamModel,deterministic
6911900,0.2352840262637732,111,DeterministicParamModel,deterministic
6917000,0.7588618429085159,111,DeterministicParamModel,deterministic
6918460,0.7034578656237241,111,DeterministicParamModel,deterministic
6919500,0.6403038960621712,111,DeterministicParamModel,deterministic
6921070,0.7226625330437746,111,DeterministicParamModel,deterministic
6921200,0.6680412388769257,111,DeterministicParamModel,deterministic
7057500,0.7810721797535185,111,DeterministicParamModel,deterministic
7060710,0.4814443658315821,111,DeterministicParamModel,deterministic
7066000,0.7938785366165473,111,DeterministicParamModel,deterministic
7083000,0.7650461413929599,111,DeterministicParamModel,deterministic
7142300,0.6510086808994784,111,DeterministicParamModel,deterministic
7145700,0.7946891022560346,111,DeterministicParamModel,deterministic
7167500,0.5376335579516383,111,DeterministicParamModel,deterministic
7180500,0.5209611113274769,111,DeterministicParamModel,deterministic
7184000,0.5187626937316723,111,DeterministicParamModel,deterministic
7195800,0.6358945306342794,111,DeterministicParamModel,deterministic
7196900,0.5928032057875401,111,DeterministicParamModel,deterministic
7197000,0.7741806221818797,111,DeterministicParamModel,deterministic
7208500,0.5245065229798767,111,DeterministicParamModel,deterministic
7261000,0.6244967666769146,111,DeterministicParamModel,deterministic
7263295,0.6239344791937539,111,DeterministicParamModel,deterministic
7299670,0.1169146747266173,111,DeterministicParamModel,deterministic
7301410,0.267918370923247,111,DeterministicParamModel,deterministic
7315200,0.0621983652894284,111,DeterministicParamModel,deterministic
7315700,0.595274894475311,111,DeterministicParamModel,deterministic
7335700,0.586608289981907,111,DeterministicParamModel,deterministic
7340300,0.7666750954910405,111,DeterministicParamModel,deterministic
7346045,0.7771218970167645,111,DeterministicParamModel,deterministic
8023080,0.6246611657857621,111,DeterministicParamModel,deterministic
8050800,0.2036176524172196,111,DeterministicParamModel,deterministic
8066200,0.3647561144489467,111,DeterministicParamModel,deterministic
8066300,0.3840603195326247,111,DeterministicParamModel,deterministic
8070000,0.4100649318662546,111,DeterministicParamModel,deterministic
8070200,0.6259739235848286,111,DeterministicParamModel,deterministic
8082700,-0.5508822113314273,111,DeterministicParamModel,deterministic
8086212,0.4012081924811445,111,DeterministicParamModel,deterministic
8086290,0.0071725629010896,111,DeterministicParamModel,deterministic
8101000,0.6901050575899463,111,DeterministicParamModel,deterministic
8103900,0.1733501997719977,111,DeterministicParamModel,deterministic
8104900,0.2655214690253628,111,DeterministicParamModel,deterministic
8109700,0.3651514457693641,111,DeterministicParamModel,deterministic
8150800,-0.0425078707655368,111,DeterministicParamModel,deterministic
8158700,0.5702396691266043,111,DeterministicParamModel,deterministic
8158810,0.2135657211552808,111,DeterministicParamModel,deterministic
8164300,0.6966162242056939,111,DeterministicParamModel,deterministic
8164600,0.6483078496354664,111,DeterministicParamModel,deterministic
8165300,-0.1370472321007385,111,DeterministicParamModel,deterministic
8171300,0.5213536239033909,111,DeterministicParamModel,deterministic
8175000,0.1404297273729642,111,DeterministicParamModel,deterministic
8176900,0.3606880398287343,111,DeterministicParamModel,deterministic
8178880,0.3791604913424806,111,DeterministicParamModel,deterministic
8189500,0.2260747427351737,111,DeterministicParamModel,deterministic
8190000,0.5734361747029886,111,DeterministicParamModel,deterministic
8190500,-0.3925876158473198,111,DeterministicParamModel,deterministic
8194200,-0.5665240427039018,111,DeterministicParamModel,deterministic
8195000,0.3714053345179091,111,DeterministicParamModel,deterministic
8196000,0.1882018159642894,111,DeterministicParamModel,deterministic
8198500,-0.3679844942247459,111,DeterministicParamModel,deterministic
8200000,0.4806493550424271,111,DeterministicParamModel,deterministic
8202700,-0.6288252768170963,111,DeterministicParamModel,deterministic
8267500,0.2361415672256669,111,DeterministicParamModel,deterministic
8269000,0.1571636581529354,111,DeterministicParamModel,deterministic
8271000,0.1748841504167979,111,DeterministicParamModel,deterministic
8324000,0.4288670744628158,111,DeterministicParamModel,deterministic
8377900,0.7282629348963005,111,DeterministicParamModel,deterministic
8378500,0.769523362817835,111,DeterministicParamModel,deterministic
8380500,0.5959674145859021,111,DeterministicParamModel,deterministic
9035800,0.7023239496235201,111,DeterministicParamModel,deterministic
9035900,0.826903352906686,111,DeterministicParamModel,deterministic
9047700,0.6961777901219854,111,DeterministicParamModel,deterministic
9065500,0.6763497549962882,111,DeterministicParamModel,deterministic
