variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,soil_depth_pelletier,parCFR,0.3424037429231282,0.3424037429231282
deterministic,param_mean,area_gages2,parPERC,-0.34172580359048016,0.34172580359048016
deterministic,param_mean,lai_max,parCFMAX,0.34012100927085864,0.34012100927085864
deterministic,param_mean,gvf_max,parK0,0.3398137187288417,0.3398137187288417
deterministic,param_mean,aridity,parCFR,0.33966760521386613,0.33966760521386613
deterministic,param_mean,elev_mean,parCWH,-0.33947244869994886,0.33947244869994886
deterministic,param_mean,silt_frac,parK1,0.3373281768806446,0.3373281768806446
deterministic,param_mean,elev_mean,parUZL,0.33697135260944483,0.33697135260944483
deterministic,param_mean,max_water_content,parTT,-0.3315225823306222,0.3315225823306222
deterministic,param_mean,aridity,parTT,-0.3308157666311606,0.3308157666311606
deterministic,param_mean,high_prec_dur,parUZL,0.329417482645899,0.329417482645899
deterministic,param_mean,area_gages2,route_a,0.3288418986553749,0.3288418986553749
deterministic,param_mean,slope_mean,route_b,0.32850057667353544,0.32850057667353544
deterministic,param_mean,pet_mean,parCFR,0.32815072539038675,0.32815072539038675
deterministic,param_mean,elev_mean,parK1,-0.32670744511397315,0.32670744511397315
deterministic,param_mean,low_prec_freq,parUZL,-0.3264751170252937,0.3264751170252937
deterministic,param_mean,aridity,parFC,0.3254831995242343,0.3254831995242343
deterministic,param_mean,low_prec_freq,route_b,-0.3230589529849767,0.3230589529849767
deterministic,param_mean,gvf_diff,route_b,0.32248593982557927,0.32248593982557927
deterministic,param_mean,lai_diff,parK0,0.32239925037472644,0.32239925037472644
deterministic,param_mean,silt_frac,parUZL,-0.31976980987345666,0.31976980987345666
deterministic,param_mean,lai_max,parK0,0.317753505685771,0.317753505685771
deterministic,param_mean,slope_mean,parCFMAX,0.3175771215695138,0.3175771215695138
deterministic,param_mean,area_gages2,parCFR,0.3170705849423404,0.3170705849423404
deterministic,param_mean,high_prec_dur,parFC,0.31603989571945545,0.31603989571945545
deterministic,param_mean,p_seasonality,parTT,-0.31571725924981947,0.31571725924981947
deterministic,param_mean,geol_porosity,parPERC,-0.312710273906902,0.312710273906902
deterministic,param_mean,geol_1st_class,parPERC,-0.30838617152990966,0.30838617152990966
deterministic,param_mean,aridity,parCWH,0.3070160210247397,0.3070160210247397
deterministic,param_mean,sand_frac,route_b,0.3065191421654381,0.3065191421654381
deterministic,param_mean,soil_depth_pelletier,parK0,-0.30587623893013915,0.30587623893013915
deterministic,param_mean,frac_snow,route_a,-0.3014160937864072,0.3014160937864072
deterministic,param_mean,carbonate_rocks_frac,parTT,-0.30046289280133803,0.30046289280133803
deterministic,param_mean,area_gages2,parBETA,0.29985325281250086,0.29985325281250086
deterministic,param_mean,frac_snow,parK2,-0.2997538775429652,0.2997538775429652
deterministic,param_mean,low_prec_dur,parK0,-0.29953121243125114,0.29953121243125114
deterministic,param_mean,aridity,parK2,-0.2988881702176772,0.2988881702176772
