basin_id,variant,parBETA_mean,parFC_mean,parK0_mean,parK1_mean,parK2_mean,parLP_mean,parPERC_mean,parUZL_mean,parTT_mean,parCFMAX_mean,parCFR_mean,parCWH_mean,route_a_mean,route_b_mean,parBETA_std,parFC_std,parK0_std,parK1_std,parK2_std,parLP_std,parPERC_std,parUZL_std,parTT_std,parCFMAX_std,parCFR_std,parCWH_std,route_a_std,route_b_std
1547700,deterministic,1.5603879690170288,135.54590352376303,0.8999995589256287,0.45422520240147907,0.04744099825620651,0.31137626866499585,1.257016936937968,6.5936048825581866,-0.6440500418345133,2.0600736141204834,3.208698899174559e-08,7.948131515907637e-08,0.02757478194932143,5.312564373016357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548500,deterministic,2.9156654675801597,67.147767384847,0.8999991615613302,0.441048930088679,0.030883127823472023,0.5903071661790212,1.8487799564997356,12.011262893676758,-0.683395504951477,2.6537572542826333,1.9940020523634416e-08,1.6836639882278348e-07,0.17720754692951837,5.19592809677124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549500,deterministic,2.482134977976481,71.90271250406902,0.8999999364217123,0.48971911271413165,0.034379868457714714,0.3758613020181656,2.4618330001831055,5.287712097167969,-0.6729513009389242,3.06571626663208,5.167024956046855e-09,7.98631095144664e-08,0.012574409755567709,5.048423687616984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550000,deterministic,2.5459811687469482,70.59269841512044,0.8999994198481241,0.4633152484893799,0.037807309379180275,0.5599015057086945,2.8725218772888184,8.833545366923014,-0.6204222043355306,2.998226801554362,3.0786972526897216e-08,2.1524137761019801e-07,0.05030062049627304,4.954650402069092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552000,deterministic,3.0253912210464478,68.50262705485027,0.8999990423520406,0.4433050751686096,0.03188204889496168,0.6335273087024689,2.453131119410197,12.637092590332031,-0.7667871713638306,2.58497953414917,3.646513431950401e-08,2.0623326069113546e-07,0.1602021704117457,4.8142673174540205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552500,deterministic,2.184980829556783,78.1455561319987,0.8999998768170675,0.47400258978207904,0.03490006364881992,0.44072774052619934,2.8096625804901123,8.70773426691691,-0.7813140153884888,2.8657263120015464,7.731351040855353e-09,6.650943610668018e-08,0.02839406517644723,5.809865315755208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1557500,deterministic,1.4163130919138591,140.50479125976562,0.899999221165975,0.437894066174825,0.0437788354853789,0.3554307719071706,1.3633756637573242,8.266217390696207,-0.45226796468098956,2.088866909344991,5.881024334186691e-08,1.2416306323833245e-07,0.051862699910998344,5.416930516560872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1567500,deterministic,1.8476802508036296,231.90596516927084,0.8999986449877421,0.46242524186770123,0.05543779954314232,0.6638249158859253,3.674081563949585,5.359628359476726,-0.7340704600016276,2.5999627113342285,3.162991077942934e-07,1.6828594257371303e-06,0.01660241714368264,2.3195902506510415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568000,deterministic,1.7789103587468464,206.3163299560547,0.8999922672907511,0.44407784938812256,0.04549572368462881,0.5602875649929047,1.6349611679712932,7.550475120544434,-0.8025862375895182,2.1606531937917075,6.264249824046905e-07,3.368483551942821e-06,0.049894784887631737,3.877034823099772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580000,deterministic,1.7389403581619263,495.5336405436198,0.8999969760576884,0.4333331386248271,0.02812761316696803,0.7895873586336771,4.900034268697103,7.253104368845622,-1.644904096921285,2.3420228163401284,1.773005031679986e-07,1.9836117696551506e-07,0.07015950853625934,1.3520927826563518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583500,deterministic,1.7746694087982178,516.7504170735677,0.899992048740387,0.41285892327626544,0.025994888817270596,0.7727836569150289,4.90285046895345,9.233047485351562,-1.3576438426971436,2.4626612663269043,7.512221600336488e-07,1.6894106617352616e-06,0.0806793322165807,1.6721460421880086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586610,deterministic,1.8535083134969075,442.487548828125,0.8999897837638855,0.4228724539279938,0.03365113213658333,0.7972797155380249,4.649884939193726,7.459183057149251,-1.434261957804362,2.334075450897217,8.823980124361697e-07,9.170967890289224e-07,0.08350320781270663,1.184565822283427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1591400,deterministic,2.3333798249562583,506.1588439941406,0.8999986449877421,0.4228690763314565,0.027839401736855507,0.8420314391454061,3.6067814032236734,6.378525892893474,-1.7153256336847942,1.9283843040466309,1.4131209743103076e-07,1.542139382119482e-07,0.07108054310083389,0.44909874598185223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594950,deterministic,1.8975909153620403,139.41999308268228,0.8999998966852824,0.47333775957425434,0.06341902911663055,0.3001621216535568,0.7227333585421244,9.3780148824056,-1.1401677529017131,1.754749337832133,3.87357422064009e-09,1.5906477005926217e-08,0.030232880885402363,5.5074106852213545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596500,deterministic,1.7079051335652669,113.32172139485677,0.8999992410341898,0.4467737873395284,0.05441989998022715,0.32378020385901135,1.26396910349528,7.936600685119629,-0.7130652268727621,2.3653281529744468,4.608587977905643e-08,1.5078048557863136e-07,0.03895824650923411,4.750164906183879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605500,deterministic,1.3275893131891887,271.34299723307294,0.8999966581662496,0.26379864911238354,0.026017973199486732,0.2707233279943466,1.1473992268244426,9.981419563293457,-0.725676417350769,2.494909683863322,6.747637020983651e-07,6.870362554423082e-07,0.03702531444529692,2.897406498591105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606500,deterministic,2.1852310498555503,178.5139617919922,0.8999956250190735,0.28151748577753705,0.03528794397910436,0.5521934231122335,0.9828552405039469,13.627368609110514,-1.1081976890563965,1.9452508687973022,2.402873988671672e-07,6.273229497348135e-07,0.24350419640541077,2.4522526264190674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632000,deterministic,1.789487401644389,170.6896769205729,0.8999966979026794,0.3523475428422292,0.06011878947416941,0.3799450645844142,0.5177032649517059,6.23815123240153,-0.5879473288853964,2.427328586578369,5.301388898241536e-07,6.92223139253656e-07,0.031168324251969654,1.885792851448059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632900,deterministic,1.5947752793629963,306.3589375813802,0.8999965389569601,0.2606361409028371,0.02608496571580569,0.4595535397529602,1.6214044094085693,8.861972173055014,-0.895648717880249,2.3086626132329306,2.0701421377111728e-07,3.618970255322059e-07,0.3237949013710022,0.3413459335764249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634500,deterministic,1.5580426057179768,199.00150044759116,0.8999959826469421,0.3775719106197357,0.04769673074285189,0.47377990186214447,1.013003170490265,6.033840179443359,-0.8633472522099813,2.4699851671854653,1.4767099572784066e-06,1.281565725245552e-06,0.020037221411863964,1.6887863079706829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1638480,deterministic,4.845963478088379,266.4779103597005,0.8999938170115153,0.37370583415031433,0.05045333132147789,0.9772427280743917,3.209509293238322,7.1796542803446455,-0.6660376787185669,2.192548394203186,4.3854843549221795e-07,7.409268363289812e-07,0.07796551287174225,0.05564790094892184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639500,deterministic,2.642268975575765,375.56873575846356,0.8999510010083517,0.3768538236618042,0.041577486942211785,0.8740736842155457,2.3629892269770303,7.220010916392009,-1.4484420617421467,1.4572731256484985,3.913409121499474e-06,8.540321535595771e-06,0.3741617997487386,0.741144448518753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
