basin_id,variant,seed,sample_count,parBETA_mean,parBETA_std,parFC_mean,parFC_std,parK0_mean,parK0_std,parK1_mean,parK1_std,parK2_mean,parK2_std,parLP_mean,parLP_std,parPERC_mean,parPERC_std,parUZL_mean,parUZL_std,parTT_mean,parTT_std,parCFMAX_mean,parCFMAX_std,parCFR_mean,parCFR_std,parCWH_mean,parCWH_std,route_a_mean,route_a_std,route_b_mean,route_b_std
10244950,mc_dropout,222,100,1.0375876080989839,0.07205294258471297,532.7946287536621,209.74145031696315,0.8998826116323471,0.00041144031371798204,0.07712369153276086,0.03743423473088925,0.01108192952349782,0.005460176365335841,0.731266271173954,0.1877319704594744,1.6452331286668778,1.2626610566320298,72.92365033149719,18.46468493850111,-1.424736121892929,0.3568324682397497,1.066573261618614,0.25649642864019745,7.994324458321933e-06,3.29136226514741e-05,1.1583338562043772e-07,5.969763583572355e-07,0.09615324703045189,0.10227607623795101,4.96601580619812,1.1587169727976476
10336645,mc_dropout,222,100,2.0619915294647218,0.6496286640321159,766.3683541870117,144.26755509922296,0.8853390067815781,0.03344815232390468,0.24313841059803962,0.028429411763108235,0.03682453231886029,0.008508116632091736,0.8642377525568008,0.14825421325572202,5.873617472648621,1.7892914130341055,49.81505632400513,13.44502482072458,-0.1398239576816559,0.22418486437951468,2.073073369264603,0.26493004604090054,0.0004743442012792087,0.0011542584906875843,8.627866810391823e-05,0.000383617788118134,0.14681336645036935,0.12087657682843608,2.092653748393059,0.8945074473131512
10336660,mc_dropout,222,100,1.1270204198360443,0.1924329250382507,280.03695152282717,107.71390803388064,0.8980427306890487,0.0042533956730354365,0.26496862068772314,0.03252827566039781,0.033923436887562275,0.005692522474585958,0.98808389544487,0.019068029557200085,7.537705001831054,1.6482352812045828,55.82566871643066,10.373587705024645,0.10782611846923829,0.16731200702962615,2.1653822612762452,0.19634891609787206,0.0001676533883002662,0.000278984757430637,2.8495021799496255e-06,1.4471847539920572e-05,0.13368352187797428,0.10876952577002996,0.8431263217329978,0.35732843021558947
10343500,mc_dropout,222,100,1.0784916663169861,0.10744263375072181,826.2508256530762,202.78376510867045,0.8994443607330322,0.001916125568825503,0.1372190525382757,0.052234516933847036,0.013153167359996587,0.006304782695157798,0.5145131056010723,0.23657150277342928,1.5357050178200007,0.9990442637761018,49.14424509048462,19.600184857426235,-0.8103601491451263,0.41672650126926075,1.4438850927352904,0.32831693414488,1.9379196850053404e-05,5.4967242931501674e-05,1.8264453158996607e-07,6.329200858889041e-07,0.0723438617476495,0.09589196345256897,2.3859520173072815,1.203314880003956
12010000,mc_dropout,222,100,1.6833779764175416,0.7139422715421578,156.86287620544434,54.90680992104664,0.8975092417001724,0.006343647539779969,0.26706397473812105,0.03647371245911425,0.03694823864847421,0.007236108663187175,0.986236126422882,0.027793595744057657,3.625293563604355,1.1171400253364692,46.0290286064148,7.272700453263853,-0.25352540135383606,0.30647595002265304,1.2951758551597594,0.2940535792382922,1.8023114592254085e-05,0.00010024893385810434,2.9034993353432864e-06,2.3508327446121893e-05,0.10294157338212244,0.13172003802906138,0.35871889218688013,0.21481212617076956
12013500,mc_dropout,222,100,1.8599826216697692,0.5535013096217005,227.29805953979493,53.61376605026014,0.8728340590000152,0.043745941372468115,0.27246357724070547,0.02161952385838828,0.04400818269699812,0.00507140453385995,0.9862719535827636,0.023403355979902164,4.522674446105957,1.0190710342163758,42.08675657272339,5.774632472680433,0.07080556392669678,0.2126911771798482,1.9878967583179474,0.2695405493444784,0.00017692196147919503,0.0004581836834904589,2.1737648113089244e-05,7.512451846722088e-05,0.4266968370974064,0.22792402366307482,0.6928288096189499,0.21531882800544047
12020000,mc_dropout,222,100,2.274837143421173,0.7525298877436677,696.0794598388671,203.9279641232405,0.880650931596756,0.03842671549919141,0.29661952510476114,0.03258661864210357,0.04299759767949581,0.010567562179633035,0.9682804018259048,0.0451132002643184,4.9060212111473085,1.1622170833399357,36.628615837097165,6.404048231876455,-0.18424769163131713,0.31941977779818154,1.308237810730934,0.33507456248575324,2.8350424045046064e-05,9.266475181652691e-05,1.9475602050187687e-06,9.778340522011378e-06,0.057012013864296024,0.09475770283330046,0.6031135053932667,0.303429972756305
12025700,mc_dropout,222,100,1.3894189310073852,0.3814271385028265,223.10346923828126,111.8638319655248,0.8936472308635711,0.012005937883838799,0.30584346890449526,0.04054304651028545,0.04135865807533264,0.004683139117320978,0.9449449479579926,0.06814548959853901,4.23466691493988,0.9896126031805619,33.54917251586914,4.623636054774338,0.01873591423034668,0.19025153160740704,1.9260368359088897,0.2768859264056598,0.00019278068632587518,0.00047848780637258577,2.433461553756733e-05,8.275590703325402e-05,0.09721869601984508,0.12084593715530464,0.9376917827129364,0.31699417334869445
12035000,mc_dropout,222,100,1.3674573147296905,0.4035821783829544,160.89626441955568,43.29021246207795,0.8876113706827163,0.020366881904320417,0.2520023830235004,0.031866899763769704,0.039086497630923984,0.005678354184063009,0.9835615319013595,0.025392969541565103,4.231594270467758,1.2182656884454945,47.59285917282104,7.973984163834715,0.14282033443450928,0.2385127827667494,1.6821431028842926,0.2921034381083631,0.00011256191706891627,0.00021858822953614544,6.736367092218306e-06,3.2175989455686055e-05,0.4195235826075077,0.2017736088135973,0.5969469729065895,0.19882291574137903
12040500,mc_dropout,222,100,1.0996064174175262,0.20585905679589395,66.13823616027832,15.030108286169986,0.899898886680603,0.0004546790986025454,0.35958134204149245,0.050112789337923895,0.047704467941075565,0.010308903478078111,0.9999305838346482,0.00022699621314324075,5.115869498252868,1.8492624276162237,41.11199338912964,7.77222600361544,-0.13163711309432982,0.36424890649820635,1.2391449058055877,0.32444814992041615,2.031073845699557e-07,6.474452797235125e-07,1.5966609036176058e-09,7.154057642847594e-09,0.07154966123944177,0.14289884959876237,0.30237759243696927,0.2740611564082495
