basin_id,paradigm,regime,contrast,within_base,within_cn,within_pooled,between_all,excess,prop_between_gt_within,prop_excess_gt_0,frac_snow,snow_stratum
02092500,IC,IC,Base-CN,0.41334283568419805,0.45233387259019797,0.43283835413719801,0.43300958069405793,0.00017122655685991583,True,True,0.0120832517590196,S1
02096846,IC,IC,Base-CN,0.45864971882915956,0.51691005588504646,0.48777988735710298,0.514802530057626,0.027022642700523014,True,True,0.039252545203284903,S1
02102908,IC,IC,Base-CN,0.49237427981316073,0.48922166584740057,0.49079797283028065,0.48149645855396717,-0.0093015142763134828,False,False,0.0235111757954398,S1
02108000,IC,IC,Base-CN,0.3834917773280716,0.43683646807707377,0.41016412270257269,0.42123628103729216,0.011072158334719473,True,True,0.0092819261110396005,S1
02111180,IC,IC,Base-CN,0.48528318644424895,0.38512461775316403,0.43520390209870652,0.44898519628441291,0.013781294185706394,True,True,0.0460568781002514,S1
02111500,IC,IC,Base-CN,0.5059157463377093,0.52929894419583334,0.51760734526677132,0.51175609589757043,-0.0058512493692008949,False,False,0.052369251671881403,S2
02112120,IC,IC,Base-CN,0.46756002088773058,0.45980824312445157,0.46368413200609104,0.46640784278000236,0.0027237107739113142,True,True,0.052404975160738797,S2
02112360,IC,IC,Base-CN,0.46468625643945211,0.53406917780840313,0.49937771712392764,0.4874323372001092,-0.011945379923818444,False,False,0.053113627447001398,S2
02118500,IC,IC,Base-CN,0.44419116035135686,0.43679322167913714,0.440492191015247,0.43702656461428091,-0.0034656264009660931,False,False,0.041370835021144102,S1
02125000,IC,IC,Base-CN,0.48259636584957066,0.52022530543402201,0.50141083564179634,0.5084118427726867,0.0070010071308903576,True,True,0.024791233169001101,S1
02128000,IC,IC,Base-CN,0.53611901618305691,0.52067774305757586,0.52839837962031644,0.5214453266441661,-0.0069530529761503423,False,False,0.025670443380134599,S1
02137727,IC,IC,Base-CN,0.40411732068858564,0.44391050337546412,0.42401391203202488,0.39298578773983606,-0.031028124292188819,False,False,0.040531531076179503,S1
02140991,IC,IC,Base-CN,0.49997414511341426,0.46369127999354115,0.4818327125534777,0.46394264988671519,-0.017890062666762518,False,False,0.042038466834978201,S1
02143000,IC,IC,Base-CN,0.31093329572951883,0.47368402955872085,0.39230866264411984,0.43241397263090797,0.040105309986788129,True,True,0.031326215681695198,S1
02143040,IC,IC,Base-CN,0.44905583036495617,0.46633835395072426,0.45769709215784021,0.43715707576755336,-0.020540016390286853,False,False,0.034561069845200097,S1
02149000,IC,IC,Base-CN,0.44883479194506287,0.38077592446417557,0.41480535820461922,0.40824510886541598,-0.006560249339203239,False,False,0.029590457635321001,S1
02152100,IC,IC,Base-CN,0.35856626191327329,0.39233302061885089,0.37544964126606206,0.3827364122985209,0.0072867710324588386,True,True,0.030080746914399902,S1
02177000,IC,IC,Base-CN,0.47593417476987226,0.3726088193403071,0.42427149705508971,0.44389356385012962,0.019622066795039916,True,True,0.026739557459190599,S1
02178400,IC,IC,Base-CN,0.4202333128738065,0.41740139268835486,0.41881735278108068,0.3948411443590949,-0.023976208421985779,False,False,0.033836252850455002,S1
02193340,IC,IC,Base-CN,0.5435376459606629,0.42138293089134421,0.48246028842600353,0.48452652986648692,0.0020662414404833962,True,True,0.012744882834630499,S1
02196000,IC,IC,Base-CN,0.52925407456629703,0.49626591952587318,0.5127599970460851,0.51019797045219706,-0.0025620265938880449,False,False,0.014697822503636999,S1
02198100,IC,IC,Base-CN,0.46785538098557561,0.48405660055170735,0.47595599076864148,0.46226621803773371,-0.013689772730907768,False,False,0.0030935926215691998,S1
02202600,IC,IC,Base-CN,0.49946286242153004,0.52114084311843334,0.51030185276998163,0.53885773265714443,0.028555879887162794,True,True,0.00045680489760400002,S1
02212600,IC,IC,Base-CN,0.44503826524062956,0.45312515098701689,0.4490817081138232,0.4346885406144223,-0.014393167499400894,False,False,0.0090237999831922003,S1
02215100,IC,IC,Base-CN,0.47989520093296201,0.45700050817524823,0.46844785455410509,0.45989139467351037,-0.0085564598805947245,False,False,0.0010333057458655,S1
02216180,IC,IC,Base-CN,0.48602848394227499,0.44700198331565444,0.46651523362896474,0.49075321260605254,0.024237978977087793,True,True,0.000534865436369,S1
02221525,IC,IC,Base-CN,0.53366796816474582,0.54773587388682887,0.54070192102578729,0.52921540968249514,-0.01148651134329215,False,False,0.0095385192188569001,S1
02231000,IC,IC,Base-CN,0.52801825192570107,0.47255651645958963,0.5002873841926454,0.48694573746466863,-0.013341646727976775,False,False,0.00023591806539820001,S1
02245500,IC,IC,Base-CN,0.47710308671986978,0.5088139244726736,0.49295850559627169,0.48472013282637183,-0.0082383727698998599,False,False,0.00043662854245879999,S1
02246000,IC,IC,Base-CN,0.50007278621921292,0.54160225643942894,0.52083752132932093,0.51676374799351033,-0.0040737733358106043,False,False,0.00033269222309739998,S1
02296500,IC,IC,Base-CN,0.48311813206914966,0.42403097215146807,0.45357455211030884,0.4541651541343818,0.00059060202407296147,True,True,0,S1
02297155,IC,IC,Base-CN,0.50769637331591266,0.53536233326386395,0.52152935328988836,0.52908849398596769,0.007559140696079325,True,True,0,S1
02297310,IC,IC,Base-CN,0.45011474409690166,0.45421440584005945,0.45216457496848056,0.47107762535060727,0.018913050382126706,True,True,0,S1
02298123,IC,IC,Base-CN,0.4665435671680489,0.44064048640311787,0.45359202678558341,0.42753150823278518,-0.026060518552798229,False,False,0,S1
02298608,IC,IC,Base-CN,0.49623153176779605,0.42150445549363147,0.45886799363071373,0.45730959531022386,-0.0015583983204898733,False,False,0,S1
02299950,IC,IC,Base-CN,0.48735903503984968,0.46647720516645808,0.47691812010315388,0.45051461692375105,-0.026403503179402821,False,False,0,S1
02300700,IC,IC,Base-CN,0.52220290180610096,0.39027559906692472,0.45623925043651281,0.47331217789662178,0.017072927460108966,True,True,0,S1
02342933,IC,IC,Base-CN,0.57781765948279229,0.54451267230098699,0.56116516589188969,0.54677214487862646,-0.01439302101326323,False,False,0.0027962712555371998,S1
02349900,IC,IC,Base-CN,0.45039052328974816,0.50694712310043211,0.47866882319509013,0.47037187392826402,-0.0082969492668261147,False,False,0.0010817469729247999,S1
02350900,IC,IC,Base-CN,0.41376394202445615,0.46749123513758062,0.44062758858101836,0.42167299952305892,-0.018954589057959437,False,False,0.001767717746493,S1
02361000,IC,IC,Base-CN,0.52043750483074491,0.50989190543814711,0.51516470513444601,0.50658785464393308,-0.0085768504905129328,False,False,0.0015124422847458,S1
02363000,IC,IC,Base-CN,0.52407976638124765,0.44873496858920164,0.48640736748522462,0.50015748999960086,0.01375012251437624,True,True,0.0026556564479945999,S1
02369800,IC,IC,Base-CN,0.50965319108038876,0.5234837262842259,0.51656845868230739,0.48951431405937662,-0.027054144622930765,False,False,0.0008723526438152,S1
02371500,IC,IC,Base-CN,0.43796149066684026,0.47892689812941713,0.45844419439812867,0.44899995979419638,-0.0094442346039322889,False,False,0.0040171402581935002,S1
02372250,IC,IC,Base-CN,0.49090457456579112,0.42220771535151225,0.45655614495865171,0.50062778829503995,0.044071643336388244,True,True,0.0034759991435445998,S1
02374500,IC,IC,Base-CN,0.44417970713191796,0.41966049420462165,0.4319201006682698,0.42522188024736551,-0.0066982204209042884,False,False,0.0030425564536236999,S1
