paradigm,structure,parameter,parameter_display,threshold,n,median_boundary_distance,q25_boundary_distance,q75_boundary_distance,boundary_rate,base_rate,cn_rate,cn_minus_base,ci95_low,ci95_high
dPL,Base,xaj_cg,cg,0.050000000000000003,531,0.18386125564575195,0.10022509098052969,0.32289183139801009,0.10922787193973635,,,,,
dPL,Base,xaj_ci,ci,0.01,531,0.24716973304748535,0.14192783170276219,0.35333302285936147,0.0056497175141242938,,,,,
dPL,Base,xaj_ci,ci,0.02,531,0.24716973304748535,0.14192783170276219,0.35333302285936147,0.028248587570621469,,,,,
dPL,Base,xaj_ci,ci,0.050000000000000003,531,0.24716973304748535,0.14192783170276219,0.35333302285936147,0.0903954802259887,,,,,
dPL,Base,xaj_dm,dm,0.01,531,0.0049795998467339411,0.0011364565955268011,0.024783913294474276,0.61958568738229758,,,,,
dPL,Base,xaj_dm,dm,0.02,531,0.0049795998467339411,0.0011364565955268011,0.024783913294474276,0.71939736346516003,,,,,
dPL,Base,xaj_dm,dm,0.050000000000000003,531,0.0049795998467339411,0.0011364565955268011,0.024783913294474276,0.81544256120527303,,,,,
dPL,Base,xaj_ex,ex,0.01,531,0.11283406772111591,0.03971827343890541,0.25708166235371643,0.15254237288135594,,,,,
dPL,Base,xaj_ex,ex,0.02,531,0.11283406772111591,0.03971827343890541,0.25708166235371643,0.19397363465160075,,,,,
dPL,Base,xaj_ex,ex,0.050000000000000003,531,0.11283406772111591,0.03971827343890541,0.25708166235371643,0.29943502824858759,,,,,
dPL,Base,xaj_im,im,0.01,531,0.0012405502881544332,0.00022747379262000322,0.0063404246854285402,0.80602636534839922,,,,,
dPL,Base,xaj_im,im,0.02,531,0.0012405502881544332,0.00022747379262000322,0.0063404246854285402,0.871939736346516,,,,,
dPL,Base,xaj_im,im,0.050000000000000003,531,0.0012405502881544332,0.00022747379262000322,0.0063404246854285402,0.9472693032015066,,,,,
dPL,Base,xaj_k,k,0.01,531,0.17519219716389975,0.10081921021143594,0.24816054105758667,0.04519774011299435,,,,,
dPL,Base,xaj_k,k,0.02,531,0.17519219716389975,0.10081921021143594,0.24816054105758667,0.07909604519774012,,,,,
dPL,Base,xaj_k,k,0.050000000000000003,531,0.17519219716389975,0.10081921021143594,0.24816054105758667,0.1224105461393597,,,,,
dPL,Base,xaj_kg,kg,0.01,531,0.058022567204066691,0.017917343149227757,0.16621431601899012,0.10922787193973635,,,,,
dPL,Base,xaj_kg,kg,0.02,531,0.058022567204066691,0.017917343149227757,0.16621431601899012,0.2768361581920904,,,,,
