paradigm,parameter,snow_regime,snow_interval,n,median_shift,ci95_low,ci95_high,parameter_display
dPL,xaj_k,S2,"[0.05, 0.15)",156,0.0013696352640787945,7.2717666625976562e-05,0.0044421950976053781,k
dPL,xaj_kg,S2,"[0.05, 0.15)",156,-0.025667342623429637,-0.0431449285575322,-0.0067152907805783403,kg
dPL,xaj_ki,S2,"[0.05, 0.15)",156,-0.046759758676801433,-0.079895853996276855,-0.018294943230492716,ki
dPL,xaj_lm,S2,"[0.05, 0.15)",156,0.025834231906467053,0.018305799696180541,0.033886803521050335,lm
dPL,xaj_sm,S2,"[0.05, 0.15)",156,-0.0054045426218133144,-0.020580693295127475,-0.00081054285952919525,sm
dPL,xaj_theta,S2,"[0.05, 0.15)",156,0.00049867724569944267,-0.00022530931836137484,0.0011639499033872895,theta (UH scale)
dPL,xaj_um,S2,"[0.05, 0.15)",156,0.0049639807807074776,0.0026431613498263951,0.0084139611985948361,um
dPL,xaj_a,S1,"[0, 0.05)",165,-0.004119318107078801,-0.0095995130210087126,0.0012545750058930993,a (UH shape)
dPL,xaj_b,S1,"[0, 0.05)",165,0.00018998588386334898,-0.002302715652867382,0.0035457087582660522,b
dPL,xaj_c,S1,"[0, 0.05)",165,-0.00032329559326171875,-0.0025449991226196289,0.00053203105926513672,c
dPL,xaj_cg,S1,"[0, 0.05)",165,-0.014104843139648438,-0.040200948715209961,-0.0054538249969482422,cg
dPL,xaj_ci,S1,"[0, 0.05)",165,-0.01541985405815971,-0.024147364828321694,-0.0017561515172322961,ci
dPL,xaj_dm,S1,"[0, 0.05)",165,-0.0028031243218316002,-0.0078451792399088782,-0.0010943412780761719,dm
dPL,xaj_ex,S1,"[0, 0.05)",165,0.0022921593565689846,-0.015428944637900899,0.038350318607531131,ex
dPL,xaj_im,S1,"[0, 0.05)",165,-3.1720683182356893e-05,-0.00016985432012006646,7.4074153417312365e-05,im
dPL,xaj_k,S1,"[0, 0.05)",165,0.005300601323445675,0.0017910401026408063,0.0082932710647583008,k
dPL,xaj_kg,S1,"[0, 0.05)",165,-0.0038059481552669,-0.012852059943335398,-0.00059342011809348887,kg
dPL,xaj_ki,S1,"[0, 0.05)",165,0.0063598155975341797,-0.0081598120076315783,0.017710030078887939,ki
dPL,xaj_lm,S1,"[0, 0.05)",165,0.0086552937825520315,0.0058952331542968528,0.018384128146701428,lm
dPL,xaj_sm,S1,"[0, 0.05)",165,-0.0022910067909642264,-0.0091844056781969774,0.00030577810187087939,sm
dPL,xaj_theta,S1,"[0, 0.05)",165,0.00017770236501326924,-0.00020104232960595534,0.00061250635637686798,theta (UH scale)
dPL,xaj_um,S1,"[0, 0.05)",165,0.0019455803765190405,-0.0064380221896701562,0.0090580410427517632,um
dPL,xaj_a,S5,"[0.50, 1.00]",55,-0.11206832425347688,-0.26361514268250302,0.22363128333256166,a (UH shape)
dPL,xaj_b,S5,"[0.50, 1.00]",55,0.0015546773609362019,-0.03158577178653918,0.028399417274876659,b
dPL,xaj_c,S5,"[0.50, 1.00]",55,0.22014188766479492,0.099715590476989746,0.46700358390808105,c
dPL,xaj_cg,S5,"[0.50, 1.00]",55,-0.07534325122833252,-0.12330889701843262,0.18103897571563732,cg
dPL,xaj_ci,S5,"[0.50, 1.00]",55,-0.86614638566970825,-0.89183447261651361,-0.8427033490604825,ci
dPL,xaj_dm,S5,"[0.50, 1.00]",55,-0.01316790050930447,-0.02589781019422743,-0.0089674843682183165,dm
dPL,xaj_ex,S5,"[0.50, 1.00]",55,-0.031177397621305367,-0.056959288684945361,-0.022670697224767587,ex
dPL,xaj_im,S5,"[0.50, 1.00]",55,-0.12683295875831394,-0.2686095499181344,-0.079245169108617119,im
dPL,xaj_k,S5,"[0.50, 1.00]",55,0.0051172176996866865,-0.00049336751302083218,0.016339143117268879,k
dPL,xaj_kg,S5,"[0.50, 1.00]",55,-0.028950018542153497,-0.061102919280529029,0.012524129290665899,kg
dPL,xaj_ki,S5,"[0.50, 1.00]",55,-0.41260417750371353,-0.59770380556333946,-0.3069172241833128,ki
dPL,xaj_lm,S5,"[0.50, 1.00]",55,0.1236332363552517,0.037037478552924261,0.24487796359592007,lm
dPL,xaj_sm,S5,"[0.50, 1.00]",55,0.34727566367701479,0.27476967259457241,0.42304518850226147,sm
dPL,xaj_theta,S5,"[0.50, 1.00]",55,0.024965808941767767,-0.0091051938316713162,0.13782009711632359,theta (UH scale)
dPL,xaj_um,S5,"[0.50, 1.00]",55,0.90158871544731989,0.79021506839328337,0.95446370442708328,um
