paradigm,contrast,parameter,symbol,snow_stratum,n_basins,median_shift,q25,q75,iqr,ci95_low,ci95_high,D_activity_S5_minus_S1,D_activity_ci_low,D_activity_ci_high
dPL,Base-CN,xaj_k,k,S3,121,0.00078467727871611714,-0.007171175442636013,0.011542618274688721,0.018713793717324734,-0.0021788179874420166,0.0032345864456146955,,,
dPL,Base-CN,xaj_k,k,S4,34,-0.00021034851670265198,-0.055566173046827316,0.02234456897713244,0.077910742023959756,-0.015105948783457279,0.01113620400428772,,,
dPL,Base-CN,xaj_k,k,S5,55,-0.0023771151900291443,-0.034548618830740452,0.029791644541546702,0.064340263372287154,-0.014590893872082233,0.009408220648765564,-0.0074535086750984192,-0.020474771864246576,0.0049816775135695934
dPL,Base-CN,xaj_b,b,S1,165,0.0017024725461950788,-0.024031333323763115,0.045646130465882395,0.069677463789645511,-0.00088365933680334408,0.0076399444575065978,,,
dPL,Base-CN,xaj_b,b,S2,156,-0.0013984959047819764,-0.022640581889960869,0.098095114043259435,0.12073569593322031,-0.0043857809624470497,0.0058819367510719528,,,
dPL,Base-CN,xaj_b,b,S3,121,0.027786634513746647,-0.020165252246241789,0.36252498171800085,0.38269023396424262,0.0012249052370861269,0.070231265438465515,,,
dPL,Base-CN,xaj_b,b,S4,34,0.015536505534002577,-0.052144594651106928,0.18064577278311911,0.23279036743422604,-0.0042110486126147751,0.079090951880769311,,,
dPL,Base-CN,xaj_b,b,S5,55,0.009466379762117727,-0.0216972643580827,0.06773722831842488,0.089434492676507577,-0.0028128076457428911,0.035799920109699679,0.0077639072159226483,-0.0066388460672928877,0.038729535255739883
dPL,Base-CN,xaj_im,im,S1,165,-0.00012842682700561769,-0.0044357131135250305,0.0011087456227340533,0.0055444587362590836,-0.00050406800257684725,0,,,
dPL,Base-CN,xaj_im,im,S2,156,-0.00084748954125405513,-0.0094643244497116287,0,0.0094643244497116287,-0.0017572817465195912,-0.00042434268501875897,,,
dPL,Base-CN,xaj_im,im,S3,121,-0.0053418793044240909,-0.022597086582465398,-0.00046688006514004931,0.022130206517325349,-0.0084689669183851905,-0.0026185969492946684,,,
dPL,Base-CN,xaj_im,im,S4,34,-0.023711416299163415,-0.10920572868351056,-0.0034789054625395631,0.10572682322097099,-0.09401083976935852,-0.0079747907260970443,,,
dPL,Base-CN,xaj_im,im,S5,55,-0.020223931892903266,-0.066173644571945744,-0.00022413219430062289,0.065949512377645125,-0.041577065065693766,-0.0044823160313493364,-0.020095505065897648,-0.041637175539068157,-0.0061245185326554647
dPL,Base-CN,xaj_um,um,S1,165,0.0054120421409606934,-0.03751034289598465,0.10083860158920288,0.13834894448518753,-0.0013033239403739568,0.014456454431638122,,,
dPL,Base-CN,xaj_um,um,S2,156,0.0061911642551422119,-0.0034684538841247559,0.047728344798088074,0.05119679868221283,0.0034950673580169678,0.011462410539388653,,,
dPL,Base-CN,xaj_um,um,S3,121,0.0090579986572265625,6.4373016357421875e-05,0.10718828439712524,0.10712391138076782,0.0049058660864830022,0.014907777309417725,,,
dPL,Base-CN,xaj_um,um,S4,34,0.35200652480125427,0.015164813026785851,0.83635061979293823,0.82118580676615238,0.016532152891159058,0.61219338793307543,,,
dPL,Base-CN,xaj_um,um,S5,55,0.33270400762557983,0.013387620449066162,0.94820837490260601,0.93482075445353985,0.093610355630517006,0.84035034477710724,0.32729196548461914,0.089232627302408218,0.76879248991608617
dPL,Base-CN,xaj_lm,lm,S1,165,0.015631944639608264,-0.010899722576141357,0.056063055992126465,0.066962778568267822,0.007189631462097168,0.022863328456878662,,,
dPL,Base-CN,xaj_lm,lm,S2,156,0.047000125050544739,-0.010441608726978302,0.12269890308380127,0.13314051181077957,0.027270686626434327,0.0602447435259819,,,
dPL,Base-CN,xaj_lm,lm,S3,121,0.04687345027923584,-0.016314268112182617,0.14619559049606323,0.16250985860824585,0.021866700053215029,0.062176495790481567,,,
dPL,Base-CN,xaj_lm,lm,S4,34,0.071763962507247925,-0.00087949633598327637,0.28833891078829765,0.28921840712428093,0.0053477715700864792,0.20642688870429993,,,
dPL,Base-CN,xaj_lm,lm,S5,55,0.0264701247215271,-0.0074741952121257782,0.090811759233474731,0.09828595444560051,0.0046080350875854492,0.047133207321166992,0.010838180081918836,-0.016062879562377931,0.031402437388896941
dPL,Base-CN,xaj_dm,dm,S1,165,-0.0050548221915960312,-0.032655439339578152,0.0078370328992605209,0.040492472238838673,-0.0081341074779629693,-0.0016871001571416855,,,
dPL,Base-CN,xaj_dm,dm,S2,156,-0.0020597119582816958,-0.010026073112385347,0.00031865127493801992,0.010344724387323367,-0.0035973580437712372,-0.0011538118124008179,,,
dPL,Base-CN,xaj_dm,dm,S3,121,-0.0015101498574949801,-0.0094823258696123958,0.00030382283148355782,0.0097861487010959536,-0.0032907604472711682,-0.00089733193890424582,,,
dPL,Base-CN,xaj_dm,dm,S4,34,-0.0088724168599583209,-0.046563099933337071,-0.00022167449060361832,0.046341425442733453,-0.016895901644602418,-0.0046300842077471316,,,
dPL,Base-CN,xaj_dm,dm,S5,55,-0.013053839647909626,-0.08364062022883445,-0.00080568346311338246,0.082834936765721068,-0.024948736098667719,-0.0033796587958931923,-0.0079990174563135952,-0.021577847277512774,0.001730468991445375
dPL,Base-CN,xaj_c,c,S1,165,0.0011640191078186035,-0.0068756937980651855,0.045964241027832031,0.052839934825897217,-0.00016245543956756585,0.0051940083503723145,,,
dPL,Base-CN,xaj_c,c,S2,156,0.0088666379451751709,0.000650063157081604,0.066178858280181885,0.065528795123100281,0.0056138291954994203,0.015545234084129333,,,
dPL,Base-CN,xaj_c,c,S3,121,0.037068605422973633,0.0041988492012023926,0.18872404098510742,0.18452519178390503,0.021096989512443542,0.058025360107421875,,,
dPL,Base-CN,xaj_c,c,S4,34,0.180524080991745,0.0053798407316207886,0.58268072456121445,0.57730088382959366,0.059269091486930846,0.39142391085624695,,,
dPL,Base-CN,xaj_c,c,S5,55,0.014497935771942139,-0.0024158954620361328,0.38306033611297607,0.38547623157501221,0.0027630864642560482,0.059897124767303467,0.013333916664123535,0.0012241990421898667,0.058758924901485446
dPL,Base-CN,xaj_sm,sm,S1,165,0.00030577182769775391,-0.025134772062301636,0.025225698947906494,0.05036047101020813,-0.0031213857699185607,0.0046917638275772253,,,
dPL,Base-CN,xaj_sm,sm,S2,156,-0.0076992237009108067,-0.082173774018883705,0.02678273431956768,0.10895650833845139,-0.025811161973979323,0.001008741557598114,,,
dPL,Base-CN,xaj_sm,sm,S3,121,-0.012494620401412249,-0.079493850469589233,0.098792523145675659,0.17828637361526489,-0.029091319721192117,0.0023518204689025879,,,
dPL,Base-CN,xaj_sm,sm,S4,34,0.13559612631797791,-0.00064736232161521912,0.41222120821475983,0.41286857053637505,0.033161282539367676,0.25328695774078369,,,
dPL,Base-CN,xaj_sm,sm,S5,55,0.11780345439910889,-0.027060322463512421,0.27870625257492065,0.30576657503843307,0.039485782384872437,0.1780144089832901,0.11749768257141113,0.038607489317655563,0.180331689043669
dPL,Base-CN,xaj_ex,ex,S1,165,-0.0027887951232722537,-0.088477372012924271,0.084256029561870616,0.17273340157479489,-0.02293127392514727,0.010226527100625448,,,
dPL,Base-CN,xaj_ex,ex,S2,156,-0.01131513328062695,-0.12237865137970884,0.096700363510371964,0.2190790148900808,-0.030621384198380064,0.01715756242053992,,,
dPL,Base-CN,xaj_ex,ex,S3,121,-0.017639107613497167,-0.16153089668964615,0.086312710155779238,0.24784360684542539,-0.045831739327383825,-0.0019673108807700679,,,
dPL,Base-CN,xaj_ex,ex,S4,34,-0.040225688710965227,-0.090950614395432755,-0.007329226212167016,0.083621388183265741,-0.087000295196460076,-0.016726358318942914,,,
dPL,Base-CN,xaj_ex,ex,S5,55,-0.022670728633975856,-0.064956359597812194,0.012480928871627807,0.077437288469440008,-0.036967808848160699,-0.0099657156374655612,-0.019881933510703602,-0.037747943882268035,0.00078457599718164252
dPL,Base-CN,xaj_ki,ki,S1,165,-0.012113690169986757,-0.11456998987589578,0.04420683085140447,0.15877682072730026,-0.035911481332343911,0.0059352646502381177,,,
dPL,Base-CN,xaj_ki,ki,S2,156,-0.098267113979082207,-0.3604134278461178,0.034697073852214225,0.39511050169833201,-0.15382116025990822,-0.051331661698747366,,,
dPL,Base-CN,xaj_ki,ki,S3,121,-0.20178070320775326,-0.50843798993420597,-0.0348313370375746,0.4736066528966314,-0.3159244006714752,-0.12649291538352769,,,
dPL,Base-CN,xaj_ki,ki,S4,34,-0.26250436673646449,-0.40204816392344611,-0.039178680301480195,0.36286948362196592,-0.38002377101312751,-0.10922324640963915,,,
dPL,Base-CN,xaj_ki,ki,S5,55,-0.26522181646017551,-0.41824868122828102,-0.017060397833621524,0.40118828339465951,-0.34499608137784538,-0.15425087486866629,-0.25310812629018875,-0.33246395627098069,-0.1241312246308517
dPL,Base-CN,xaj_kg,kg,S1,165,-0.0075750163397615908,-0.08131604503195547,0.00885260835115214,0.090168653383107616,-0.017219662373071695,-0.0013223048423609966,,,
dPL,Base-CN,xaj_kg,kg,S2,156,-0.058804958057319126,-0.20298139964075768,0.0077787740577566974,0.21076017369851438,-0.084544575264716551,-0.026645863906258102,,,
dPL,Base-CN,xaj_kg,kg,S3,121,-0.13175250272342129,-0.41291380762083085,0.021521370491447256,0.43443517811227811,-0.17169584716709216,-0.077205083042616099,,,
dPL,Base-CN,xaj_kg,kg,S4,34,-0.042818403073619032,-0.1076055933091369,0.0070267793457119898,0.11463237265484888,-0.07750980703409556,0.0019767284056675938,,,
