paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
dPL,xaj_ex,ex,leave_out_S2,S2,375,-0.085710978383199743,-0.14474557963754883,-0.027977218871432851,-0.14125520026759672,-0.224347502224608,-0.054081973685700897,-0.015972433243975955,-0.028147995118743552,-0.0059946774684168647
dPL,xaj_ex,ex,leave_out_S3,S3,410,-0.076250538097484735,-0.13289009011647226,-0.017190359088979382,-0.079279694486145677,-0.16185979652373697,0.010305146772778868,-0.013820133031297607,-0.023548145978752464,-0.0059065628986962508
dPL,xaj_ex,ex,leave_out_S4,S4,497,-0.076386164313511404,-0.14456702274890934,-0.013863174298061056,-0.070502297405970901,-0.15870013223847609,0.0082436893080277806,-0.012190155531981675,-0.023399352733720624,-0.0045145898490882019
dPL,xaj_ex,ex,leave_out_S5,S5,476,-0.29309026572382002,-0.47967335471204792,-0.1116993244488562,-0.094513567291255068,-0.1728619615366542,-0.0068848069625274885,-0.011450257008637173,-0.023767582773941649,-0.0050431549847592778
dPL,xaj_ki,ki,exclude_S5,S5,476,-0.74924842928659829,-0.96963685606850059,-0.52877611636768895,-0.33004148780212772,-0.40811302655210485,-0.25169269754515244,-0.083654551273506822,-0.10862564940364905,-0.055755486673026468
dPL,xaj_ki,ki,leave_out_S1,S1,366,-0.1628180413749637,-0.30118755751721021,-0.031116987462341879,-0.17494240480807416,-0.26486062278859257,-0.083388399566949378,-0.17261913869859252,-0.21509903303045821,-0.12313497694990506
dPL,xaj_ki,ki,leave_out_S2,S2,375,-0.33189093487469928,-0.46133479209853445,-0.22579558698100624,-0.39485004617350139,-0.47832404971746062,-0.30984776707731371,-0.092792712267051866,-0.12847637911394016,-0.058604775861250125
dPL,xaj_ki,ki,leave_out_S3,S3,410,-0.28400984689714964,-0.40135624058501218,-0.17334849557965612,-0.31746256574089177,-0.41013356095347608,-0.22781709704956901,-0.064127876262530664,-0.092445731223773045,-0.038105621285002195
dPL,xaj_ki,ki,leave_out_S4,S4,497,-0.30341470361492778,-0.43037358516259344,-0.19027610930363023,-0.32595793996531486,-0.40756936256542464,-0.24403556086422762,-0.085703103274905601,-0.10802805239765895,-0.05639805157549805
dPL,xaj_ki,ki,leave_out_S5,S5,476,-0.74924842928659829,-0.96358624261318804,-0.55883829996250522,-0.33004148780212772,-0.40158275577097718,-0.24505755885921129,-0.083654551273506822,-0.10859080630605937,-0.055678630054027518
