paradigm,parameter,shift_median,shift_ci95_low,shift_ci95_high,base_median,base_q25,base_q75,base_p5,base_p95,cn_median,cn_q25,cn_q75,cn_p5,cn_p95,bnd_change_median,bnd_change_ci95_low,bnd_change_ci95_high,iqr_change_median,iqr_change_ci95_low,iqr_change_ci95_high
dPL,xaj_im,-0.0016271749821800999,-0.0025443203048780001,-0.00088372937170780005,0.0012405502881544001,0.00022747379261994999,0.0063404246854285003,0.000100000003537,0.053910074445108501,0.0069673941470681997,0.0011929635851022501,0.035435080838700103,0.00011028135001345,0.44256250063578284,-0.25800376647834272,-0.2975517890772128,-0.2184557438794727,0.028129166360789201,0.020924938213283801,0.039774439006578101
dPL,xaj_um,0.010730658637152699,0.008035193549262,0.015540038214789401,0.97113918728298598,0.67005644904242623,0.99605975680881076,0.04747923745049365,0.99932818942599821,0.8263026767306858,0.19907787111070419,0.98248350355360237,0.0072025669945610001,0.99704110887315522,-0.13747645951035781,-0.1808380414312617,-0.094161958568738199,0.45740232467651359,0.31403144995371512,0.54862293508317728
dPL,xaj_lm,0.029485956827799399,0.022253333197699701,0.037574513753255198,0.72178387112087672,0.46066169738769525,0.92156079610188801,0.13534346686469179,0.98802753024631074,0.6585978190104167,0.32939084370930982,0.90600314670138882,0.030378834406534799,0.98192490471733929,0,-0.0188323917137476,0.0188323917137476,0.1157132042778861,0.0605572329627143,0.15397949589623339
dPL,xaj_dm,-0.0030172136094835001,-0.0046601507398817002,-0.0019319852193196,0.0052170541551377998,0.0011575380961099499,0.032193809085422,0.00014911757575135001,0.68734249538845482,0.016119734446207599,0.0040471659766302993,0.078867287105984105,0.00044019487169050004,0.80770026312934029,-0.19962335216572499,-0.2410546139359698,-0.160075329566855,0.0437838501400417,0.0241663397683037,0.0645733520719739
dPL,xaj_c,0.011921167373657201,0.0079321861267088994,0.018268585205078101,0.99467425346374516,0.98431872129440312,0.99863903522491448,0.8166481733322144,0.99975203275680546,0.97563056945800775,0.85695635080337529,0.99366449117660516,0.079248565435409452,0.99882136583328252,-0.29001883239171372,-0.34463276836158191,-0.2335216572504708,0.12238782644271851,0.0826420173048973,0.18031057417392721
dPL,xaj_sm,-0.00017162122224499999,-0.0030391391954923,0.0038574620297079998,0.24897934763055091,0.1012871290508069,0.54912978724429484,0.01437556618138355,0.99835040443821943,0.26170224641498763,0.1218610663163034,0.49249462328459082,0.016819951408787698,0.80688958418996704,-0.0960451977401129,-0.1242937853107344,-0.069679849340866198,-0.077209101225200402,-0.16158613782179981,-0.031462250132309702
dPL,xaj_ex,-0.0151678370802026,-0.023643429342069099,-0.0067850986593646998,0.2047979800324691,0.046307088513123304,0.6337258502056724,9.9999339956983357e-05,0.92217421531677246,0.26786921526256358,0.080747577704881307,0.59635998073377094,0.010143297675408749,0.90500770117107177,-0.1016949152542372,-0.13370998116760821,-0.071563088512240997,-0.071806358663659295,-0.13637554214188921,-0.0270521890764173
dPL,xaj_ki,-0.094562109027590005,-0.1249676729951586,-0.0642851846558707,0.28079024382999962,0.079342140150921642,0.56274294853210449,9.9999992276674946e-05,0.86945150579724995,0.51341955150876717,0.31732664576598579,0.73458897215979446,0.099974189485822346,0.87993472814559937,-0.16572504708097921,-0.19774011299435021,-0.13559322033898299,-0.066138481987374098,-0.1209964293853513,-0.001163546528135
dPL,xaj_kg,-0.031008201518229001,-0.044802246349198403,-0.020262633583375302,0.0581702696425574,0.017917343149227702,0.1924259215593338,0.0055597441470516002,0.7222733327320644,0.1765366217919758,0.052965655922889647,0.4308036821229117,0.0080479954236319495,0.75158289500645237,-0.043314500941619503,-0.073446327683615795,-0.011299435028248501,0.20332944778991599,0.16151198297406411,0.2764652872491361
dPL,xaj_ci,-0.0482801596323649,-0.065883133146497894,-0.034587648179796003,0.59976295630137122,0.25006310145060218,0.75315673483742596,0.031650415725178099,0.8748133579889934,0.71669938829210056,0.56440339485804225,0.83561813831329346,0.1663654810852474,0.94476103120379973,-0.0056497175141242001,-0.013182674199623301,0,-0.2318788899315728,-0.28816691289345431,-0.1669356897473335
dPL,xaj_cg,-0.084024667739868095,-0.11257767677307121,-0.065602064132690402,0.61671113967895486,0.25134718418121316,0.84105885028839111,0.057057499885558846,0.96828377246856689,0.68402445316314675,0.46353167295455922,0.91487085819244385,0.22159612178802468,0.99357491731643677,0.050847457627118599,0.0338983050847457,0.069679849340866198,-0.13837248086929321,-0.1940806731581689,-0.074357070028782002
dPL,xaj_a,-0.00097932486698540009,-0.0070887598498114001,0.0031199948541048,0.51945550688381847,0.28655927756737015,0.82619416302648085,0.091987272788738347,0.972169226613538,0.53942861228153616,0.3015895855837854,0.79167645553062693,0.094367044753041696,0.97038988409371219,-0.007532956685499,-0.022598870056497099,0.0056497175141242001,-0.049548015512268999,-0.090180718436323401,0.00013442543046220001
dPL,xaj_theta,0.00087533833888860004,0.00041899744134679998,0.0014230706370792999,0.0093324390741493998,0.0027359117968723499,0.034670632619124148,0.00059728782910559999,0.52191329002380371,0.0070949775668290001,0.0027414980129553002,0.036908009877571646,0.00076695395490289993,0.22005525919107283,0.067796610169491497,0.0338983050847457,0.103578154425612,0.0022317910423644998,-0.0073651264600741997,0.0094889348874298007
