paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
IC,TGD-CN,Full531,531,within_pooled,0.48245966229076021,0.47806251094241115,0.48698428388708986
IC,TGD-CN,Full531,531,between_all,0.49626783117193751,0.49289497058246934,0.49984980066301549
IC,TGD-CN,Full531,531,excess,0.0074113065264656552,0.0045868425802539914,0.0094856433648807543
IC,TGD-CN,Full531,531,prop_between_gt_within,0.63465160075329563,0.59510357815442561,0.67419962335216577
IC,TGD-CN,Full531,531,prop_excess_gt_0,0.63465160075329563,0.59599811676082859,0.67707156308851213
IC,TGD-CN,ExcludeS5,476,within_a,0.48870168728279478,0.48307333715120615,0.49292378089482519
IC,TGD-CN,ExcludeS5,476,within_b,0.48119745884633802,0.47619694425369397,0.48685807720645952
IC,TGD-CN,ExcludeS5,476,within_pooled,0.48564285053118433,0.48034952706733636,0.48903441092530825
IC,TGD-CN,ExcludeS5,476,between_all,0.49350753314165974,0.48953075391850875,0.49710628608532603
IC,TGD-CN,ExcludeS5,476,excess,0.0043478361820142863,0.0025771392075754169,0.007042695922980141
IC,TGD-CN,ExcludeS5,476,prop_between_gt_within,0.60084033613445376,0.55772058823529413,0.64396008403361349
IC,TGD-CN,ExcludeS5,476,prop_excess_gt_0,0.60084033613445376,0.55462184873949583,0.64495798319327735
IC,TGD-CN,S1,165,within_a,0.4868012373644186,0.47005175246091252,0.4975082310709365
IC,TGD-CN,S1,165,within_b,0.46972603942834762,0.46307937023017554,0.47892689812941713
IC,TGD-CN,S1,165,within_pooled,0.4753898217060874,0.46443964538356003,0.48617966145185132
IC,TGD-CN,S1,165,between_all,0.47776224920366472,0.46900075793928542,0.49111202100329954
IC,TGD-CN,S1,165,excess,8.9680625718291385e-05,-0.0015743988959591171,0.0031675311792404015
IC,TGD-CN,S1,165,prop_between_gt_within,0.50909090909090904,0.43636363636363634,0.58181818181818179
IC,TGD-CN,S1,165,prop_excess_gt_0,0.50909090909090904,0.4303030303030303,0.58181818181818179
IC,TGD-CN,S2,156,within_a,0.49147703300012735,0.48307333715120615,0.49768637961471124
IC,TGD-CN,S2,156,within_b,0.48865225632708265,0.47962247561888038,0.49599444417653049
IC,TGD-CN,S2,156,within_pooled,0.48721835014679515,0.48150933385445627,0.49292185720750126
IC,TGD-CN,S2,156,between_all,0.49120054666959712,0.48274660754898668,0.49826790801129855
IC,TGD-CN,S2,156,excess,0.0020475525819609874,-0.0004638979695194001,0.0044003083993274655
IC,TGD-CN,S2,156,prop_between_gt_within,0.5641025641025641,0.48076923076923078,0.63461538461538458
IC,TGD-CN,S2,156,prop_excess_gt_0,0.5641025641025641,0.49022435897435901,0.64102564102564108
IC,TGD-CN,S3,121,within_a,0.48789399412401824,0.4823968708991303,0.49320637429548425
IC,TGD-CN,S3,121,within_b,0.49460233142580462,0.48113401438939468,0.50423306089045761
IC,TGD-CN,S3,121,within_pooled,0.49245978084515984,0.48528749347999378,0.49876101537540635
IC,TGD-CN,S3,121,between_all,0.5025263288853471,0.49518344843051698,0.50737815617834015
IC,TGD-CN,S3,121,excess,0.0099890252246516154,0.0076570025502286088,0.014715051309745819
IC,TGD-CN,S3,121,prop_between_gt_within,0.7024793388429752,0.6198347107438017,0.77685950413223137
IC,TGD-CN,S3,121,prop_excess_gt_0,0.7024793388429752,0.6198347107438017,0.77685950413223137
IC,TGD-CN,S4,34,within_a,0.48334300623369059,0.46169895300903541,0.50388683497113984
IC,TGD-CN,S4,34,within_b,0.47544305468898163,0.46559307669747513,0.48616440747166478
