paradigm,parameter,parameter_display,comparison,n,median_shift,q25,q75,abs_median
dPL,xaj_lm,lm,GD-CN,531,0.0089732805887858067,-0.030369737413194459,0.061166699727376317,0.0089732805887858067
dPL,xaj_dm,dm,GD-Base,531,0.0014736387464735247,-0.0011959817674424913,0.017623747719658744,0.0014736387464735247
dPL,xaj_dm,dm,GD-CN,531,-0.00083222919040256088,-0.0099273522694905587,0.0076008372836642805,0.00083222919040256088
dPL,xaj_c,c,GD-Base,531,-0.021257281303405762,-0.45366233587265015,0.00045305490493774414,0.021257281303405762
dPL,xaj_c,c,GD-CN,531,-0.0035329312086105347,-0.12220695614814758,0.004559934139251709,0.0035329312086105347
dPL,xaj_sm,sm,GD-Base,531,-0.009870805238422594,-0.047039654380396784,0.0067980364749306507,0.009870805238422594
dPL,xaj_sm,sm,GD-CN,531,-0.016235401755885073,-0.06614945060328431,0.019169988130268288,0.016235401755885073
dPL,xaj_ex,ex,GD-Base,531,0,-0.06851507644904288,0.08270661297597387,0
dPL,xaj_ex,ex,GD-CN,531,-0.011575457296873395,-0.13559813170056595,0.10758041551238615,0.011575457296873395
dPL,xaj_ki,ki,GD-Base,531,0.029028313500540581,-0.022337117365428427,0.14131873879315598,0.029028313500540581
dPL,xaj_ki,ki,GD-CN,531,-0.033785019602094402,-0.1814819872379303,0.048708351595061164,0.033785019602094402
dPL,xaj_kg,kg,GD-Base,531,0.037495132003511705,-0.0039507806234593892,0.20901925229866591,0.037495132003511705
dPL,xaj_kg,kg,GD-CN,531,0.0053793218519006467,-0.052508082839527306,0.11624369770288467,0.0053793218519006467
dPL,xaj_ci,ci,GD-Base,531,0.0079858303070068359,-0.068787328071064413,0.11277698808246187,0.0079858303070068359
dPL,xaj_ci,ci,GD-CN,531,-0.040528972943623787,-0.17651054594251844,0.034990559021631909,0.040528972943623787
dPL,xaj_cg,cg,GD-Base,531,0.0065392255783081055,-0.060303807258605957,0.072363317012786879,0.0065392255783081055
dPL,xaj_cg,cg,GD-CN,531,-0.061010718345642201,-0.26109457015991222,0.0061124563217163086,0.061010718345642201
dPL,xaj_a,a (UH shape),GD-Base,531,0.0052302048124115985,-0.061819969580091269,0.060833137610863036,0.0052302048124115985
dPL,xaj_a,a (UH shape),GD-CN,531,0.005121066652495232,-0.050164502242515827,0.06815939114011571,0.005121066652495232
dPL,xaj_theta,theta (UH scale),GD-Base,531,-0.00037983905237454641,-0.0059040544124749983,0.0031217565903296838,0.00037983905237454641
dPL,xaj_theta,theta (UH scale),GD-CN,531,1.5305211910835413e-05,-0.0044936487236275123,0.010130824449543769,1.5305211910835413e-05
