basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart
01413500,IC-CMA-ES,train,CN-Base,0.20130432292313793,valid,kge,structural,KGE_CN_Base,,
01413500,IC-CMA-ES,train,TGD-Base,0.03613548732153116,valid,kge,structural,KGE_TGD_Base,,
01413500,IC-CMA-ES,train,CN-TGD,0.16516883560160678,valid,kge,structural,KGE_CN_TGD,,
01414500,IC-CMA-ES,test,CN-Base,0.12183220150167562,valid,kge,structural,KGE_CN_Base,,
01414500,IC-CMA-ES,test,TGD-Base,0.06568569881430719,valid,kge,structural,KGE_TGD_Base,,
01414500,IC-CMA-ES,test,CN-TGD,0.05614650268736843,valid,kge,structural,KGE_CN_TGD,,
01414500,IC-CMA-ES,train,CN-Base,0.18235722487322326,valid,kge,structural,KGE_CN_Base,,
01414500,IC-CMA-ES,train,TGD-Base,0.028066365350180922,valid,kge,structural,KGE_TGD_Base,,
01414500,IC-CMA-ES,train,CN-TGD,0.15429085952304233,valid,kge,structural,KGE_CN_TGD,,
01415000,IC-CMA-ES,test,CN-Base,0.13915095413201262,valid,kge,structural,KGE_CN_Base,,
01415000,IC-CMA-ES,test,TGD-Base,0.06805368487365016,valid,kge,structural,KGE_TGD_Base,,
01415000,IC-CMA-ES,test,CN-TGD,0.07109726925836246,valid,kge,structural,KGE_CN_TGD,,
01415000,IC-CMA-ES,train,CN-Base,0.14721707292693376,valid,kge,structural,KGE_CN_Base,,
01415000,IC-CMA-ES,train,TGD-Base,0.029632657891892178,valid,kge,structural,KGE_TGD_Base,,
01415000,IC-CMA-ES,train,CN-TGD,0.11758441503504158,valid,kge,structural,KGE_CN_TGD,,
01423000,IC-CMA-ES,test,CN-Base,0.0941035462337485,valid,kge,structural,KGE_CN_Base,,
01423000,IC-CMA-ES,test,TGD-Base,0.05543205226046144,valid,kge,structural,KGE_TGD_Base,,
01423000,IC-CMA-ES,test,CN-TGD,0.03867149397328706,valid,kge,structural,KGE_CN_TGD,,
01423000,IC-CMA-ES,train,CN-Base,0.20057302971426616,valid,kge,structural,KGE_CN_Base,,
01423000,IC-CMA-ES,train,TGD-Base,0.048197205215027794,valid,kge,structural,KGE_TGD_Base,,
01423000,IC-CMA-ES,train,CN-TGD,0.15237582449923837,valid,kge,structural,KGE_CN_TGD,,
01434025,IC-CMA-ES,test,CN-Base,0.10948619429021222,valid,kge,structural,KGE_CN_Base,,
01434025,IC-CMA-ES,test,TGD-Base,0.019447205025807324,valid,kge,structural,KGE_TGD_Base,,
01434025,IC-CMA-ES,test,CN-TGD,0.0900389892644049,valid,kge,structural,KGE_CN_TGD,,
01434025,IC-CMA-ES,train,CN-Base,0.15167440632214202,valid,kge,structural,KGE_CN_Base,,
01434025,IC-CMA-ES,train,TGD-Base,0.024241554149617817,valid,kge,structural,KGE_TGD_Base,,
01434025,IC-CMA-ES,train,CN-TGD,0.1274328521725242,valid,kge,structural,KGE_CN_TGD,,
01435000,IC-CMA-ES,test,CN-Base,0.11506284457103477,valid,kge,structural,KGE_CN_Base,,
01435000,IC-CMA-ES,test,TGD-Base,0.04813590209769436,valid,kge,structural,KGE_TGD_Base,,
01435000,IC-CMA-ES,test,CN-TGD,0.06692694247334041,valid,kge,structural,KGE_CN_TGD,,
01435000,IC-CMA-ES,train,CN-Base,0.16442613922805105,valid,kge,structural,KGE_CN_Base,,
01435000,IC-CMA-ES,train,TGD-Base,0.03385845404888976,valid,kge,structural,KGE_TGD_Base,,
01435000,IC-CMA-ES,train,CN-TGD,0.13056768517916129,valid,kge,structural,KGE_CN_TGD,,
01439500,IC-CMA-ES,test,CN-Base,0.0418755983973228,valid,kge,structural,KGE_CN_Base,,
01439500,IC-CMA-ES,test,TGD-Base,0.016944301076544988,valid,kge,structural,KGE_TGD_Base,,
