record_type,checkpoint_epoch,paradigm,model,period,metric,status,valid_basin_count,median,p25,p75,mean,sd,minimum,maximum,fraction_positive,bootstrap_ci_low,bootstrap_ci_high,analysis_set,effect,robustness_type,primary_estimate,difference_from_primary,same_direction_as_primary,seed_or_restart,effect_value,estimate,seed_min,seed_max,same_sign_count,all_seeds_agree,claim_id,estimand,ci_lower_bound,ci_upper_bound,positive_fraction,statistical_method,support_status
absolute,100,dPL-MLP,XAJ-CN,test,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0389205933440739,0.0283812299438822,0.0601842207561296,0.0516411211686737,0.0417338225534126,0.0072258421320778,0.4010436328394283,1.0,0.0482206354833422,0.0552641386163182,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-CN,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-CN,train,CT_error_absolute,valid_complete_water_years_primary_min5,531,7.5,4.5,10.5,9.261770244821092,8.207407369458704,1.0,73.0,1.0,8.591313559322034,9.97177495291902,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-CN,train,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0353265641757645,0.0256661471871937,0.0565001351818281,0.0479845798419014,0.0376007733006153,0.0066155435862321,0.2553158252751261,1.0,0.0449042762121831,0.0512204231820641,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-CN,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,test,CT_error_absolute,valid_complete_water_years_primary_min5,531,9.0,6.0,14.0,11.919020715630886,9.950444940347683,1.0,67.0,1.0,11.103578154425612,12.77777777777778,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,test,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0431314209595026,0.0301528555878725,0.0655530448781942,0.0575552515451201,0.0460315597721411,0.0094357721329472,0.3783922747752654,1.0,0.05379588600006,0.0615567050347588,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,train,CT_error_absolute,valid_complete_water_years_primary_min5,531,8.5,5.5,13.5,11.129943502824858,9.295823153976714,1.0,77.5,1.0,10.357815442561206,11.955743879472694,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,train,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0436858583033647,0.0305570388693563,0.0656181903047562,0.0548961258905068,0.04014388436702,0.0077104696510322,0.2618583102901848,1.0,0.0516163633987763,0.0584641398386241,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,test,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,13.0,8.0,23.5,19.39830508474576,17.686393260238344,0.5,119.0,1.0,17.945315442561206,20.905885122410545,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,test,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0618803311446894,0.0383582901450912,0.1189279634799906,0.102386322757344,0.1022803258785078,0.0115238870355928,0.590145461388184,1.0,0.0937103409511356,0.1111932322101645,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,12.5,8.0,23.25,19.16384180790961,17.37984333270204,1.0,107.0,1.0,17.750470809792844,20.654449152542373,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0590579052339235,0.0377912882059044,0.1219283518424651,0.0989959312750885,0.0989572525990184,0.0093420762618638,0.5663406125239998,1.0,0.0906613499427608,0.1075927144073837,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,9.0,6.0,14.0,11.08662900188324,9.118663741264486,0.0,83.0,0.9981167608286252,10.34084274952919,11.875706214689265,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0436371481696024,0.0306578919776688,0.0630764857494576,0.0539581188507245,0.0390097315043609,0.0079673198338816,0.3399440014342527,1.0,0.0507588833350562,0.0573744756569621,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,train,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,7.5,5.0,11.0,9.811676082862524,8.83903943473735,1.0,72.0,1.0,9.09223163841808,10.588559322033898,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,train,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0399884840777597,0.0271964536165198,0.0560451158727666,0.0494824960126098,0.0363781107965439,0.006719661671723,0.2383569734497338,1.0,0.0464255409821061,0.0526102304530393,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,test,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,10.0,7.0,16.0,13.504708097928438,10.717754466811543,1.0,75.0,1.0,12.626177024482107,14.443502824858758,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,test,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0511439628177785,0.0348644469105646,0.0788189369335288,0.0654564701917748,0.0480680307716502,0.0111325044109428,0.2912967245283642,1.0,0.061361789057629,0.0696133905160126,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,train,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,9.5,6.5,14.5,12.527306967984934,10.50110991878228,1.0,77.0,1.0,11.656285310734464,13.422810734463276,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,train,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0480765608502836,0.033659236198901,0.0747680845878547,0.062032640361199,0.0450630401248181,0.0071354526677977,0.2997143037520864,1.0,0.0583145118514063,0.0658819626212262,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,test,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,9.0,6.0,13.5,10.990583804143126,8.655181992246437,1.0,88.0,1.0,10.277754237288136,11.766525423728812,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,test,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0434991728981558,0.0299020195363787,0.0626060882119529,0.0543381953140423,0.0428183528865513,0.0083871421201827,0.3022985434551634,1.0,0.0507414604202587,0.0581331645434629,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,train,CT_error_absolute,valid_complete_water_years_sensitivity_min3,531,8.0,5.0,11.5,9.876647834274952,7.809968283600109,1.0,63.5,1.0,9.234439736346514,10.56499529190207,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,train,AMJJ_error_absolute,valid_complete_water_years_sensitivity_min3,531,0.0401129293104481,0.0296416846104632,0.0578244735756461,0.0503090185929431,0.0361262899085568,0.0084201803696581,0.3203189219710567,1.0,0.0473330003939946,0.0534732768916326,sensitivity_min3,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,sensitivity_min3,,,,,,,,,,,,,,,,,,,
