record_type,family,paradigm,model,period,metric,n,ci_low,ci_high,resamples,seed,method,status,effect,analysis_set,wilcoxon_p,sign_test_p,robustness_type,block_count,block_source,claim_id,summary_level,result_role,bootstrap_statistic,snow_stratum,snow_interval,stratum_n,valid_year_requirement,signature,comparison,metric_unit
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,pbias,165,0.084164461435239701,0.21927252238894099,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,pbias,34,0.33826830376097689,2.5974500779308625,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,pbias,531,0.17195477435551379,0.33613266284194238,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,pbias,55,-1.3267031459594325,2.8267221160431246,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,rmse,121,1.6654650120721974,1.9421062022348965,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,rmse,156,1.1985802907355021,1.4904050998478189,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,rmse,165,0.99831194275628277,1.2352918744499422,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,rmse,34,1.151050393761379,3.368552179000976,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,rmse,531,1.3515532435209212,1.5731748460951109,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,rmse,55,1.8480194708342943,2.8019658039840931,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,kge,121,0.7217005005033672,0.78116365707926094,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
