basin_id,paradigm,model,period,kge,kge_prime,selected_run
01073000,IC-CMA-ES,XAJ-CN,test,0.7890171220561553,0.7890171220561553,True
01073000,dPL-MLP,XAJ-Base,train,0.7751567098830531,0.7751567098830531,True
01073000,dPL-MLP,XAJ-Base,test,0.8048762429370189,0.8048762429370189,True
01073000,dPL-MLP,XAJ-TGD,train,0.7987285149301557,0.7987285149301557,True
01073000,dPL-MLP,XAJ-TGD,test,0.7927992542116049,0.7927992542116049,True
01073000,dPL-MLP,XAJ-CN,train,0.9175602151882708,0.9175602151882708,True
01073000,dPL-MLP,XAJ-CN,test,0.7887245370488756,0.7887245370488756,True
01078000,IC-CMA-ES,XAJ-Base,train,0.6213803544845774,0.6213803544845774,True
01078000,IC-CMA-ES,XAJ-Base,test,0.6347907132765149,0.6347907132765149,True
01078000,IC-CMA-ES,XAJ-TGD,train,0.7460371682266218,0.7460371682266218,True
01078000,IC-CMA-ES,XAJ-TGD,test,0.6882472000506983,0.6882472000506983,True
01078000,IC-CMA-ES,XAJ-CN,train,0.9310914124102856,0.9310914124102856,True
01078000,IC-CMA-ES,XAJ-CN,test,0.8136373883352173,0.8136373883352173,True
01078000,dPL-MLP,XAJ-Base,train,0.6169236527810318,0.6169236527810318,True
01078000,dPL-MLP,XAJ-Base,test,0.6572170227681832,0.6572170227681832,True
01078000,dPL-MLP,XAJ-TGD,train,0.7286726093192961,0.7286726093192961,True
01078000,dPL-MLP,XAJ-TGD,test,0.7077263057007968,0.7077263057007968,True
01078000,dPL-MLP,XAJ-CN,train,0.9146687967100144,0.9146687967100144,True
01078000,dPL-MLP,XAJ-CN,test,0.832807896172191,0.832807896172191,True
01123000,IC-CMA-ES,XAJ-Base,train,0.8808699535130526,0.8808699535130526,True
01123000,IC-CMA-ES,XAJ-Base,test,0.8429455837554847,0.8429455837554847,True
01123000,IC-CMA-ES,XAJ-TGD,train,0.9000545235291247,0.9000545235291247,True
01123000,IC-CMA-ES,XAJ-TGD,test,0.8553092686743067,0.8553092686743067,True
01123000,IC-CMA-ES,XAJ-CN,train,0.8962902523841478,0.8962902523841478,True
01123000,IC-CMA-ES,XAJ-CN,test,0.842230204411972,0.842230204411972,True
01123000,dPL-MLP,XAJ-Base,train,0.8758105030837676,0.8758105030837676,True
01123000,dPL-MLP,XAJ-Base,test,0.8560801612239031,0.8560801612239031,True
01123000,dPL-MLP,XAJ-TGD,train,0.8736779198628902,0.8736779198628902,True
01123000,dPL-MLP,XAJ-TGD,test,0.8728291993640234,0.8728291993640234,True
01123000,dPL-MLP,XAJ-CN,train,0.8770594140987524,0.8770594140987524,True
01123000,dPL-MLP,XAJ-CN,test,0.827820316170256,0.827820316170256,True
01134500,IC-CMA-ES,XAJ-Base,train,0.4325642034120336,0.4325642034120336,True
01134500,IC-CMA-ES,XAJ-Base,test,0.5018861398301999,0.5018861398301999,True
01134500,IC-CMA-ES,XAJ-TGD,train,0.7285728956259541,0.7285728956259541,True
01134500,IC-CMA-ES,XAJ-TGD,test,0.7007452985082971,0.7007452985082971,True
01134500,IC-CMA-ES,XAJ-CN,train,0.8523780333745073,0.8523780333745073,True
01134500,IC-CMA-ES,XAJ-CN,test,0.8521338090634416,0.8521338090634416,True
01134500,dPL-MLP,XAJ-Base,train,0.4115909948059392,0.4115909948059392,True
01134500,dPL-MLP,XAJ-Base,test,0.5426081403085895,0.5426081403085895,True
01134500,dPL-MLP,XAJ-TGD,train,0.6822004576516926,0.6822004576516926,True
01134500,dPL-MLP,XAJ-TGD,test,0.7132248862378991,0.7132248862378991,True
01134500,dPL-MLP,XAJ-CN,train,0.8025237672943332,0.8025237672943332,True
01134500,dPL-MLP,XAJ-CN,test,0.8577653783445096,0.8577653783445096,True
01137500,IC-CMA-ES,XAJ-Base,train,0.5651541654376184,0.5651541654376184,True
01137500,IC-CMA-ES,XAJ-Base,test,0.629614718145131,0.629614718145131,True
01137500,IC-CMA-ES,XAJ-TGD,train,0.6773740966526718,0.6773740966526718,True
01137500,IC-CMA-ES,XAJ-TGD,test,0.6512363859736252,0.6512363859736252,True
01137500,IC-CMA-ES,XAJ-CN,train,0.8673742243962759,0.8673742243962759,True
01137500,IC-CMA-ES,XAJ-CN,test,0.8178186900882981,0.8178186900882981,True
01137500,dPL-MLP,XAJ-Base,train,0.548772380694192,0.548772380694192,True
01137500,dPL-MLP,XAJ-Base,test,0.5945361592963226,0.5945361592963226,True
01137500,dPL-MLP,XAJ-TGD,train,0.6542883654677496,0.6542883654677496,True
01137500,dPL-MLP,XAJ-TGD,test,0.6162384089765067,0.6162384089765067,True
01137500,dPL-MLP,XAJ-CN,train,0.8445936020380083,0.8445936020380083,True
01137500,dPL-MLP,XAJ-CN,test,0.7995474317118488,0.7995474317118488,True
01139000,IC-CMA-ES,XAJ-Base,train,0.572359502635059,0.572359502635059,True
01139000,IC-CMA-ES,XAJ-Base,test,0.5952990116386414,0.5952990116386414,True
01139000,IC-CMA-ES,XAJ-TGD,train,0.7703247285694595,0.7703247285694595,True
01139000,IC-CMA-ES,XAJ-TGD,test,0.7457148235719847,0.7457148235719847,True
01139000,IC-CMA-ES,XAJ-CN,train,0.8764983354934363,0.8764983354934363,True
01139000,IC-CMA-ES,XAJ-CN,test,0.8711210825763364,0.8711210825763364,True
01139000,dPL-MLP,XAJ-Base,train,0.5764286635006188,0.5764286635006188,True
01139000,dPL-MLP,XAJ-Base,test,0.606969304473995,0.606969304473995,True
01139000,dPL-MLP,XAJ-TGD,train,0.7436448792677051,0.7436448792677051,True
01139000,dPL-MLP,XAJ-TGD,test,0.7372404742226403,0.7372404742226403,True
01139000,dPL-MLP,XAJ-CN,train,0.8652298114378106,0.8652298114378106,True
01139000,dPL-MLP,XAJ-CN,test,0.865685638235896,0.865685638235896,True
01139800,IC-CMA-ES,XAJ-Base,train,0.4118506357521735,0.4118506357521735,True
01139800,IC-CMA-ES,XAJ-Base,test,0.3569905371290448,0.3569905371290448,True
01139800,IC-CMA-ES,XAJ-TGD,train,0.7374121239533558,0.7374121239533558,True
01139800,IC-CMA-ES,XAJ-TGD,test,0.6787880651670306,0.6787880651670306,True
01139800,IC-CMA-ES,XAJ-CN,train,0.8240002900931994,0.8240002900931994,True
01139800,IC-CMA-ES,XAJ-CN,test,0.6878119788459284,0.6878119788459284,True
01139800,dPL-MLP,XAJ-Base,train,0.3970634312516922,0.3970634312516922,True
01139800,dPL-MLP,XAJ-Base,test,0.3925797189257818,0.3925797189257818,True
01139800,dPL-MLP,XAJ-TGD,train,0.6971654696715128,0.6971654696715128,True
01139800,dPL-MLP,XAJ-TGD,test,0.736088796442284,0.736088796442284,True
01139800,dPL-MLP,XAJ-CN,train,0.8126463847852348,0.8126463847852348,True
01139800,dPL-MLP,XAJ-CN,test,0.6816862468099445,0.6816862468099445,True
01142500,IC-CMA-ES,XAJ-Base,train,0.5014777348071252,0.5014777348071252,True
01142500,IC-CMA-ES,XAJ-Base,test,0.5132939106158052,0.5132939106158052,True
01142500,IC-CMA-ES,XAJ-TGD,train,0.7960352446253827,0.7960352446253827,True
01142500,IC-CMA-ES,XAJ-TGD,test,0.7283641215807588,0.7283641215807588,True
01142500,IC-CMA-ES,XAJ-CN,train,0.8837988254173974,0.8837988254173974,True
01142500,IC-CMA-ES,XAJ-CN,test,0.8184162240840035,0.8184162240840035,True
01142500,dPL-MLP,XAJ-Base,train,0.4828848476393308,0.4828848476393308,True
01142500,dPL-MLP,XAJ-Base,test,0.5170767245549306,0.5170767245549306,True
01142500,dPL-MLP,XAJ-TGD,train,0.7829010662834155,0.7829010662834155,True
01142500,dPL-MLP,XAJ-TGD,test,0.7514511646143377,0.7514511646143377,True
01142500,dPL-MLP,XAJ-CN,train,0.87174407979696,0.87174407979696,True
01142500,dPL-MLP,XAJ-CN,test,0.8163738242344816,0.8163738242344816,True
01144000,IC-CMA-ES,XAJ-Base,train,0.5228529290213688,0.5228529290213688,True
01144000,IC-CMA-ES,XAJ-Base,test,0.5431531107739894,0.5431531107739894,True
01144000,IC-CMA-ES,XAJ-TGD,train,0.7682820435655564,0.7682820435655564,True
01144000,IC-CMA-ES,XAJ-TGD,test,0.7465862221965667,0.7465862221965667,True
01144000,IC-CMA-ES,XAJ-CN,train,0.8982013238501378,0.8982013238501378,True
01144000,IC-CMA-ES,XAJ-CN,test,0.8286345980805961,0.8286345980805961,True
01144000,dPL-MLP,XAJ-Base,train,0.5218322372844237,0.5218322372844237,True
01144000,dPL-MLP,XAJ-Base,test,0.5553132804330552,0.5553132804330552,True
01144000,dPL-MLP,XAJ-TGD,train,0.7514093294521639,0.7514093294521639,True
01144000,dPL-MLP,XAJ-TGD,test,0.7648224171546153,0.7648224171546153,True
01144000,dPL-MLP,XAJ-CN,train,0.8841768343752148,0.8841768343752148,True
01144000,dPL-MLP,XAJ-CN,test,0.833808193507455,0.833808193507455,True
01162500,IC-CMA-ES,XAJ-Base,train,0.7088983186921272,0.7088983186921272,True
01162500,IC-CMA-ES,XAJ-Base,test,0.739864403793085,0.739864403793085,True
01162500,IC-CMA-ES,XAJ-TGD,train,0.7780325009262378,0.7780325009262378,True
01162500,IC-CMA-ES,XAJ-TGD,test,0.7827435137526745,0.7827435137526745,True
01162500,IC-CMA-ES,XAJ-CN,train,0.9253987983896091,0.9253987983896091,True
01162500,IC-CMA-ES,XAJ-CN,test,0.8587352119057268,0.8587352119057268,True
01162500,dPL-MLP,XAJ-Base,train,0.6910340481647603,0.6910340481647603,True
01162500,dPL-MLP,XAJ-Base,test,0.7379271071332122,0.7379271071332122,True
01162500,dPL-MLP,XAJ-TGD,train,0.7097776582966906,0.7097776582966906,True
01162500,dPL-MLP,XAJ-TGD,test,0.7332735039491767,0.7332735039491767,True
01162500,dPL-MLP,XAJ-CN,train,0.8907580309858847,0.8907580309858847,True
01162500,dPL-MLP,XAJ-CN,test,0.821462619729747,0.821462619729747,True
01169000,IC-CMA-ES,XAJ-Base,train,0.6444629015258523,0.6444629015258523,True
01169000,IC-CMA-ES,XAJ-Base,test,0.6497267137274814,0.6497267137274814,True
01169000,IC-CMA-ES,XAJ-TGD,train,0.7280350073848334,0.7280350073848334,True
01169000,IC-CMA-ES,XAJ-TGD,test,0.6968335435823649,0.6968335435823649,True
01169000,IC-CMA-ES,XAJ-CN,train,0.8859937049492344,0.8859937049492344,True
01169000,IC-CMA-ES,XAJ-CN,test,0.829958678434363,0.829958678434363,True
01169000,dPL-MLP,XAJ-Base,train,0.6455165742163734,0.6455165742163734,True
01169000,dPL-MLP,XAJ-Base,test,0.6564565559903367,0.6564565559903367,True
01169000,dPL-MLP,XAJ-TGD,train,0.5920572987236229,0.5920572987236229,True
01169000,dPL-MLP,XAJ-TGD,test,0.582484010381124,0.582484010381124,True
01169000,dPL-MLP,XAJ-CN,train,0.8777442952216772,0.8777442952216772,True
01169000,dPL-MLP,XAJ-CN,test,0.829591109070512,0.829591109070512,True
01170100,IC-CMA-ES,XAJ-Base,train,0.6459189571472939,0.6459189571472939,True
01170100,IC-CMA-ES,XAJ-Base,test,0.6437944096918153,0.6437944096918153,True
01170100,IC-CMA-ES,XAJ-TGD,train,0.7117940782568275,0.7117940782568275,True
01170100,IC-CMA-ES,XAJ-TGD,test,0.6788665099343669,0.6788665099343669,True
