basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart,model,structure,analysis_set
01022500,IC-dPL,train_minus_test,G_dPL,0.03393137782486344,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_dPL,0.039977000736877821,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01022500,dPL-MLP,test,CN-Base,0.057246072066473599,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01022500,dPL-MLP,test,CN-Base_test,0.057246072066473599,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01022500,dPL-MLP,test,CN-TGD,0.1074530251212794,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01022500,dPL-MLP,test,CN-TGD_test,0.1074530251212794,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01022500,dPL-MLP,test,TGD-Base,-0.0502069530548057,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01022500,dPL-MLP,test,TGD-Base_test,-0.0502069530548057,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-TGD,,
01022500,dPL-MLP,test_minus_train,E_CN-Base,-0.13867747175078171,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01022500,dPL-MLP,test_minus_train,E_CN-TGD,-0.0072922836644363003,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01022500,dPL-MLP,test_minus_train,E_TGD-Base,-0.13138518808634531,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-TGD,,
01022500,dPL-MLP,train,CN-Base,0.19592354381725541,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01022500,dPL-MLP,train,CN-Base_train,0.19592354381725541,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01022500,dPL-MLP,train,CN-TGD,0.1147453087857158,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01022500,dPL-MLP,train,CN-TGD_train,0.1147453087857158,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01022500,dPL-MLP,train,TGD-Base,0.082166785431266903,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01022500,dPL-MLP,train,TGD-Base_train,0.082166785431266903,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-TGD,,
01031500,IC-CMA-ES,,train_minus_test,-0.0335674190655115,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-TGD,,
01031500,IC-CMA-ES,,train_minus_test,0.0097990818201352005,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-Base,,
01031500,IC-CMA-ES,,train_minus_test,0.031365798963086403,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-CN,,
01031500,IC-CMA-ES,test,CN-Base,0.2505535555851644,valid,kge,structural,KGE_CN_Base,,,,,
01031500,IC-CMA-ES,test,CN-Base_test,0.2505535555851644,valid,kge,generalization_exposure,KGE_XAJ-CN_test - KGE_XAJ-Base_test,,,XAJ-CN,,
01031500,IC-CMA-ES,test,CN-TGD,0.1830610630779726,valid,kge,structural,KGE_CN_TGD,,,,,
01031500,IC-CMA-ES,test,CN-TGD_test,0.1830610630779726,valid,kge,generalization_exposure,KGE_XAJ-CN_test - KGE_XAJ-TGD_test,,,XAJ-CN,,
01031500,IC-CMA-ES,test,TGD-Base,0.067492492507191804,valid,kge,structural,KGE_TGD_Base,,,,,
01031500,IC-CMA-ES,test,TGD-Base_test,0.067492492507191804,valid,kge,generalization_exposure,KGE_XAJ-TGD_test - KGE_XAJ-Base_test,,,XAJ-TGD,,
01031500,IC-CMA-ES,test_minus_train,E_CN-Base,-0.021566717142951101,valid,kge,generalization_exposure,(KGE_XAJ-CN_test - KGE_XAJ-Base_test) - (KGE_XAJ-CN_train - KGE_XAJ-Base_train),,,XAJ-CN,,
01031500,IC-CMA-ES,test_minus_train,E_CN-TGD,-0.064933218028597903,valid,kge,generalization_exposure,(KGE_XAJ-CN_test - KGE_XAJ-TGD_test) - (KGE_XAJ-CN_train - KGE_XAJ-TGD_train),,,XAJ-CN,,
01031500,IC-CMA-ES,test_minus_train,E_TGD-Base,0.0433665008856466,valid,kge,generalization_exposure,(KGE_XAJ-TGD_test - KGE_XAJ-Base_test) - (KGE_XAJ-TGD_train - KGE_XAJ-Base_train),,,XAJ-TGD,,
01031500,IC-CMA-ES,train,CN-Base,0.27212027272811562,valid,kge,structural,KGE_CN_Base,,,,,
01031500,IC-CMA-ES,train,CN-Base_train,0.27212027272811562,valid,kge,generalization_exposure,KGE_XAJ-CN_train - KGE_XAJ-Base_train,,,XAJ-CN,,
01031500,IC-CMA-ES,train,CN-TGD,0.2479942811065706,valid,kge,structural,KGE_CN_TGD,,,,,
01031500,IC-CMA-ES,train,CN-TGD_train,0.2479942811065706,valid,kge,generalization_exposure,KGE_XAJ-CN_train - KGE_XAJ-TGD_train,,,XAJ-CN,,
01031500,IC-CMA-ES,train,TGD-Base,0.024125991621544898,valid,kge,structural,KGE_TGD_Base,,,,,
01031500,IC-CMA-ES,train,TGD-Base_train,0.024125991621544898,valid,kge,generalization_exposure,KGE_XAJ-TGD_train - KGE_XAJ-Base_train,,,XAJ-TGD,,
01031500,IC-dPL,test,B_IC_minus_dPL,-0.038360257469556513,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01031500,IC-dPL,test,B_IC_minus_dPL,0.004393018538192961,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01031500,IC-dPL,test,B_IC_minus_dPL,0.018878977122478435,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01031500,IC-dPL,test,IC_minus_dPL,-0.0383602574695565,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-Base,,
