basin_id,paradigm,model,period,seed_or_restart,ct_error_signed,ct_error_abs,amjj_error_signed,amjj_error_abs
01365000,IC-CMA-ES,XAJ-CN,test,selected_restart,13.133333333333333,16.466666666666665,0.0146912539107429,0.0354755964787233
01365000,dPL-MLP,XAJ-Base,test,selected_restart,-16.666666666666668,19.33333333333333,-0.0845586603777778,0.0845586603777778
01365000,dPL-MLP,XAJ-TGD,test,selected_restart,-16.666666666666668,19.466666666666665,-0.0810159391062629,0.0810159391062629
01365000,dPL-MLP,XAJ-CN,test,selected_restart,13.933333333333334,16.6,0.0199596508446164,0.03954136300104
01411300,IC-CMA-ES,XAJ-Base,test,selected_restart,-8.133333333333333,16.933333333333334,-0.0259159629745758,0.0578110957358515
01411300,IC-CMA-ES,XAJ-TGD,test,selected_restart,-9.8,17.533333333333335,-0.0301150645021077,0.0582783266121383
01411300,IC-CMA-ES,XAJ-CN,test,selected_restart,-6.8,16.666666666666668,-0.0190769230528152,0.0557756656621134
01411300,dPL-MLP,XAJ-Base,test,selected_restart,-8.666666666666666,17.733333333333334,-0.0234460965001062,0.0604856187318003
01411300,dPL-MLP,XAJ-TGD,test,selected_restart,-11.4,18.73333333333333,-0.0304401174389795,0.067652016303364
01411300,dPL-MLP,XAJ-CN,test,selected_restart,-7.133333333333334,15.8,-0.022812659065274,0.0559889062458511
01413500,IC-CMA-ES,XAJ-Base,test,selected_restart,-16.933333333333334,18.666666666666668,-0.0961062431162706,0.0961062431162706
01413500,IC-CMA-ES,XAJ-TGD,test,selected_restart,-10.0,13.333333333333334,-0.0712311704780768,0.0712311704780768
01413500,IC-CMA-ES,XAJ-CN,test,selected_restart,13.8,14.733333333333333,0.024218547361482,0.0514494719767955
01413500,dPL-MLP,XAJ-Base,test,selected_restart,-17.466666666666665,18.53333333333333,-0.0924436191545041,0.0924436191545041
01413500,dPL-MLP,XAJ-TGD,test,selected_restart,-14.133333333333333,15.6,-0.0778057396239153,0.0778057396239153
01413500,dPL-MLP,XAJ-CN,test,selected_restart,16.866666666666667,17.0,0.0430187185778109,0.0552403096286551
01414500,IC-CMA-ES,XAJ-Base,test,selected_restart,-8.4,14.533333333333331,-0.0697285396200005,0.0697285396200005
01414500,IC-CMA-ES,XAJ-TGD,test,selected_restart,-4.133333333333334,13.066666666666666,-0.0538768820307238,0.0541498428891344
01414500,IC-CMA-ES,XAJ-CN,test,selected_restart,19.866666666666667,20.133333333333333,0.0469623086510515,0.0573792487555349
01414500,dPL-MLP,XAJ-Base,test,selected_restart,-8.333333333333334,13.933333333333334,-0.0663084916613085,0.0663769295293288
01414500,dPL-MLP,XAJ-TGD,test,selected_restart,-5.466666666666667,12.933333333333334,-0.0542514058293485,0.0547012736875014
01414500,dPL-MLP,XAJ-CN,test,selected_restart,21.266666666666666,21.53333333333333,0.0567208635467704,0.0655257404023016
01415000,IC-CMA-ES,XAJ-Base,test,selected_restart,-17.133333333333333,18.066666666666663,-0.0700878851224979,0.0700878851224979
01415000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-13.133333333333333,14.333333333333334,-0.0596591862648726,0.0596970069713699
01415000,IC-CMA-ES,XAJ-CN,test,selected_restart,13.0,14.333333333333334,0.034642488498489,0.0405897260975737
01415000,dPL-MLP,XAJ-Base,test,selected_restart,-13.266666666666667,15.133333333333333,-0.0600063187489907,0.0600063187489907
01415000,dPL-MLP,XAJ-TGD,test,selected_restart,-10.933333333333334,12.933333333333334,-0.0497816436101993,0.0499056385833201
01415000,dPL-MLP,XAJ-CN,test,selected_restart,14.0,14.933333333333334,0.0450364825516938,0.0483150816128731
01423000,IC-CMA-ES,XAJ-Base,test,selected_restart,-20.666666666666668,22.0,-0.0840757503288099,0.0852468923597051
01423000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-14.266666666666667,17.333333333333332,-0.0693991873837619,0.0715172326434169
01423000,IC-CMA-ES,XAJ-CN,test,selected_restart,11.066666666666666,11.6,0.0202651744905005,0.0373459201313091
01423000,dPL-MLP,XAJ-Base,test,selected_restart,-14.866666666666667,17.266666666666666,-0.0680087739405144,0.0680087739405144
01423000,dPL-MLP,XAJ-TGD,test,selected_restart,-10.066666666666666,13.133333333333333,-0.0555230631606885,0.0561829801269883
01423000,dPL-MLP,XAJ-CN,test,selected_restart,13.066666666666666,13.066666666666666,0.0414217914961666,0.0466274405644341
01434025,IC-CMA-ES,XAJ-Base,test,selected_restart,-7.266666666666667,15.933333333333334,-0.0742302974461897,0.0742302974461897
01434025,IC-CMA-ES,XAJ-TGD,test,selected_restart,-3.533333333333333,14.6,-0.063731289942998,0.0642748588975345
01434025,IC-CMA-ES,XAJ-CN,test,selected_restart,21.666666666666668,21.666666666666668,0.0582405546904222,0.0612696552349846
01434025,dPL-MLP,XAJ-Base,test,selected_restart,-9.933333333333334,16.2,-0.0759223858912173,0.0759675312074021
01434025,dPL-MLP,XAJ-TGD,test,selected_restart,-9.133333333333333,15.933333333333334,-0.0691446880896274,0.0691446880896274
01434025,dPL-MLP,XAJ-CN,test,selected_restart,21.933333333333334,21.933333333333334,0.0672420123816148,0.068043110200543
01435000,IC-CMA-ES,XAJ-Base,test,selected_restart,-5.266666666666667,10.333333333333334,-0.0701469143217533,0.0701469143217533
01435000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-1.3333333333333333,9.333333333333334,-0.0537036369230081,0.0537036369230081
01435000,IC-CMA-ES,XAJ-CN,test,selected_restart,22.8,22.8,0.0598667403076361,0.0601687459940702
01435000,dPL-MLP,XAJ-Base,test,selected_restart,-8.733333333333333,10.6,-0.0728976269548862,0.0728976269548862
01435000,dPL-MLP,XAJ-TGD,test,selected_restart,-8.4,10.133333333333333,-0.0692638407136727,0.0692638407136727
01435000,dPL-MLP,XAJ-CN,test,selected_restart,21.0,21.0,0.057167800268955,0.0579479305739194
01439500,IC-CMA-ES,XAJ-Base,test,selected_restart,-3.8666666666666663,10.4,-0.043564161031897,0.048815419476395
01439500,IC-CMA-ES,XAJ-TGD,test,selected_restart,2.7333333333333334,7.8,-0.0282094780300609,0.0370583734921268
01439500,IC-CMA-ES,XAJ-CN,test,selected_restart,10.533333333333331,10.666666666666666,-0.0042966498627813,0.027301298985658
01439500,dPL-MLP,XAJ-Base,test,selected_restart,-1.7333333333333334,9.733333333333333,-0.0379461610013795,0.0453515909127048
01439500,dPL-MLP,XAJ-TGD,test,selected_restart,-1.6666666666666667,7.933333333333334,-0.0349948787385773,0.0406219324800389
