metric,summary_level,period,snow_stratum,stratum_n,paradigm,model,median,q25,q75,iqr,mean,std,bootstrap_ci_low,bootstrap_ci_high
kge,snow_stratum,train,S5,55,dPL-MLP,XAJ-CN,0.8242015942577201,0.7409758886136615,0.8774079339563883,0.1364320453427268,0.8002098430015977,0.09926970608260716,0.7956421827051939,0.8484782920133798
kge,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-Base,0.6721597920247813,0.4911596204340955,0.7775133193628598,0.28635369892876433,0.5798733948567217,0.3003433228994657,0.650488214840888,0.6919265469987593
nse,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-Base,0.5885518024235421,0.4166016394123907,0.6886376533947167,0.272036013982326,0.5008797251138856,0.28532615675449235,0.5679638040988435,0.6073302196488213
pbias,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-Base,3.3607989601239066,2.4557981021704776,3.887566596814299,1.4317684946438214,2.899366974283608,1.5017166144973284,3.25244107420444,3.4596327349937965
rmse,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-Base,0.462272166380175,0.37798934450971217,0.6070723036527236,0.2290829591430114,0.5361012841146228,0.24027465831957254,0.4464587624009926,0.47960942812728957
kge,snow_stratum,test,S1,165,IC-CMA-ES,XAJ-Base,0.7447886125946239,0.5979658426049116,0.8267672423669575,0.22880139976204594,0.6702646833249989,0.26379263545205045,0.7257977111735245,0.7813473792574092
kge,snow_stratum,test,S2,156,IC-CMA-ES,XAJ-Base,0.7270366207352998,0.638934274559871,0.79331347706096,0.15437920250108905,0.6873113456807521,0.17056785435185284,0.6974069872623387,0.7505935361867171
kge,snow_stratum,test,S3,121,IC-CMA-ES,XAJ-Base,0.6238309402239999,0.5066319686583098,0.7150834950597655,0.2084515264014557,0.5415996170057175,0.34136201420309503,0.5820318188548903,0.6483674202813843
kge,snow_stratum,test,S4,34,IC-CMA-ES,XAJ-Base,0.5059176433086086,0.26637059388961876,0.6723251604797488,0.40595456659013,0.4461014597413433,0.24771986697787143,0.2971134502837426,0.6013767398695696
kge,snow_stratum,test,S5,55,IC-CMA-ES,XAJ-Base,0.0897939031897098,-0.00236705960461865,0.3044168742336809,0.30678393383829955,0.1708641219127192,0.2156342612753327,0.0545032618991689,0.2231983628362893
kge,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-TGD,0.7094631278294463,0.5988597443363584,0.790218382574613,0.1913586382382546,0.6550708787468965,0.2335516361122274,0.697585755836236,0.7270931470762476
nse,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-TGD,0.623989971437974,0.5189167571195403,0.7007074634458823,0.18179070632634198,0.5723173348095517,0.221874054306616,0.6127064680444242,0.6407384897224352
pbias,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-TGD,3.5473156391472314,2.9942987216817913,3.951091912873065,0.9567931911912737,3.2753543937344824,1.167758180561137,3.48792877918118,3.635465735381238
rmse,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-TGD,0.43242949773644296,0.36782529394030966,0.5209122045309134,0.1530869105906037,0.4759432970024828,0.18684130888978193,0.4183254823390019,0.44193139533101117
