basin_id,paradigm,period,seed_or_restart,signature,first_model,second_model,effect_value,status,analysis_set,valid_years,effect_family,snow_stratum,snow_interval,stratum_n
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-TGD,XAJ-CN,-3.5,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-TGD,XAJ-CN,-3.5,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,AMJJ,XAJ-Base,XAJ-CN,0.055110299929833302,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,AMJJ,XAJ-Base,XAJ-CN,0.055110299929833302,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,AMJJ,XAJ-Base,XAJ-TGD,0.094793265615060407,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,AMJJ,XAJ-Base,XAJ-TGD,0.094793265615060407,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,AMJJ,XAJ-TGD,XAJ-CN,-0.038403004832761302,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,AMJJ,XAJ-TGD,XAJ-CN,-0.038403004832761302,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,CT,XAJ-Base,XAJ-CN,12,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,CT,XAJ-Base,XAJ-CN,12,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,CT,XAJ-Base,XAJ-TGD,18,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,CT,XAJ-Base,XAJ-TGD,18,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,CT,XAJ-TGD,XAJ-CN,-6,primary_minimum_years,primary_min5,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,median_across_seeds,CT,XAJ-TGD,XAJ-CN,-6,primary_minimum_years,sensitivity_min3,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-Base,XAJ-CN,0.055110299929833302,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-Base,XAJ-CN,0.055110299929833302,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-Base,XAJ-CN,0.055110299929833302,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-Base,XAJ-TGD,0.093137486433420999,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-Base,XAJ-TGD,0.093137486433420999,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-Base,XAJ-TGD,0.093137486433420999,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-TGD,XAJ-CN,-0.038027186503587801,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-TGD,XAJ-CN,-0.038027186503587801,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,AMJJ,XAJ-TGD,XAJ-CN,-0.038027186503587801,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-Base,XAJ-CN,13,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-Base,XAJ-CN,13,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-Base,XAJ-CN,13,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-Base,XAJ-TGD,18,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-Base,XAJ-TGD,18,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-Base,XAJ-TGD,18,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-TGD,XAJ-CN,-5,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-TGD,XAJ-CN,-5,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_123,CT,XAJ-TGD,XAJ-CN,-5,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-Base,XAJ-CN,0.048970726211226202,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-Base,XAJ-CN,0.048970726211226202,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-Base,XAJ-CN,0.048970726211226202,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-Base,XAJ-TGD,0.094793265615060407,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-Base,XAJ-TGD,0.094793265615060407,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-Base,XAJ-TGD,0.094793265615060407,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-TGD,XAJ-CN,-0.045822539403834101,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-TGD,XAJ-CN,-0.045822539403834101,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,AMJJ,XAJ-TGD,XAJ-CN,-0.045822539403834101,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-Base,XAJ-CN,12,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-Base,XAJ-CN,12,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-Base,XAJ-CN,12,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-Base,XAJ-TGD,18,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-Base,XAJ-TGD,18,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-Base,XAJ-TGD,18,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-TGD,XAJ-CN,-6,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-TGD,XAJ-CN,-6,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_2026,CT,XAJ-TGD,XAJ-CN,-6,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-Base,XAJ-CN,0.056988277364223801,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-Base,XAJ-CN,0.056988277364223801,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-Base,XAJ-CN,0.056988277364223801,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-Base,XAJ-TGD,0.0953912821969852,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-Base,XAJ-TGD,0.0953912821969852,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
