metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
kge,test,dPL-MLP,CN-TGD,snow_stratum,S2,155,155,0.004154583061522721,-0.006190883377742429,0.010664559637129978,0.5290322580645161,
kge,test,dPL-MLP,CN-TGD,snow_stratum,S3,118,118,0.04040502927009659,0.025791966795403565,0.07040647916995656,0.6864406779661016,
kge,test,dPL-MLP,CN-TGD,snow_stratum,S4,32,32,0.11245238534702523,0.027260559086347336,0.1419418676802826,0.75,
kge,test,dPL-MLP,CN-TGD,snow_stratum,S5,49,49,0.1314691079057252,0.10060836586673816,0.19565075650015062,0.8367346938775511,
kge,test,dPL-MLP,CN-Base,full_sample,full_sample,531,531,0.02344766781921004,0.01539594923973997,0.02922211037179534,0.6629001883239172,
kge,test,dPL-MLP,CN-Base,snow_stratum,S1,165,165,-0.002167328774992705,-0.007054558053773974,0.0011834108729086856,0.45454545454545453,
kge,test,dPL-MLP,CN-Base,snow_stratum,S2,156,156,0.006742700525252721,0.0008320432883109352,0.014255253806555127,0.5897435897435898,
kge,test,dPL-MLP,CN-Base,snow_stratum,S3,121,121,0.0835355125965348,0.06569638780923381,0.10140203300960093,0.8347107438016529,
kge,test,dPL-MLP,CN-Base,snow_stratum,S4,34,34,0.19123421965287224,0.1560297602170224,0.241936636757754,0.8529411764705882,
kge,test,dPL-MLP,CN-Base,snow_stratum,S5,55,55,0.62004644103135,0.5846450010099065,0.7075473920436945,1.0,
ct_error_abs,test,IC-CMA-ES,TGD-Base,full_sample,full_sample,531,531,1.0,0.6666666666666679,1.3333333333333321,,
ct_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S1,165,165,-0.06666666666666643,-0.3333333333333339,0.1333333333333293,,
ct_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S2,156,156,0.5666666666666678,0.06583333333333315,1.0,,
ct_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S3,121,121,1.7333333333333325,1.2666666666666675,3.066666666666668,,
ct_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S4,34,34,4.5000000000000036,2.5333333333333314,13.466666666666667,,
ct_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S5,55,55,38.33333333333333,31.533333333333335,41.06666666666667,,
