basin_id,paradigm,E_param_base,E_param_tgd,C15_base,C15_tgd,E_param_cn,seed,E_param_excess_base,E_param_excess_tgd,G_base,G_TGD_ko,frac_snow,snow_stratum
04197100,dPL,0.0437823996729726,0.034158199640319,0.027855004204644,0.0799807654486762,0.0474821663798208,2026.0,-0.003699766706848198,-0.0133239667395018,0.0280343197292398,0.07545016050388897,0.111863760810241,S2
04197170,IC,0.2732232065439338,0.1804088170150568,0.2657917660170484,0.1267105376015481,0.0572695925686052,,0.21595361397532858,0.12313922444645159,-0.0004162766315358,0.006910677893747441,0.10758495614117,S2
04197170,dPL,0.0386002420269493,0.042068337126863,0.0641434563530816,0.0506550073623657,0.0280101604504308,42.0,0.010590081576518497,0.014058176676432197,0.0237687051887509,0.040897281584373335,0.10758495614117,S2
04197170,dPL,0.0584749641082032,0.0629567449400748,0.028400977452596,0.0880774855613708,0.0377946601039802,123.0,0.020680304004223,0.025162084836094605,0.0199121516414241,0.031364406527844335,0.10758495614117,S2
04197170,dPL,0.0490535427542778,0.0542024652735645,0.0308987299601236,0.1070032119750976,0.0488417983627571,2026.0,0.00021174439152069763,0.005360666910807402,0.0227305178519401,0.03890964658099416,0.10758495614117,S2
04213000,IC,0.2292670575503086,0.2108300628140748,0.2996261467369963,0.1333169588457893,0.2618013298438083,,-0.03253427229349967,-0.05097126702973348,0.0503977481380324,0.1777370265673781,0.162227338465539,S3
04213000,dPL,0.1901515112287089,0.0668299543950179,0.2074169158935546,0.0357578701443142,0.0403212349388306,42.0,0.1498302762898783,0.026508719456187303,0.0407927847647849,0.1724870783772926,0.162227338465539,S3
04213000,dPL,0.1680109645911014,0.1097719285151734,0.1874227735731337,0.0836059294248882,0.03578764339623,123.0,0.1322233211948714,0.0739842851189434,0.0458322853607806,0.16819402562628782,0.162227338465539,S3
04213000,dPL,0.1528726279886191,0.160168708018118,0.1496267161871257,0.1398922204971314,0.0284524797929102,2026.0,0.12442014819570889,0.1317162282252078,0.0397896346312053,0.1717334985139808,0.162227338465539,S3
04213075,IC,0.253080595120007,0.1293548190117106,0.380851483962218,0.189889732089625,0.1489436873095007,,0.10413690781050633,-0.019588868297790107,0.0484377168297986,0.1645877846663052,0.160655070848624,S3
04213075,dPL,0.1903346151200813,0.0908818391050846,0.1780804282740543,0.0800308585166931,0.0556497287759352,42.0,0.1346848863441461,0.0352321103291494,0.0264875711601738,0.1548845988813038,0.160655070848624,S3
