basin_id,paradigm,regime,contrast,within_a,within_b,within_pooled,between_all,excess,prop_between_gt_within,prop_excess_gt_0,frac_snow,snow_stratum,snow_regime
02215100,dPL,dPL,Base-CN,0.099937045986062248,0.081022300512637813,0.090479673249350023,0.087958148251541149,-0.0025215249978088744,False,False,0.0010333057458655,S1,S1
02215100,dPL,dPL,Base-TGD,0.099937045986062248,0.063582316839562086,0.081759681412812174,0.084342242720333416,0.0025825613075212417,True,True,0.0010333057458655,S1,S1
02215100,dPL,dPL,TGD-CN,0.063582316839562086,0.081022300512637813,0.072302308676099949,0.073239950510080185,0.00093764183398023504,True,True,0.0010333057458655,S1,S1
02216180,dPL,dPL,Base-CN,0.06426705257493566,0.071099855186324112,0.067683453880629879,0.065139117275553132,-0.0025443366050767469,False,False,0.000534865436369,S1,S1
02216180,dPL,dPL,Base-TGD,0.06426705257493566,0.091886113264902855,0.078076582919919257,0.088053212377121146,0.0099766294572018882,True,True,0.000534865436369,S1,S1
02216180,dPL,dPL,TGD-CN,0.091886113264902855,0.071099855186324112,0.081492984225613491,0.088889141090906398,0.0073961568652929077,True,True,0.000534865436369,S1,S1
02221525,dPL,dPL,Base-CN,0.15147156605797815,0.1749035901398045,0.16318757809889134,0.11482163066222342,-0.048365947436667917,False,False,0.0095385192188569001,S1,S1
02221525,dPL,dPL,Base-TGD,0.15147156605797815,0.049570921226323457,0.1005212436421508,0.12960864493501134,0.02908740129286054,True,True,0.0095385192188569001,S1,S1
02221525,dPL,dPL,TGD-CN,0.049570921226323457,0.1749035901398045,0.11223725568306397,0.080833077211827628,-0.031404178471236346,False,False,0.0095385192188569001,S1,S1
02231000,dPL,dPL,Base-CN,0.11896101225808571,0.054982851229812391,0.086971931743949044,0.076560121437706879,-0.010411810306242164,False,False,0.00023591806539820001,S1,S1
02231000,dPL,dPL,Base-TGD,0.11896101225808571,0.080748740208362632,0.099854876233224171,0.095202134702421295,-0.0046527415308028758,False,False,0.00023591806539820001,S1,S1
02231000,dPL,dPL,TGD-CN,0.080748740208362632,0.054982851229812391,0.067865795719087518,0.072499456557981873,0.0046336608388943545,True,True,0.00023591806539820001,S1,S1
02245500,dPL,dPL,Base-CN,0.18751469770415957,0.0681994231792174,0.12785706044168849,0.08224880940913544,-0.045608251032553046,False,False,0.00043662854245879999,S1,S1
02245500,dPL,dPL,Base-TGD,0.18751469770415957,0.27795526308033286,0.23273498039224622,0.1588866441276818,-0.073848336264564413,False,False,0.00043662854245879999,S1,S1
02245500,dPL,dPL,TGD-CN,0.27795526308033286,0.0681994231792174,0.17307734312977513,0.14563248777491164,-0.02744485535486349,False,False,0.00043662854245879999,S1,S1
02246000,dPL,dPL,Base-CN,0.21857231169166283,0.065374147484210748,0.14197322958793679,0.081371332294885107,-0.060601897293051682,False,False,0.00033269222309739998,S1,S1
02246000,dPL,dPL,Base-TGD,0.21857231169166283,0.3018455807288063,0.26020894621023455,0.16549475675324427,-0.094714189456990283,False,False,0.00033269222309739998,S1,S1
02246000,dPL,dPL,TGD-CN,0.3018455807288063,0.065374147484210748,0.18360986410650854,0.13195089613994268,-0.051658967966565855,False,False,0.00033269222309739998,S1,S1
02296500,dPL,dPL,Base-CN,0.15592324657577991,0.072808989230275831,0.11436611790302786,0.10490794989363723,-0.0094581680093906301,False,False,0,S1,S1
02296500,dPL,dPL,Base-TGD,0.15592324657577991,0.1997966222383126,0.17785993440704626,0.1394515351638424,-0.038408399243203856,False,False,0,S1,S1
02296500,dPL,dPL,TGD-CN,0.1997966222383126,0.072808989230275831,0.13630280573429421,0.1526494471822851,0.016346641447990889,True,True,0,S1,S1
02297155,dPL,dPL,Base-CN,0.13521396167292071,0.095357105263144143,0.11528553346803243,0.1140227615928435,-0.0012627718751889311,False,False,0,S1,S1
02297155,dPL,dPL,Base-TGD,0.13521396167292071,0.22341984821873656,0.17931690494582864,0.15835323623543296,-0.020963668710395678,False,False,0,S1,S1
02297155,dPL,dPL,TGD-CN,0.22341984821873656,0.095357105263144143,0.15938847674094037,0.1937488001508248,0.03436032340988443,True,True,0,S1,S1
02297310,dPL,dPL,Base-CN,0.10224092029760729,0.3090646476336758,0.20565278396564154,0.10279232178167269,-0.10286046218396885,False,False,0,S1,S1
02297310,dPL,dPL,Base-TGD,0.10224092029760729,0.29077037237843589,0.19650564633802159,0.1491568867598049,-0.047348759578216687,False,False,0,S1,S1
02297310,dPL,dPL,TGD-CN,0.29077037237843589,0.3090646476336758,0.29991751000605582,0.13079116014764305,-0.16912634985841277,False,False,0,S1,S1
02298123,dPL,dPL,Base-CN,0.1151094847422839,0.089045986383166256,0.10207773556272508,0.098236704955293228,-0.0038410306074318501,False,False,0,S1,S1
02298123,dPL,dPL,Base-TGD,0.1151094847422839,0.0640669897183027,0.089588237230293299,0.10506806217859337,0.015479824948300067,True,True,0,S1,S1
