paradigm,omitted_parameter,omitted_index,dimension,n_basins,excess_slope_beta,spearman_rho,prevalence_between_gt_within,median_excess,S1_excess_median,S2_excess_median,S3_excess_median,S4_excess_median,S5_excess_median
IC,xaj_ki,9,14,531,0.15981926660429699,0.55064770248872574,0.64595103578154422,0.0077694538853663175,-0.0020936062781656828,0.0024308335658751179,0.010635189826467051,0.039332214120850362,0.093424179717923994
dPL,xaj_ki,9,14,531,0.19453547529851625,0.43565510347461794,0.81732580037664782,0.053263738713324016,0.01518322831744498,0.04979003884531983,0.10784253779047825,0.13141365881046191,0.12962381944020701
IC,xaj_kg,10,14,531,0.16512725674983708,0.54500431042946562,0.62146892655367236,0.0074644707991753378,-0.0021552026169612271,0.0005457844071148632,0.014254086692071732,0.044407032722111467,0.085227408423976692
dPL,xaj_kg,10,14,531,0.20382578440560287,0.4396653734847738,0.83050847457627119,0.061274698779342551,0.017263205611075194,0.05672345693742701,0.10790819391836606,0.1369168969160432,0.13064587438416081
IC,xaj_ci,11,14,531,0.16160904142042046,0.54984941550359234,0.61205273069679844,0.0078939705381615988,-0.0031429723005257371,0.0003495989003501343,0.013990999751509858,0.051427668248827163,0.087984432340440732
dPL,xaj_ci,11,14,531,0.17561556716269019,0.43232586202999213,0.83050847457627119,0.057703397158806902,0.016287355967372075,0.057904944787507774,0.12950024991194425,0.13704881356958132,0.11926988467242977
IC,xaj_cg,12,14,531,0.14696497874714556,0.53550325261905507,0.59698681732580039,0.0077896753658116547,-0.0032908461852885207,-0.00078740339333682741,0.013328057880044375,0.041437664633552612,0.083627031142757602
dPL,xaj_cg,12,14,531,0.20837095726929239,0.42902146686703208,0.82485875706214684,0.052192349770498941,0.013499603798132392,0.050430117560491969,0.11857780898183354,0.13700163047325994,0.12575796691490435
IC,xaj_a,13,14,531,0.15418616582301004,0.55570608483869988,0.63276836158192096,0.0066211559172761891,-0.0012700441880579283,0.00053482634810023133,0.014254995355815092,0.039087539406334748,0.081338494895770275
dPL,xaj_a,13,14,531,0.19985416973010875,0.43624516258953283,0.83427495291902076,0.061833336203314132,0.016128486094058397,0.059178078088393968,0.13497370369955591,0.1371493335569372,0.1344337276914318
IC,xaj_theta,14,14,531,0.15415771259495753,0.54470727713961575,0.6271186440677966,0.007096150178600491,-0.001251366892655148,0.00092610314886604206,0.011614503389072606,0.047989229054366478,0.07791810377852082
dPL,xaj_theta,14,14,531,0.20023752102781614,0.43937499258646667,0.83615819209039544,0.063255436792536826,0.020018026960554408,0.057674876234183547,0.1312290857854605,0.13849945455325294,0.13300937371318688
