paradigm,contrast,parameter,symbol,display_name,process,n,median_shift,q25,q75,iqr,ci95_low,ci95_high,slope_beta,beta,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,positive_fraction,negative_fraction,near_zero_fraction_0p01
IC,Base-CN,xaj_kg,kg,kg,routing,531,0,-0.16973881840924521,0.011142957156809541,0.18088177556605475,0,0,-0.20287954917992571,-0.20287954917992571,-0.41093280901794582,0.0045658365068301831,-0.20495305231408828,-0.29730834119308491,-0.11812857845830371,0.26741996233521659,0.4256120527306968,0.3408662900188324
IC,Base-CN,xaj_ci,ci,ci,routing,531,0,-0.29467586280526525,0.10027114378831947,0.39494700659358473,-0.016296644323933497,0,-0.4138156249413491,-0.4138156249413491,-0.62534510636029861,-0.20289695342844408,-0.18322056530884787,-0.26205710880152316,-0.10685663607494576,0.3935969868173258,0.4896421845574388,0.1544256120527307
IC,Base-CN,xaj_cg,cg,cg,routing,531,0,-0.14762992778399267,0.21291072418600901,0.36054065197000168,0,0,0.29246957758968067,0.29246957758968067,0.14797218224842615,0.44955999525111007,0.0071941081421228121,-0.081803429459588101,0.096266096539021753,0.43879472693032018,0.40677966101694918,0.21468926553672316
IC,Base-CN,xaj_a,a,a (UH shape),routing,531,0,-0.023205599114065889,0.030370239658931042,0.053575838772996931,0,0,0.036294099089496497,0.036294099089496497,-0.15733669765544589,0.25897694197593696,0.037734163337270366,-0.045003602232896227,0.12249689720310182,0.30696798493408661,0.29001883239171372,0.44256120527306969
IC,Base-CN,xaj_theta,theta,theta (UH scale),routing,531,0,-0.017544629993361829,0,0.017544629993361829,0,0,-0.016638478920533994,-0.016638478920533994,-0.25545517543310736,0.23468415320482222,-0.081069655893885428,-0.16812115509754125,0.015227275019538293,0.21092278719397364,0.31638418079096048,0.54802259887005644
dPL,Base-CN,xaj_k,k,k,soil,531,0.002164691686630249,-0.010396763682365417,0.017470046877861023,0.02786681056022644,0.00072495639324188232,0.0043202484055655079,-0.0035610211697142658,-0.0035610211697142658,-0.046869355571769834,0.037173651669330003,-0.071871476436633192,-0.17036314875117509,0.010356708041060779,0.56497175141242939,0.43502824858757061,0.40301318267419961
dPL,Base-CN,xaj_b,b,b,soil,531,0.0035018324412567914,-0.023055083760398519,0.095158616749442038,0.11821370050984056,-5.0095826108028434e-05,0.0093434302826501114,0.023791070761081865,0.023791070761081865,-0.051389172529878388,0.11679242642176237,0.0875947645198214,0.014011577399056986,0.16575749864603656,0.54048964218455742,0.45951035781544258,0.22222222222222221
dPL,Base-CN,xaj_im,im,im,soil,531,-0.0016271863779300979,-0.01781034982754684,3.1154815006788803e-06,0.017813465309047517,-0.0027601557454482099,-0.0009527815651632957,-0.1417769706840302,-0.1417769706840302,-0.22050611460279859,-0.055933770902013777,-0.34518372724346874,-0.42474913457617064,-0.25703217674600792,0.25235404896421848,0.70621468926553677,0.63276836158192096
dPL,Base-CN,xaj_um,um,um,soil,531,0.0107308030128479,-0.0051697492599487305,0.16419181227684021,0.16936156153678894,0.0080864131450653076,0.015039736405014992,0.56554230035400632,0.56554230035400632,0.3773965877005217,0.75428258135928317,0.25263362570743647,0.16346366609042734,0.34395866891304283,0.68361581920903958,0.31638418079096048,0.27306967984934089
dPL,Base-CN,xaj_lm,lm,lm,soil,531,0.029485918581485748,-0.010497346520423889,0.11588293313980103,0.12638027966022491,0.022245526313781738,0.037465952336788171,0.092165756396639806,0.092165756396639806,0.015728217004986656,0.19522341680475472,0.094088861203600285,0.01740234474997901,0.18335054793285202,0.69868173258003763,0.30131826741996232,0.13935969868173259
dPL,Base-CN,xaj_dm,dm,dm,soil,531,-0.0030172066763043404,-0.019271566648967564,0.00052862611482851207,0.019800192763796076,-0.0046874232939444482,-0.0019098473712801933,-0.10612166863221756,-0.10612166863221756,-0.20859953761159408,0.0021467521719501807,-0.070552821562880799,-0.16510033349148537,0.025625763840645688,0.2975517890772128,0.69868173258003763,0.51224105461393599
dPL,Base-CN,xaj_c,c,c,soil,531,0.011921167373657227,-0.00044676661491394043,0.10008853673934937,0.10053530335426331,0.0081845089793205275,0.020200431346893311,0.25348467690935134,0.25348467690935134,0.11523061165275184,0.38059620936021044,0.24446505483639414,0.15877446726983171,0.3265458454082853,0.72128060263653482,0.27871939736346518,0.35028248587570621
dPL,Base-CN,xaj_sm,sm,sm,routing,531,-0.00017159804701805115,-0.045099548995494843,0.079051092267036438,0.12415064126253128,-0.0031958017498254776,0.0034598536323755787,0.26821819448254475,0.26821819448254475,0.1821937630366938,0.36651414379907776,0.1478118120185761,0.064339755500900694,0.22496992451160983,0.49717514124293788,0.50282485875706218,0.16949152542372881
dPL,Base-CN,xaj_ex,ex,ex,routing,531,-0.015167799122290559,-0.11135229328616925,0.077484938275061921,0.18883723156123117,-0.023892283139827608,-0.0062057856060877842,-0.09537919960682166,-0.09537919960682166,-0.15639481989766291,-0.034683785517329375,-0.095551345402167559,-0.17184159706241442,-0.019762605507425545,0.4143126177024482,0.5856873822975518,0.096045197740112997
dPL,Base-CN,xaj_ki,ki,ki,routing,531,-0.094562007366554929,-0.35979210717691501,0.025100647975706228,0.38489275515262122,-0.11950944160547525,-0.065984307595928993,-0.31458440887530081,-0.31458440887530081,-0.44040762129575167,-0.19380389861207184,-0.32763509243959493,-0.39566459387783209,-0.25108165044049224,0.31638418079096048,0.68361581920903958,0.058380414312617701
dPL,Base-CN,xaj_kg,kg,kg,routing,531,-0.031008146175177671,-0.18971430326899363,0.01239019797503611,0.20210450124402973,-0.044802262616118999,-0.020262592127066128,0.011041811570348904,0.011041811570348904,-0.080698267042711602,0.10460255852713772,-0.088103071353126255,-0.16467256880470149,-0.0045371652792957906,0.35216572504708099,0.64783427495291901,0.15254237288135594
dPL,Base-CN,xaj_ci,ci,ci,routing,531,-0.048280237826235028,-0.22929524767941226,0.030505596783277744,0.25980084446269003,-0.065883336706073103,-0.034587695278387703,-0.53123628255501198,-0.53123628255501198,-0.70403943294951832,-0.36571444435660605,-0.2904491855070101,-0.36587444241973643,-0.2160833199433117,0.33898305084745761,0.66101694915254239,0.067796610169491525
dPL,Base-CN,xaj_cg,cg,cg,routing,531,-0.084024449354274111,-0.25718105010533077,0.00019940738663848379,0.25738045749196925,-0.11192652271425629,-0.065562425818272888,0.059039888656349279,0.059039888656349279,-0.037957348622518337,0.15827226789329127,-0.11873148350903656,-0.20247177209948058,-0.036620089611386256,0.25235404896421848,0.74764595103578158,0.10734463276836158
dPL,Base-CN,xaj_a,a,a (UH shape),routing,531,-0.00097918513657091477,-0.053868414742976656,0.046556012373332678,0.10042442711630933,-0.0070771577301406152,0.0029603243847657413,-0.01221403493489702,-0.01221403493489702,-0.12120274256906531,0.10352955677275448,-0.011317321000180567,-0.097926794778131529,0.072249128049674191,0.49340866290018831,0.50659133709981163,0.13559322033898305
dPL,Base-CN,xaj_theta,theta,theta (UH scale),routing,531,0.00087534775957465172,-0.0019709249027073383,0.0070396112278103828,0.0090105361305177212,0.00040162034565582871,0.0013937666080892086,0.13038556534209481,0.13038556534209481,0.049678948588910386,0.22431217209396775,0.10944875238010224,0.025320721512253667,0.20266686503065373,0.57815442561205277,0.42184557438794729,0.68549905838041436
