paradigm,contrast,stratum,n_basins,metric,estimate,q25,q75,iqr,ci_lower,ci_upper
dPL,Base-CN,S1,165,within_pooled,0.10519306744080191,0.082239526113132663,0.14490954261739494,0.06267001650426228,0.098688753917448996,0.11726218179123003
dPL,Base-CN,S1,165,between_all,0.13223309958029966,0.099710167299995461,0.21326616966032111,0.11355600236032565,0.12436014964740995,0.15097381130656379
dPL,Base-CN,S1,165,excess,0.018614034456662154,-0.0032407096623293941,0.075931600607337169,0.079172310269666563,0.007092124790726545,0.025960506394481928
dPL,Base-CN,S1,165,prop_between_gt_within,0.70303030303030301,,,,0.63636363636363635,0.76969696969696966
dPL,Base-CN,S1,165,prop_excess_gt_0,0.70303030303030301,,,,0.63636363636363635,0.76969696969696966
dPL,Base-CN,S2,156,within_base,0.091444678287659384,0.070752579100598026,0.12851306759323639,0.057760488492638359,0.084450871005459893,0.10209076907310415
dPL,Base-CN,S2,156,within_cn,0.095714503531367734,0.071295875539820502,0.13371996761458094,0.062424092074760434,0.088206081826058089,0.1056493081126639
dPL,Base-CN,S2,156,within_pooled,0.097710590975010808,0.079853070041686236,0.12727707751016515,0.047424007468478913,0.093037198221111256,0.10376692330363622
dPL,Base-CN,S2,156,between_all,0.16526149732238976,0.12276232180558655,0.22418291070885912,0.10142058890327257,0.14704148795218128,0.18371090609465585
dPL,Base-CN,S2,156,excess,0.055701699831684805,0.015289396841596706,0.12392045111280213,0.10863105427120542,0.043571212675262934,0.079985659999855213
dPL,Base-CN,S2,156,prop_between_gt_within,0.87179487179487181,,,,0.82051282051282048,0.92307692307692313
dPL,Base-CN,S2,156,prop_excess_gt_0,0.87179487179487181,,,,0.82051282051282048,0.92003205128205112
dPL,Base-CN,S3,121,within_base,0.096638778729663866,0.076279391446188102,0.13644292756831614,0.060163536122128033,0.088659366794267377,0.10487519612399807
dPL,Base-CN,S3,121,within_cn,0.098200916896641802,0.075353425539022481,0.14292959563055121,0.067576170091528734,0.087974622746442799,0.10727548375950145
dPL,Base-CN,S3,121,within_pooled,0.10555644982363763,0.082400492660723912,0.13577455890145906,0.053374066240735152,0.10027403025971961,0.11531939720158099
dPL,Base-CN,S3,121,between_all,0.23333924444547274,0.16088150527154133,0.34671068791453596,0.18582918264299464,0.19684360215030577,0.28246647097619426
dPL,Base-CN,S3,121,excess,0.12667214869502766,0.049235472079335263,0.23224724284073037,0.1830117707613951,0.10078042164189124,0.1715079543613427
dPL,Base-CN,S3,121,prop_between_gt_within,0.92561983471074383,,,,0.87995867768595049,0.96694214876033058
dPL,Base-CN,S3,121,prop_excess_gt_0,0.92561983471074383,,,,0.87603305785123964,0.96694214876033058
dPL,Base-CN,S4,34,within_base,0.12441879525611693,0.084863095216700851,0.22563552059795955,0.1407724253812587,0.09745454637811729,0.16180794550096209
dPL,Base-CN,S4,34,within_cn,0.12894244546714836,0.093895941890730694,0.18063005149414876,0.086734109603418069,0.10047835657014678,0.16375318191062999
dPL,Base-CN,S4,34,within_pooled,0.13852933515807436,0.10939459120478262,0.18582168688976514,0.076427095684982516,0.11484475549184188,0.17386610445173223
dPL,Base-CN,S4,34,between_all,0.34584479972375559,0.26386569756163403,0.42453593049044042,0.16067023292880639,0.2874358592973264,0.41610182345477176
dPL,Base-CN,S4,34,excess,0.13217237163706033,0.082491476173055703,0.31288593530985531,0.23039445913679962,0.092606194318578472,0.27481103055161638
dPL,Base-CN,S4,34,prop_between_gt_within,0.97058823529411764,,,,0.91176470588235292,1
dPL,Base-CN,S4,34,prop_excess_gt_0,0.97058823529411764,,,,0.91176470588235292,1
dPL,Base-CN,S5,55,within_base,0.10672202836160073,0.071566986691905504,0.17366977751178905,0.10210279081988355,0.08488642106487429,0.12228300865771108
dPL,Base-CN,S5,55,within_cn,0.11748313559233163,0.093769185074844608,0.16353805160923246,0.069768866534387852,0.10806534145404174,0.14550869353794885
dPL,Base-CN,S5,55,within_pooled,0.11941344210402753,0.096920846147639975,0.16538305190691968,0.068462205759279707,0.10694759882698728,0.14851395159568972
dPL,Base-CN,S5,55,between_all,0.30661356309640764,0.14443024787703018,0.41584818124819956,0.27141793337116937,0.22722008151223347,0.3876813327895246
dPL,Base-CN,S5,55,excess,0.12519821335216616,0.036967903789203338,0.29710630138305572,0.26013839759385238,0.06276648523114034,0.21888776082257799
dPL,Base-CN,S5,55,prop_between_gt_within,0.87272727272727268,,,,0.78181818181818186,0.94545454545454544
dPL,Base-CN,S5,55,prop_excess_gt_0,0.87272727272727268,,,,0.79045454545454552,0.96363636363636362
