basin_id,paradigm,snow_stratum,frac_snow,excess_base_cn,excess_base_tgd,delta_excess,is_delta_excess_positive,is_base_cn_between_gt_within,is_base_tgd_between_gt_within
02055100,IC,S2,0.062211991887398101,-0.0067854594182572003,-0.0225978821903564,0.0158124227720992,True,False,False
02056900,IC,S2,0.064605937280813597,-0.013556114165099,0.00037955496085630001,-0.013935669125955299,False,False,True
02059500,IC,S2,0.052938916295318002,-0.0049741104072412003,0.00087347842272469999,-0.0058475888299659006,False,False,True
02064000,IC,S2,0.0606011692596162,-0.0129418766326206,-0.0068949808029937004,-0.0060468958296268993,False,False,False
02065500,IC,S2,0.061713997073264901,-0.019784280121824701,-0.013753687236429699,-0.0060305928853950017,False,False,False
02069700,IC,S2,0.053395158761216803,0.002849076380425,0.019582622646661298,-0.016733546266236299,False,True,True
02070000,IC,S2,0.0508621647943431,0.012755787889313501,-0.020173897316695399,0.032929685206008898,True,True,False
02074500,IC,S2,0.052469020841380901,0.00055416492523309999,-0.0135971123406382,0.014151277265871299,True,True,False
02077200,IC,S1,0.0489889008542847,0.0124231250480619,-0.0054106412454997003,0.0178337662935616,True,True,False
02081500,IC,S1,0.043624771397296702,0.0125243824608837,0.0051118876660138004,0.0074124947948698994,True,True,True
02082950,IC,S1,0.0329927432325966,0.00029373272472359998,0.038445523453226299,-0.038151790728502701,False,True,True
02092500,IC,S1,0.0120832517590196,0.00017122655685990001,0.021741452175991199,-0.0215702256191313,False,True,True
02096846,IC,S1,0.039252545203284903,0.027022642700523,0.00059356457931940005,0.026429078121203601,True,True,True
02102908,IC,S1,0.0235111757954398,-0.0093015142763133996,-0.024965834810323301,0.015664320534009901,True,False,False
02108000,IC,S1,0.0092819261110396005,0.0110721583347194,0.0082402882071526008,0.0028318701275667994,True,True,True
02111180,IC,S1,0.0460568781002514,0.013781294185706301,-0.0090118368694012997,0.0227931310551076,True,True,False
02111500,IC,S2,0.052369251671881403,-0.0058512493692008003,0.0028702453789746,-0.0087214947481753999,False,False,True
02112120,IC,S2,0.0524049751607387,0.0027237107739112999,-0.0083727520159242001,0.0110964627898355,True,True,False
02112360,IC,S2,0.053113627447001301,-0.011945379923818399,0.033287684500976501,-0.045233064424794897,False,False,True
02118500,IC,S1,0.041370835021144102,-0.0034656264009659998,-0.00045735649498540002,-0.0030082699059805996,False,False,False
02125000,IC,S1,0.024791233169001101,0.0070010071308903004,0.076639159168110496,-0.069638152037220194,False,True,True
02128000,IC,S1,0.025670443380134501,-0.0069530529761502998,-0.0075465261896794002,0.00059347321352910039,True,False,False
02137727,IC,S1,0.040531531076179503,-0.031028124292188802,-0.0056263724158940997,-0.025401751876294704,False,False,False
02140991,IC,S1,0.042038466834978201,-0.017890062666762501,0.0054877375767234003,-0.023377800243485902,False,False,True
02143000,IC,S1,0.031326215681695101,0.040105309986788101,0.0067238371199606004,0.033381472866827501,True,True,True
02143040,IC,S1,0.0345610698452,-0.020540016390286801,0.027711150763965599,-0.0482511671542524,False,False,True
02149000,IC,S1,0.029590457635321001,-0.0065602493392032,0.00093123915549619995,-0.0074914884946993996,False,False,True
02152100,IC,S1,0.030080746914399902,0.0072867710324587996,0.013748735766120301,-0.0064619647336615011,False,True,True
02177000,IC,S1,0.026739557459190499,0.019622066795039899,-0.0089442538589732008,0.0285663206540131,True,True,False
02178400,IC,S1,0.033836252850455002,-0.023976208421985699,0.0080902454299433997,-0.032066453851929098,False,False,True
02193340,IC,S1,0.0127448828346304,0.0020662414404832999,-0.00032046441805160002,0.0023867058585349001,True,True,False
02196000,IC,S1,0.014697822503636901,-0.0025620265938880002,-0.020799348405879398,0.018237321811991399,True,False,False
02198100,IC,S1,0.0030935926215691001,-0.0136897727309077,-0.0112751671249566,-0.0024146056059511003,False,False,False
02202600,IC,S1,0.00045680489760400002,0.0285558798871627,-0.0261321354099372,0.0546880152970999,True,True,False
02212600,IC,S1,0.0090237999831922003,-0.0143931674994008,-0.0148661628895348,0.00047299539013400012,True,False,False
02215100,IC,S1,0.0010333057458655,-0.0085564598805947002,-0.0066073325629145002,-0.0019491273176802,False,False,False
02216180,IC,S1,0.000534865436369,0.024237978977087699,-0.0010269558153356,0.0252649347924233,True,True,False
02221525,IC,S1,0.0095385192188569001,-0.011486511343292099,0.040693651804553498,-0.052180163147845599,False,False,True
02231000,IC,S1,0.00023591806539820001,-0.0133416467279767,0.0035260289940183,-0.016867675721995001,False,False,True
02245500,IC,S1,0.00043662854245870002,-0.0082383727698997992,0.0064794861005599003,-0.014717858870459699,False,False,True
02246000,IC,S1,0.00033269222309730001,-0.0040737733358106,-0.012846799631133299,0.0087730262953227001,True,False,False
02296500,IC,S1,0,0.0005906020240729,0.0066533144772909,-0.0060627124532180001,False,True,True
02297155,IC,S1,0,0.0075591406960792999,0.0032073955608966,0.0043517451351826998,True,True,True
02297310,IC,S1,0,0.018913050382126699,0.0026333745866906999,0.016279675795435999,True,True,True
02298123,IC,S1,0,-0.026060518552798201,-0.0012265061377731,-0.0248340124150251,False,False,False
02298608,IC,S1,0,-0.0015583983204898,-0.023480882654753801,0.021922484334264001,True,False,False
02299950,IC,S1,0,-0.0264035031794028,-0.039009936678432701,0.012606433499029901,True,False,False
02300700,IC,S1,0,0.017072927460108901,-0.010023349156369101,0.027096276616478003,True,True,False
02342933,IC,S1,0.0027962712555371001,-0.0143930210132632,-0.010908629426398,-0.0034843915868652004,False,False,False
02349900,IC,S1,0.0010817469729247,-0.0082969492668261008,-0.020629309898884,0.0123323606320579,True,False,False
02350900,IC,S1,0.001767717746493,-0.018954589057959399,0.0190684983833895,-0.038023087441348899,False,False,True
02361000,IC,S1,0.0015124422847458,-0.0085768504905128998,0.024980218355185699,-0.033557068845698597,False,False,True
02363000,IC,S1,0.0026556564479945002,0.0137501225143762,0.032430168378636902,-0.018680045864260704,False,True,True
02369800,IC,S1,0.0008723526438152,-0.027054144622930699,-0.017929901819058802,-0.0091242428038718973,False,False,False
02371500,IC,S1,0.0040171402581935002,-0.0094442346039322004,-0.0069884619279946998,-0.0024557726759375006,False,False,False
02372250,IC,S1,0.0034759991435445001,0.044071643336388203,-0.015487714094735899,0.059559357431124102,True,True,False
02374500,IC,S1,0.0030425564536236001,-0.0066982204209041999,-0.0023552865445115,-0.0043429338763926999,False,False,False
