basin_id,paradigm,regime,contrast,D_rms,D_euclidean,frac_snow,snow_stratum
02092500,IC,IC,Base-CN,0.18552436199473926,0.71853276432138136,0.0120832517590196,S1
02096846,IC,IC,Base-CN,0.40503788208273023,1.5687049718895376,0.039252545203284903,S1
02102908,IC,IC,Base-CN,0.42069657825483531,1.6293508413874225,0.0235111757954398,S1
02108000,IC,IC,Base-CN,0.38640314909631962,1.4965329613721474,0.0092819261110396005,S1
02111180,IC,IC,Base-CN,0.081478155386301293,0.31556353889084504,0.0460568781002514,S1
02111500,IC,IC,Base-CN,0.40148611836659132,1.5549490501672678,0.052369251671881403,S2
02112120,IC,IC,Base-CN,0.46087392195852073,1.7849570244466475,0.052404975160738797,S2
02112360,IC,IC,Base-CN,0.2982880098663187,1.1552644945856059,0.053113627447001398,S2
02118500,IC,IC,Base-CN,0.42892718655033973,1.6612278502450677,0.041370835021144102,S1
02125000,IC,IC,Base-CN,0.34536686146730994,1.3376001027948154,0.024791233169001101,S1
02128000,IC,IC,Base-CN,0.38987257867238001,1.5099700043410687,0.025670443380134599,S1
02137727,IC,IC,Base-CN,0.18586419186346614,0.7198489197435044,0.040531531076179503,S1
02140991,IC,IC,Base-CN,0.31102565818175543,1.2045971943811393,0.042038466834978201,S1
02143000,IC,IC,Base-CN,0.084872739135489317,0.32871070521875656,0.031326215681695198,S1
02143040,IC,IC,Base-CN,0.086175991830130222,0.33375818120100076,0.034561069845200097,S1
02149000,IC,IC,Base-CN,0.19824079573348927,0.76778330041471032,0.029590457635321001,S1
02152100,IC,IC,Base-CN,0.26461468571651714,1.0248482709419804,0.030080746914399902,S1
02177000,IC,IC,Base-CN,0.16161488399168009,0.6259317541990207,0.026739557459190599,S1
02178400,IC,IC,Base-CN,0.28441371860670767,1.1015295955967013,0.033836252850455002,S1
02193340,IC,IC,Base-CN,0.35276085061917734,1.3662368996420362,0.012744882834630499,S1
02196000,IC,IC,Base-CN,0.19086954112752261,0.73923455408514671,0.014697822503636999,S1
02198100,IC,IC,Base-CN,0.26853066505508588,1.0400147937043496,0.0030935926215691998,S1
02202600,IC,IC,Base-CN,0.28469955428215848,1.1026366324074743,0.00045680489760400002,S1
02212600,IC,IC,Base-CN,0.10060172960796779,0.38962882337132082,0.0090237999831922003,S1
02215100,IC,IC,Base-CN,0.35883601880895161,1.3897659248664409,0.0010333057458655,S1
02216180,IC,IC,Base-CN,0.20211835715460205,0.78280103122257638,0.000534865436369,S1
02221525,IC,IC,Base-CN,0.19062079957065101,0.73827118217787324,0.0095385192188569001,S1
02231000,IC,IC,Base-CN,0.11898660536728503,0.46083314100924899,0.00023591806539820001,S1
02245500,IC,IC,Base-CN,0.10484317230734566,0.40605586030990437,0.00043662854245879999,S1
02246000,IC,IC,Base-CN,0.38356209918223122,1.485529622369139,0.00033269222309739998,S1
02296500,IC,IC,Base-CN,0.19262535554835877,0.74603479409607598,0,S1
02297155,IC,IC,Base-CN,0.39260192379806791,1.5205407125589103,0,S1
