table,paradigm,contrast,metric,stratum,n_basins,median,q25,q75,iqr,ci_low,ci_high,slope_beta,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high
canonical_vector_15D_displacement_strata,IC,Base-CN,D_euclidean,S2,156,1.3276641076642899,1.0053548700461374,1.7288443279776384,0.72348945793150099,1.2336062831398711,1.4304756455119496,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_euclidean,S3,121,1.5410505877402332,1.2664816255750067,1.8347390658543317,0.56825744027932501,1.4211396325143013,1.6022448422532576,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_euclidean,S4,34,1.7837751153013461,1.371431439944294,2.0398853104480312,0.66845387050373728,1.5254956635966637,1.9521122431392379,,,,,,
canonical_vector_15D_displacement_strata,IC,Base-CN,D_euclidean,S5,55,2.0017723376248298,1.7602988509773156,2.2538362233124527,0.49353737233513706,1.8295037439466542,2.1102243556253044,,,,,,
canonical_vector_15D_displacement,dPL,Base-CN,D_rms,Full531,531,0.16568333716243361,0.10074294691479871,0.2933982340145474,0.19265528709974869,0.14649013476838463,0.17999214179968828,0.2423535445845745,0.177534727089529,0.30968110234654028,0.4435907653907874,0.36314395348340633,0.51769331657111517
canonical_vector_15D_displacement,dPL,Base-CN,D_rms,ExcludeS5,476,0.15743506082228037,0.09695697448078093,0.26655970852381738,0.16960273404303644,0.1438573188893611,0.17476933078335075,0.50629200773699112,0.4029345476626422,0.61785029497320654,0.45449710435516277,0.37572001699752672,0.52855750186719075
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_rms,S1,165,0.11155976746465758,0.071185227670816975,0.19589390176390239,0.12470867409308542,0.090644413609798621,0.1255420759974801,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_rms,S2,156,0.14851705470702103,0.10343934422326645,0.21899098892304475,0.1155516446997783,0.13407023311528984,0.17038490513788745,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_rms,S3,121,0.22876665028104473,0.14619260853392776,0.33241410954060163,0.18622150100667387,0.18833270742973485,0.2739577490539315,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_rms,S4,34,0.32963572439425515,0.22565920717976784,0.43783720455792385,0.21217799737815601,0.25148082663723431,0.42468281134024294,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_rms,S5,55,0.3168567855430367,0.11857294157521628,0.42198377652814645,0.3034108349529302,0.1818237577296308,0.37107002092289543,,,,,,
canonical_vector_15D_displacement,dPL,Base-CN,D_euclidean,Full531,531,0.64168880557417374,0.3901757556488733,1.1363264741450085,0.74615071849613523,0.57473441969923056,0.70166890168885443,0.93863124207039528,0.6729480854146731,1.2019464365900989,0.4435907653907874,0.36638956875199308,0.51746766834512614
canonical_vector_15D_displacement,dPL,Base-CN,D_euclidean,ExcludeS5,476,0.6097433686738436,0.37551274746272206,1.0323813118826479,0.65686856441992592,0.55676398147626038,0.67687870755173263,1.9608605142832842,1.5979212052442462,2.3506801913078839,0.45449710435516277,0.37942764580855143,0.52981347067218099
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_euclidean,S1,165,0.43206912149739085,0.27569920126505754,0.75869381915518563,0.4829946178901281,0.35106430433748698,0.48698902223045515,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_euclidean,S2,156,0.5752040795080684,0.40061885751932735,0.84814845306844522,0.44752959554911786,0.51917647772309194,0.65989790004416871,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_euclidean,S3,121,0.88600942670614258,0.56620153819052255,1.2874343102951182,0.72123277210459569,0.71475251864259759,1.0465545950033341,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_euclidean,S4,34,1.2766736708939681,0.87397435132560986,1.6957362016028492,0.82176185027723936,0.97398105345648311,1.6405102766266024,,,,,,
canonical_vector_15D_displacement_strata,dPL,Base-CN,D_euclidean,S5,55,1.2271810535409962,0.45923102803163768,1.6343361388632236,1.175105110831586,0.74296457204654309,1.4371480113112118,,,,,,
