basin_id,frac_snow,snow_stratum,base_best_minus_median_kge,base_kge_iqr,cn_best_minus_median_kge,cn_kge_iqr,within_pooled_all10,within_pooled_top5,within_pooled_top3,between_all_all10,between_all_top5,between_all_top3,excess_all10,excess_top5,excess_top3
01134500,0.28058208922815098,S3,0.018279132406489262,0.012046728775419902,0.0042779726935311402,0.013856627652069964,0.52200956989658753,0.40069340749203552,0.40829719226259653,0.54303338042840177,0.47695122419069219,0.41749138891040494,0.021023810531814235,0.076257816698656666,0.0091941966478084058
01137500,0.301814975818189,S4,0.0070425552634347799,0.019201877107932863,0.004242764506450003,0.012652165088984813,0.46141330378940359,0.26684206763550627,0.27104673948392044,0.53830925310718269,0.51938759380770039,0.51131151426454158,0.0768959493177791,0.25254552617219411,0.24026477478062114
01139000,0.246562671549799,S3,0.012697082631579981,0.019777736710844041,0.0032069314277252126,0.0047054604233921493,0.43996458634999813,0.35887232882057746,0.30119602312176452,0.48155598742433547,0.46440115699649231,0.45650417040088714,0.041591401074337342,0.10552882817591486,0.15530814727912262
01139800,0.26232897318020998,S3,0.0056367277749661548,0.0071289949966869548,0.011517217717480266,0.016103951336667421,0.45320026659867113,0.41830513798364466,0.46134177139994836,0.49373916338566814,0.50939264502623771,0.50939264502623771,0.040538896786997014,0.091087507042593052,0.048050873626289348
01142500,0.25230789054282099,S3,0.027380616976202532,0.010843033116092637,0.0063375763979284239,0.0028189934930751281,0.4445305659874853,0.38710774933246772,0.38121889619579874,0.48351402525064979,0.46836373741315346,0.43077278177316169,0.038983459263164488,0.081255988080685737,0.049553885577362955
01144000,0.248466348504845,S3,0.0067214418575313184,0.012206375216890497,0.0070051644140807223,0.01739950085399411,0.4457806914836292,0.31258389504892614,0.34535553394890345,0.45540139901612819,0.46412087636343535,0.48209248933079479,0.0096207075324989955,0.15153698131450921,0.13673695538189135
01162500,0.22676918468004301,S3,0.0055743133204839701,0.01036764620635211,0.0091494022214263504,0.014263963976716809,0.45440694788998826,0.3044796643411638,0.12457054438257549,0.46091023023243072,0.35196729224573919,0.38405151449870867,0.0065032823424424624,0.047487627904575391,0.25948097011613319
01169000,0.23897260589607899,S3,0.012013063027586646,0.015272470019099593,0.011028996566826654,0.010478666741455034,0.50941699270776997,0.44397813477523507,0.29472304853787645,0.55116971554091054,0.49222495066922772,0.43753725178151393,0.041752722833140576,0.048246815893992656,0.14281420324363747
01170100,0.23465373540593401,S3,0.0077248469804168662,0.0072592333910969087,0.003158490059025465,0.0070673868437105547,0.46857854039319652,0.41065924697880257,0.36964295313274037,0.49927497639886759,0.47798140396251476,0.47798140396251476,0.030696436005671068,0.067322156983712189,0.10833845082977439
01181000,0.21756304104059199,S3,0.010356179315222147,0.0081360475929510567,0.0045180646280448267,0.011084010836459601,0.46107133178614901,0.36083116112936969,0.29239067149755732,0.48001038860303769,0.41848384454302479,0.4746338220195252,0.018939056816888677,0.057652683413655093,0.18224315052196788
01187300,0.20126933569514599,S3,0.0055679122712458673,0.0083656197429290424,0.0011568729373215847,0.0042426800646689911,0.43141730387417765,0.31722597180543011,0.18462099256233122,0.50852433273632347,0.44905788800565383,0.4078101648232858,0.077107028862145821,0.13183191620022372,0.22318917226095458
