paradigm,period,snow_stratum,n_total,n_valid,valid_rate,D_median,D_iqr,D_ci_low,D_ci_high,D_le0_count,D_near0_count,G_base_median,G_base_iqr,G_base_ci_low,G_base_ci_high,G_base_gt0_prop,G_TGD_median,G_TGD_iqr,G_TGD_ci_low,G_TGD_ci_high,G_TGD_gt0_prop,F_close_median,F_close_iqr,F_close_ci_low,F_close_ci_high,F_close_lt0_prop,F_close_0_to_1_prop,F_close_gt1_prop,F_TGD_median,F_TGD_iqr,F_TGD_ci_low,F_TGD_ci_high,F_TGD_lt0_prop,F_TGD_0_to_1_prop,F_TGD_gt1_prop,delta_F_median,delta_F_ci_low,delta_F_ci_high,delta_F_gt0_prop
dPL,test,S3,121,120,0.9917355371900827,0.3363442003186632,0.1775771947917575,0.3044887377452548,0.3614815749759079,1,0,0.0399619274707019,0.0542783356240807,0.0339297614901501,0.0443372434123894,0.9586776859504132,0.1757612276597069,0.15827989204384452,0.1485602069816302,0.201405644674227,0.9752066115702479,0.11787602439061999,0.07908242925173448,0.10628302530774088,0.1345465005618169,0.041666666666666664,0.9583333333333334,0.0,0.5314372306459851,0.24840790870301765,0.513049709449936,0.5708300751121993,0.016666666666666666,0.9833333333333333,0.0,0.40981612782431864,0.3820399297902498,0.43991020965759825,0.9916666666666667
dPL,test,S4,34,34,1.0,0.594143863063259,0.29091692654016904,0.4283655849825396,0.6322695482253124,0,0,0.08471020911805754,0.03887800173650528,0.0744788983245021,0.0950618342648142,0.9705882352941176,0.2565924764621916,0.47837804969727626,0.1185121266742169,0.43275072258399316,0.9117647058823529,0.17433367498419722,0.10771556996492296,0.1345027196510342,0.21229274885907207,0.029411764705882353,0.9705882352941176,0.0,0.4854597926769293,0.6324317715261093,0.29965279854105725,0.7094178434498042,0.08823529411764706,0.9117647058823529,0.0,0.3109973820194504,0.07875131155222864,0.5561660878342721,0.7352941176470589
dPL,test,S5,55,55,1.0,1.0439537972937836,0.2747299579008997,0.9421939488212006,1.0777316638929846,0,0,0.1708339994027881,0.08851685675627652,0.1530427014696654,0.219546357647024,1.0,0.8254033236928972,0.2714644693518973,0.7369331431882238,0.8663091058086304,1.0,0.18257812240342916,0.07381639617132921,0.15812819703754394,0.21111670168673952,0.0,1.0,0.0,0.8129711800210979,0.11270973787874428,0.7892695394166322,0.8425279044811026,0.0,1.0,0.0,0.6501432190525704,0.5856939380669018,0.6680009116349075,1.0
dPL,test,S4+S5,89,89,1.0,0.8304400124425092,0.4564590701387137,0.7126577551739519,0.9421939488212006,0,0,0.1441661332840337,0.13075877071002348,0.1139395331398374,0.154782801966083,0.9887640449438202,0.6435174373104314,0.5297465290819592,0.5682117295363153,0.7369331431882238,0.9662921348314607,0.18183152938658764,0.08468312541501183,0.15812819703754394,0.21022095609787733,0.011235955056179775,0.9887640449438202,0.0,0.7676231538575489,0.32013586982175446,0.7356398101664027,0.8043938314893325,0.033707865168539325,0.9662921348314607,0.0,0.6137443341371056,0.4960855064444586,0.6454150215941511,0.898876404494382
IC,train,Full,531,482,0.9077212806026366,0.0935852946672327,0.3841741704942924,0.075915589505221,0.1113274932544939,49,53,0.0159594870580589,0.0695173174423916,0.0138886875255319,0.0206359617881345,0.879472693032015,0.0540035557654298,0.2370728083493301,0.042862644164772,0.0588510057212,0.8907721280602636,0.18501591923848326,0.15090205175885874,0.17549111414511417,0.19027962128068115,0.04771784232365145,0.9398340248962656,0.012448132780082987,0.6509490330725161,0.2074250667477966,0.6372396853737808,0.6705731668645589,0.03319502074688797,0.941908713692946,0.024896265560165973,0.43533178646560045,0.420584848777117,0.45667623881810643,0.9605809128630706
IC,train,S1,165,116,0.703030303030303,0.0038652348568741,0.018577773677665402,0.0016303576838864,0.0062866365508271,49,53,0.0006041002005644,0.006201029975033,0.0001185454916824,0.0017094728695237,0.6181818181818182,0.0024174380311748,0.013760461547975,0.001049119671032,0.0049906019160773,0.6484848484848484,0.20858234888298843,0.38839392109869575,0.13541944869616102,0.30157047969038475,0.1896551724137931,0.7586206896551724,0.05172413793103448,0.6475305889900909,0.2285225444680311,0.6167133574024835,0.6811415308481155,0.13793103448275862,0.7672413793103449,0.09482758620689655,0.3786200863861303,0.31833018313823047,0.45775022688967926,0.853448275862069
IC,train,S2,156,156,1.0,0.07764627336308799,0.059991871866934096,0.0677249251305189,0.0887224030696176,0,0,0.0138269633465402,0.01405824834137795,0.012335640221582195,0.01565274254027265,0.9935897435897436,0.0473455216922104,0.038207529582408535,0.04020050486380445,0.0547672150324471,1.0,0.17360120285095623,0.1446005869397519,0.15926105610127206,0.1950947083510377,0.00641025641025641,0.9935897435897436,0.0,0.6141761143805358,0.12487212123130376,0.5955644307582535,0.6325376084554937,0.0,0.9935897435897436,0.00641025641025641,0.41319811332506273,0.36898630508758123,0.43119833318930123,0.9871794871794872
IC,train,S3,121,121,1.0,0.3717213462618106,0.20394091418586258,0.3257579572861503,0.3995854011842167,0,0,0.0717539161256335,0.0340322544842669,0.0661561483799442,0.0767914049982246,1.0,0.2295310319573134,0.1586531507510839,0.1927861523114614,0.265745957174196,1.0,0.18350869279141666,0.05218070817297579,0.1714723888284841,0.189253148080612,0.0,1.0,0.0,0.6647144785856324,0.15005325257692004,0.6264218939582987,0.6931681355756777,0.0,1.0,0.0,0.4386346999665074,0.40137500876020304,0.47457511272127,1.0
IC,train,S4,34,34,1.0,0.5909971641589793,0.3333556156715569,0.4964316407617033,0.7050255501666969,0,0,0.1041225274378816,0.08744507363770104,0.0698089159050552,0.1374882360516755,1.0,0.42543367368314494,0.36702305954040415,0.2503969719580502,0.5233609833139221,1.0,0.18197891746711475,0.12637520747051553,0.1481219283453767,0.1985226541583578,0.0,1.0,0.0,0.6670124468517447,0.31321928305835045,0.5893874236124127,0.7805517319557109,0.0,1.0,0.0,0.46375942837864714,0.31641408286677675,0.5861309163506567,1.0
IC,train,S5,55,55,1.0,1.0953423774398665,0.24329513045092188,0.997296225696917,1.1445235868536,0,0,0.2127086652818652,0.08781450793097548,0.1980894411537315,0.2510152792779745,1.0,0.9396915474795912,0.17354926779448243,0.8655515282120926,0.9621545762843634,1.0,0.2154159394065015,0.10860513053141962,0.1795643109439312,0.23823273476561652,0.0,1.0,0.0,0.868972318189237,0.10551653054260524,0.8397928237381532,0.8862027811295237,0.0,1.0,0.0,0.6613333489766721,0.6351560065535135,0.672432010515522,1.0
IC,train,S4+S5,89,89,1.0,0.9048125657541856,0.4499416303495014,0.8300842716775163,0.9810073075737434,0,0,0.1890543597385263,0.1350968240007051,0.1597213556971242,0.2034631179956443,1.0,0.76785001865375,0.43587995322137907,0.6782798964063317,0.8644432451206943,1.0,0.1923772020466749,0.1181343969022802,0.17907846689868823,0.22623835004954296,0.0,1.0,0.0,0.8272220534607995,0.17287025338614226,0.795751491167218,0.8454022032860342,0.0,1.0,0.0,0.6303449143777169,0.5475335146812152,0.6584496525420045,1.0
dPL,train,Full,531,462,0.8700564971751412,0.0872347131125511,0.3809370559689245,0.0695878405302083,0.1017834717078687,69,46,0.0096268554571744,0.0625398043956446,0.0075426121120389,0.012506639564452,0.7382297551789078,0.0403699741996012,0.2130998165233703,0.0338815683111551,0.0492437975923555,0.8380414312617702,0.1377609574005738,0.12832311821449444,0.12926978420565266,0.1475094823509305,0.15584415584415584,0.841991341991342,0.0021645021645021645,0.594550791474949,0.2735302334308378,0.5754457600896327,0.6147049599046713,0.04112554112554113,0.935064935064935,0.023809523809523808,0.45603249484990915,0.4345387127258854,0.47683652678306215,0.9696969696969697
dPL,train,S1,165,105,0.6363636363636364,0.002475151254532,0.0188140751234664,0.0007582409892408,0.0046352650402308,60,45,-0.0018069493503926,0.0069605227993969,-0.0023021000230269,-0.0008044355456575,0.3575757575757576,0.0004454286749308,0.0126355274388753,-0.0007082978213708,0.0020660468449834,0.5333333333333333,0.05464279664233395,0.9415044185728341,-0.023223650977030313,0.09294955922008269,0.4380952380952381,0.5523809523809524,0.009523809523809525,0.5504501198413919,0.4746736737794942,0.44728055062244504,0.593906636175081,0.18095238095238095,0.7619047619047619,0.05714285714285714,0.4617354024879671,0.38232244620672834,0.5135187419156102,0.8952380952380953
dPL,train,S2,156,147,0.9423076923076923,0.0721085867638389,0.05450442315190915,0.06501889368879826,0.0852388529669846,9,1,0.0076916620179709495,0.011168824420011225,0.00646702986473125,0.0095280631955593,0.8397435897435898,0.03598187455073455,0.03285625524456405,0.0317967376791495,0.0415758238094658,0.9423076923076923,0.10611988092223243,0.11431430515690397,0.09301802570630416,0.12258459673003126,0.12244897959183673,0.8775510204081632,0.0,0.520167729670709,0.23020047141858851,0.4911993424097754,0.5631867637567867,0.0,0.9795918367346939,0.02040816326530612,0.4084714329517075,0.37236696433850935,0.43124143314296803,0.9795918367346939
dPL,train,S3,121,121,1.0,0.3664331512083837,0.20288902314062002,0.3154872534586567,0.3940261674571909,0,0,0.057503668837171,0.043154951036654704,0.0512014492877369,0.0651611550699813,0.9586776859504132,0.2065041439387698,0.15784921967300322,0.1733887927268383,0.2498416626436355,1.0,0.15324120473096273,0.07261782058145248,0.13916382217510387,0.1636985157662398,0.04132231404958678,0.9586776859504132,0.0,0.603489875432454,0.1991997940746516,0.5842614667639593,0.6363883142393716,0.0,0.9834710743801653,0.01652892561983471,0.44933237709771123,0.42066003404307284,0.48583806676081465,1.0
dPL,train,S4,34,34,1.0,0.5901401300280258,0.3368216311927266,0.4574794602891818,0.6921249277165505,0,0,0.0846518808339505,0.07443188830005347,0.0621733658029934,0.1090880555244834,0.9117647058823529,0.3943219235778544,0.3752333157236966,0.2182631281749201,0.5175731598378333,1.0,0.1444510682585973,0.091280822955229,0.11428698114574506,0.18024252606425767,0.08823529411764706,0.9117647058823529,0.0,0.6135529715211355,0.3463040702016157,0.4702184333048506,0.7630539849080438,0.0,1.0,0.0,0.45199957728632695,0.34956878467420355,0.5691875220046592,1.0
dPL,train,S5,55,55,1.0,1.0934144179305016,0.2571250975194601,0.9763794567970572,1.13188935364442,0,0,0.1920798484865525,0.08414369113374887,0.1821775327264045,0.2076441517983479,1.0,0.8805995346770064,0.1832039734597849,0.8479960456808506,0.9322789931702584,1.0,0.18957845127831202,0.0728687836394998,0.16990480976052713,0.20256919956040575,0.0,1.0,0.0,0.8378234950805248,0.11898352626833764,0.825276944949581,0.8745554590455573,0.0,1.0,0.0,0.6530179153517213,0.6242128076362421,0.6788486805701845,1.0
dPL,train,S4+S5,89,89,1.0,0.8826797665923255,0.4547689033422353,0.8114944260004324,0.9672619921902288,0,0,0.1669306901631826,0.10925039889243439,0.1398567877510765,0.1841697443303533,0.9662921348314607,0.7308606460188204,0.44581409377351616,0.6203643403945382,0.831827019735832,1.0,0.17407510182382868,0.08221115993309222,0.16664910972383137,0.19011694355612252,0.033707865168539325,0.9662921348314607,0.0,0.8027925272143094,0.21975964173151452,0.7667299459949071,0.8280020384293862,0.0,1.0,0.0,0.6242128076362421,0.5561166689920934,0.6595235024895845,1.0
