basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
14236200,0.11471395531314,S2,7.0,1,9.0,3,13.0,1,8.0,3,3.0,1,4.0,2
14301000,0.0324798903206775,S1,1.0,1,0.0,3,-1.0,1,-2.0,3,0.0,1,-1.5,2
14303200,0.088754104072909,S2,2.0,1,0.0,3,0.0,1,0.0,3,3.0,1,1.0,2
14305500,0.0257414277847911,S1,3.0,1,5.0,3,0.0,1,1.0,3,1.0,1,0.5,2
14306340,0.0693804146431187,S2,3.0,1,0.0,3,-8.0,1,0.0,3,-1.0,1,1.0,2
14306500,0.0202982706122534,S1,2.0,1,-1.0,3,0.0,1,0.0,3,1.0,1,0.5,2
14308990,0.135825515539971,S2,-7.0,1,-2.0,3,5.0,1,2.0,3,5.0,1,0.0,2
14309500,0.0612553691709827,S2,1.0,1,4.0,3,3.0,1,1.0,3,5.0,1,1.5,2
14316700,0.176336580742005,S3,4.0,1,3.0,3,9.0,1,4.0,3,5.0,1,1.0,2
14325000,0.0302033920558714,S1,3.0,1,0.0,3,-2.0,1,-1.0,3,-3.0,1,-1.5,2
14362250,0.141500009350329,S2,-1.0,1,0.0,3,-1.0,1,-1.0,3,-1.0,1,1.0,2
14400000,0.0243303906906382,S1,-1.0,1,0.0,3,0.0,1,0.0,3,0.0,1,0.0,2
10259000,0.0335249004621377,S1,-1.0,1,-5.0,3,0.0,1,2.0,3,3.0,1,0.5,2
11124500,0.0230381055615776,S1,-2.0,1,0.0,3,-3.0,1,0.0,3,-3.0,1,0.0,2
11141280,0.0007877803924076,S1,-3.0,1,1.0,3,0.0,1,0.0,3,-4.0,1,-0.5,2
11143000,0.0254379399486261,S1,0.0,1,1.0,3,1.0,1,0.0,3,-2.0,1,-1.0,2
11148900,0.003526794606684,S1,3.0,1,0.0,3,-1.0,1,0.0,3,4.0,1,0.5,2
11151300,0.0038403901400884,S1,4.0,1,-3.0,3,0.0,1,1.0,3,2.0,1,-1.5,2
11176400,0.016307003804813,S1,0.0,1,0.0,3,1.0,1,0.0,3,0.0,1,-1.0,2
11230500,0.902963679881608,S5,69.0,1,55.0,3,75.0,1,68.0,3,70.0,1,43.5,2
11237500,0.749856960685691,S5,39.0,1,38.0,3,27.0,1,26.0,3,37.0,1,25.0,2
11264500,0.90632692590849,S5,50.0,1,49.0,3,48.0,1,61.0,3,38.0,1,40.5,2
11266500,0.885217452223562,S5,44.0,1,46.0,3,45.0,1,57.0,3,33.0,1,37.0,2
11284400,0.0365047230850116,S1,5.0,1,0.0,3,-1.0,1,1.0,3,0.0,1,0.0,2
11381500,0.165026130486202,S3,-3.0,1,0.0,3,-1.0,1,8.0,3,6.0,1,3.0,2
11451100,0.123536359034925,S2,1.0,1,1.0,3,1.0,1,0.0,3,1.0,1,1.0,2
11468500,0.000524205133848,S1,-4.0,1,0.0,3,0.0,1,-1.0,3,-1.0,1,0.0,2
11473900,0.262478357358648,S3,6.0,1,-10.0,3,9.0,1,-19.0,3,2.0,1,-3.0,2
11475560,0.138629337971597,S2,1.0,1,1.0,3,2.0,1,0.0,3,5.0,1,1.0,2
11476600,0.0120106292964887,S1,0.0,1,0.0,3,0.0,1,-2.0,3,-1.0,1,1.0,2
11478500,0.157314421019928,S3,6.0,1,2.0,3,0.0,1,1.0,3,4.0,1,-0.5,2
11480390,0.299512506046178,S3,1.0,1,-6.0,3,1.0,1,-6.0,3,1.0,1,-5.0,2
11481200,0.0016368255310898,S1,0.0,1,-2.0,3,0.0,1,-2.0,3,0.0,1,-0.5,2
11482500,0.0131812044990649,S1,0.0,1,-1.0,3,0.0,1,-1.0,3,1.0,1,0.5,2
11522500,0.249129777057898,S3,19.0,1,13.0,3,12.0,1,-6.0,3,13.0,1,10.5,2
11523200,0.431707151976883,S4,29.0,1,23.0,3,29.0,1,20.0,3,39.0,1,32.0,2
11528700,0.271305322327506,S3,-2.0,1,-5.0,3,2.0,1,-12.0,3,0.0,1,-2.0,2
11532500,0.0485353765496996,S1,0.0,1,1.0,3,-1.0,1,-2.0,3,0.0,1,2.0,2
