basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
02059500,0.0529389162953181,S2,14.0,1,-3.0,3,2.0,1,2.0,3,12.0,1,-3.5,2
02064000,0.0606011692596163,S2,1.0,1,0.0,3,6.0,1,0.0,3,6.0,1,-1.0,2
02065500,0.0617139970732649,S2,3.0,1,3.0,3,-8.0,1,-1.0,3,7.0,1,-2.5,2
02069700,0.0533951587612168,S2,5.0,1,5.0,3,5.0,1,4.0,3,8.0,1,-3.5,2
02070000,0.0508621647943431,S2,-1.0,1,1.0,3,-13.0,1,4.0,3,-6.0,1,-4.0,2
02074500,0.0524690208413809,S2,-6.0,1,0.0,3,3.0,1,2.0,3,9.0,1,0.5,2
02077200,0.0489889008542847,S1,1.0,1,0.0,3,-1.0,1,2.0,3,-7.0,1,0.0,2
02081500,0.0436247713972968,S1,-5.0,1,0.0,3,-2.0,1,-2.0,3,2.0,1,-1.5,2
02082950,0.0329927432325966,S1,10.0,1,1.0,3,7.0,1,0.0,3,2.0,1,2.5,2
02092500,0.0120832517590196,S1,0.0,1,-1.0,3,-1.0,1,0.0,3,0.0,1,0.0,2
02096846,0.0392525452032849,S1,7.0,1,5.0,3,2.0,1,-4.0,3,1.0,1,-1.0,2
02102908,0.0235111757954398,S1,-13.0,1,-2.0,3,-2.0,1,-3.0,3,11.0,1,0.0,2
02108000,0.0092819261110396,S1,1.0,1,0.0,3,3.0,1,0.0,3,0.0,1,0.0,2
02111180,0.0460568781002514,S1,1.0,1,2.0,3,10.0,1,5.0,3,-1.0,1,-2.5,2
02111500,0.0523692516718814,S2,-3.0,1,-3.0,3,4.0,1,4.0,3,6.0,1,-6.0,2
02112120,0.0524049751607388,S2,1.0,1,0.0,3,1.0,1,0.0,3,-1.0,1,-1.0,2
02112360,0.0531136274470014,S2,2.0,1,-1.0,3,3.0,1,3.0,3,1.0,1,-4.0,2
02118500,0.0413708350211441,S1,-6.0,1,-7.0,3,2.0,1,8.0,3,-10.0,1,-5.5,2
02125000,0.0247912331690011,S1,4.0,1,-1.0,3,0.0,1,1.0,3,0.0,1,2.0,2
02128000,0.0256704433801346,S1,5.0,1,4.0,3,2.0,1,1.0,3,4.0,1,-4.5,2
02137727,0.0405315310761795,S1,2.0,1,-2.0,3,3.0,1,1.0,3,-3.0,1,-6.0,2
02140991,0.0420384668349782,S1,0.0,1,0.0,3,8.0,1,1.0,3,4.0,1,-0.5,2
02143000,0.0313262156816952,S1,-1.0,1,0.0,3,1.0,1,3.0,3,-2.0,1,0.0,2
02143040,0.0345610698452001,S1,-3.0,1,-2.0,3,3.0,1,3.0,3,-3.0,1,-6.0,2
02149000,0.029590457635321,S1,-2.0,1,-6.0,3,1.0,1,1.0,3,-5.0,1,-8.0,2
02152100,0.0300807469143999,S1,0.0,1,4.0,3,0.0,1,3.0,3,6.0,1,6.5,2
02177000,0.0267395574591906,S1,-1.0,1,1.0,3,1.0,1,1.0,3,4.0,1,-1.0,2
02178400,0.033836252850455,S1,1.0,1,1.0,3,1.0,1,1.0,3,0.0,1,1.0,2
02193340,0.0127448828346305,S1,0.0,1,0.0,3,0.0,1,0.0,3,5.0,1,-1.0,2
02196000,0.014697822503637,S1,2.0,1,0.0,3,2.0,1,0.0,3,2.0,1,0.0,2
02198100,0.0030935926215692,S1,-2.0,1,-1.0,3,1.0,1,0.0,3,-1.0,1,-1.0,2
02202600,0.000456804897604,S1,-1.0,1,1.0,3,0.0,1,0.0,3,-2.0,1,1.0,2
02212600,0.0090237999831922,S1,2.0,1,-2.0,3,0.0,1,1.0,3,1.0,1,1.0,2
02215100,0.0010333057458655,S1,0.0,1,0.0,3,0.0,1,0.0,3,-2.0,1,0.0,2
02216180,0.000534865436369,S1,1.0,1,0.0,3,0.0,1,0.0,3,-1.0,1,-0.5,2
02221525,0.0095385192188569,S1,-2.0,1,-1.0,3,2.0,1,-1.0,3,0.0,1,0.0,2
02231000,0.0002359180653982,S1,0.0,1,0.0,3,0.0,1,0.0,3,-1.0,1,-2.0,2
02245500,0.0004366285424588,S1,-2.0,1,-1.0,3,0.0,1,0.0,3,1.0,1,-1.0,2
02246000,0.0003326922230974,S1,0.0,1,0.0,3,0.0,1,0.0,3,1.0,1,0.5,2
02296500,0.0,S1,0.0,1,-1.0,3,0.0,1,0.0,3,0.0,1,1.0,2
02297155,0.0,S1,2.0,1,-1.0,3,0.0,1,0.0,3,1.0,1,-1.0,2
02297310,0.0,S1,-5.0,1,0.0,3,0.0,1,-2.0,3,1.0,1,-2.5,2
02298123,0.0,S1,1.0,1,-3.0,3,-1.0,1,0.0,3,0.0,1,1.5,2
02298608,0.0,S1,1.0,1,2.0,3,1.0,1,0.0,3,0.0,1,-5.5,2
02299950,0.0,S1,3.0,1,0.0,3,0.0,1,0.0,3,-1.0,1,-0.5,2
02300700,0.0,S1,0.0,1,10.0,3,0.0,1,2.0,3,-2.0,1,-2.0,2
02342933,0.0027962712555372,S1,0.0,1,0.0,3,0.0,1,0.0,3,4.0,1,-7.5,2
