basin_id,paradigm,seed,period,kge_base_no_refit,kge_base,kge_tgd2,kge_cn,G_base,F_close,G_tgd2,F_tgd2,frac_snow,snow_stratum,D,G_TGD,F_TGD,F_TGD_star,decay_G_base,decay_G_tgd2
08176900,dPL,,train,0.9997859973397558,0.9912100339669726,0.9970915180929166,0.9977686126730262,-0.008575963372783213,,-0.0026944792468391876,,0.0018005933498891,S1,-0.002017384666729627,-0.0026944792468391876,,,0.0001834523965266,0.0008466035201079
08178880,dPL,,test,0.9986660685469976,0.9911653841654866,0.9959190937589668,0.998071683848184,-0.007500684381510969,,-0.002746974788030765,,0.0030449353276083,S1,-0.0005943846988135659,-0.002746974788030765,,,-0.0001616322114625,0.0018723985766335
08178880,dPL,,train,0.9975883240348504,0.9897158406722936,0.9962367535511624,0.9978126222865898,-0.007872483362556859,-35.09828231609586,-0.0013515704836880582,-6.025773599244375,0.0030449353276083,S1,0.00022429825173941875,-0.0013515704836880582,-6.025773599244375,-6.025773599244375,-0.0001616322114625,0.0018723985766335
08189500,dPL,,test,0.9999400520295092,0.9921665217851416,0.9957896434058838,0.9955605604332493,-0.007773530244367555,,-0.004150408623625368,,0.0016287321026845,S1,-0.0043794915962599434,-0.004150408623625368,,,-0.0016203255718039,0.0005396782387375
08189500,dPL,,train,0.9998554870885028,0.9921419214689192,0.996394940454717,0.9952663190292266,-0.0077135656195835844,,-0.0034605466337858104,,0.0016287321026845,S1,-0.004589168059276227,-0.0034605466337858104,,,-0.0016203255718039,0.0005396782387375
08190000,dPL,,test,0.9984818687794572,0.9916143582405846,0.9915859801270296,0.9924358902578084,-0.006867510538872579,,-0.006895888652427629,,0.0037075564040486,S1,-0.006045978521648787,-0.006895888652427629,,,-0.0053772542301265,0.0021839755134813
08190000,dPL,,train,0.9974339932798342,0.9851892285108352,0.9909146262732342,0.994888613290243,-0.01224476476899894,,-0.006519367006599941,,0.0037075564040486,S1,-0.0025453799895911455,-0.006519367006599941,,,-0.0053772542301265,0.0021839755134813
08190500,dPL,,test,0.9982496741495458,0.9824412141809028,0.9887273737361144,0.98557373792268,-0.015808459968642996,,-0.009522300413431384,,0.0044907633248583,S1,-0.012675936226865803,-0.009522300413431384,,,-0.0025125645548532,0.0029944408720268
08190500,dPL,,train,0.9974302058678955,0.9772352281930334,0.994708167417006,0.9923985277312092,-0.020194977674862113,,-0.0027220384508895856,,0.0044907633248583,S1,-0.005031678136686368,-0.0027220384508895856,,,-0.0025125645548532,0.0029944408720268
08194200,dPL,,test,0.9999985758907056,0.9827661749297844,0.9981138317671993,0.9956020294506616,-0.017232400960921268,,-0.0018847441235063656,,0.0005535601264272,S1,-0.004396546440044058,-0.0018847441235063656,,,0.0158500668553265,-0.0155981670301952
08194200,dPL,,train,1.0,0.984646033718764,0.9954467845445306,0.9961642598523126,-0.015353966281235976,,-0.004553215455469384,,0.0005535601264272,S1,-0.0038357401476873942,-0.004553215455469384,,,0.0158500668553265,-0.0155981670301952
08195000,dPL,,test,0.9981939230831124,0.9953666969760862,0.995992036565588,0.995267523459031,-0.0028272261070262372,,-0.0022018865175243985,,0.0043576302166992,S1,-0.002926399624081366,-0.0022018865175243985,,,-0.0011529840366384,0.0030582911311105
08195000,dPL,,train,0.9963150082132554,0.9923347980695908,0.9963234224825606,0.9952650564099929,-0.003980210143664564,,8.414269305201394e-06,,0.0043576302166992,S1,-0.0010499518032625055,8.414269305201394e-06,,,-0.0011529840366384,0.0030582911311105
08196000,dPL,,test,0.999373060557356,0.9914941178486344,0.9963849933603892,0.995795514597363,-0.007878942708721581,,-0.0029880671969667594,,0.0023896281867178,S1,-0.003577545959992934,-0.0029880671969667594,,,0.0004096470492082,0.0020879484389197
08196000,dPL,,train,0.9965104990188872,0.9885061594160106,0.9967201644542424,0.9986123150115552,-0.008004339602876609,-3.8082970301867545,0.00020966543535516635,0.09975442002847287,0.0023896281867178,S1,0.0021018159926680102,0.00020966543535516635,0.09975442002847287,0.09975442002847287,0.0004096470492082,0.0020879484389197
08198500,dPL,,test,0.999228737345016,0.9933866910030634,0.9981961817880862,0.9970164512713168,-0.0058420463419526225,,-0.0010325555569298261,,0.0030982528891208,S1,-0.0022122860736992767,-0.0010325555569298261,,,-0.0016953018247598,0.0018280759933529
08198500,dPL,,train,0.9967836933698796,0.9900578008957864,0.9956848448140916,0.9979638145359718,-0.006725892474093165,-5.699323651964327,-0.0010988485557880123,-0.9311319781058265,0.0030982528891208,S1,0.0011801211660922295,-0.0010988485557880123,-0.9311319781058265,-0.9311319781058265,-0.0016953018247598,0.0018280759933529
08200000,dPL,,test,0.99909583167466,0.9895951162254812,0.994744920885698,0.996090404227486,-0.009500715449178743,,-0.0043509107889619925,,0.0026284470487446,S1,-0.003005427447174025,-0.0043509107889619925,,,0.0005797287235033,0.0010768321901896
