curve,structure,regime,condition,delta_r,ecdf_y,n
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0446880057316469,0.3627906976744186,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0445790308264635,0.36511627906976746,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0440397113990996,0.3674418604651163,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0425784038343632,0.3697674418604651,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0421853460697934,0.37209302325581395,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0412006715412542,0.3744186046511628,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0409834575224983,0.3767441860465116,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0407995538695442,0.37906976744186044,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0397750808660806,0.3813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0397336324283146,0.38372093023255816,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0390953531984743,0.386046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0387815127790366,0.3883720930232558,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0385017624180491,0.39069767441860465,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.036247217828541,0.3930232558139535,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0362271049768718,0.3953488372093023,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0349728667741377,0.39767441860465114,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0346545750705527,0.4,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0338837348398299,0.40232558139534885,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0329591409563195,0.4046511627906977,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.031579456803774,0.4069767441860465,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0310686554754163,0.40930232558139534,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0306283971419223,0.4116279069767442,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.029415272742845,0.413953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0292204085161528,0.41627906976744183,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0284694601365144,0.4186046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0282824820132089,0.42093023255813955,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0278086089590268,0.4232558139534884,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0276134162449285,0.4255813953488372,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0269919412042795,0.42790697674418604,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0268941331445351,0.43023255813953487,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0250311508931887,0.4325581395348837,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0247635341564402,0.43488372093023253,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0228559710560553,0.4372093023255814,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0227232079134975,0.43953488372093025,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0221747452044132,0.4418604651162791,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0220318317813866,0.4441860465116279,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0215141120514549,0.44651162790697674,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0210717485210851,0.44883720930232557,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0206430605709768,0.4511627906976744,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0198591929428252,0.45348837209302323,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0197840662489556,0.4558139534883721,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0170335197953294,0.45813953488372094,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0167890372561334,0.4604651162790698,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0157717211849919,0.4627906976744186,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0140488359507016,0.46511627906976744,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0130219548522663,0.46744186046511627,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0126655180015056,0.4697674418604651,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0120672512108303,0.4720930232558139,430
