basin_id,regime,paradigm,structure,model,period,seed_or_restart,selected_run,frac_snow,snow_stratum,KGE,signed_CT_error,absolute_CT_error,valid_year_count,valid_days,valid_metric,NSE,PBIAS,RMSE,provenance_source
01054200,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.299641539662879,S3,0.8123508881662862,7.0,7.0,15,5479.0,True,0.6282273997517318,0.5603928895775242,3.3190048645377455,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01054200,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.299641539662879,S3,0.5529262465216832,6.0,6.0,15,5479.0,True,0.26860575462272074,2.3581256487658417,4.655271011206137,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01055000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.306048851694867,S4,0.6000685653282836,-37.0,37.0,15,5479.0,True,0.14609494762001773,0.9541494765590648,3.929291439144395,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01055000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.306048851694867,S4,0.8071606510129511,7.0,7.0,15,5479.0,True,0.607830614430882,-1.854257365862124,2.6628474938254043,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01055000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.306048851694867,S4,0.6530329175127919,-28.0,28.0,15,5479.0,True,0.2793834854022148,-0.9297255241510981,3.6096205944376147,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01055000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.306048851694867,S4,0.6029408182209182,-26.0,26.0,15,5479.0,True,0.22012243059300907,-1.950405469201352,3.7551100144636864,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01055000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.306048851694867,S4,0.7976594546753135,8.0,8.0,15,5479.0,True,0.6344599146792473,-4.87576346362446,2.570851284716307,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01055000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.306048851694867,S4,0.6123632515597592,7.0,7.0,15,5479.0,True,0.37913577801082954,-3.000132933186582,3.3504856896873227,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01057000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.251157672769098,S3,0.4768080506968684,-41.0,41.0,15,5479.0,True,-0.05405970589931375,15.759648606626996,3.0877474352264156,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01057000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.251157672769098,S3,0.6916494760086631,10.0,10.0,15,5479.0,True,0.6640549663920918,13.540160040507445,1.743184182087925,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01057000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.251157672769098,S3,0.5726666732813889,-31.0,31.0,15,5479.0,True,0.20943702814340615,14.814789080758556,2.674098487725459,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01057000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.251157672769098,S3,0.6067777791223059,-23.0,23.0,15,5479.0,True,0.22496235094172612,14.850377745884087,2.647710902386167,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01057000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.251157672769098,S3,0.7496960926721161,10.0,10.0,15,5479.0,True,0.7136032597919351,12.837757455938773,1.6095082201454685,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01057000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.251157672769098,S3,0.6474291001352657,1.0,1.0,15,5479.0,True,0.34157573424043386,15.804131300692115,2.4404059651938645,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01073000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.17503243505174,S3,0.7520816024157924,-19.0,19.0,15,5479.0,True,0.6744853267899069,15.486442666373067,1.9167224965527576,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01073000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.17503243505174,S3,0.7995432992888515,9.0,9.0,15,5479.0,True,0.7958490282366424,14.826166346716569,1.517922788089522,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01073000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.17503243505174,S3,0.798821632874502,-7.0,7.0,15,5479.0,True,0.7202546830222081,14.70957831197272,1.7768688247189883,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01073000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.17503243505174,S3,0.8049517504674721,-15.0,15.0,15,5479.0,True,0.7230422416663556,13.97072208208869,1.7679937397214143,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01073000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.17503243505174,S3,0.793586853057242,9.0,9.0,15,5479.0,True,0.8113395218326825,15.656849251306143,1.4591986547460198,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01073000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.17503243505174,S3,0.78714728192923,-12.0,12.0,15,5479.0,True,0.7096594946279302,14.729236872304385,1.8102050386251314,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01078000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.23971852199071,S3,0.637360900891761,-37.0,37.0,15,5479.0,True,0.26806344082439737,12.924238337728811,2.3122669812370056,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01078000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.23971852199071,S3,0.8151089530187459,9.0,9.0,15,5479.0,True,0.7709721197615176,10.717615954458875,1.2934374589263626,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01078000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.23971852199071,S3,0.6882472863007,3.0,3.0,15,5479.0,True,0.38404822580708675,10.357974567233555,2.121165782944648,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01078000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.23971852199071,S3,0.6574036445447341,-37.0,37.0,15,5479.0,True,0.307218624249586,10.309783411781522,2.2495692116702073,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01078000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.23971852199071,S3,0.8266634925690124,8.0,8.0,15,5479.0,True,0.7525849032776226,10.06626302089213,1.3443562031012066,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01078000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.23971852199071,S3,0.6852992038347232,2.0,2.0,15,5479.0,True,0.4111609085354887,12.126370745813118,2.073956172540441,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
