basin_id,regime,paradigm,period,frac_snow,snow_stratum,delta_KGE_Base_CN,delta_absCT_Base_CN,delta_absCT_TGD_CN,delta_KGE_TGD_CN,KGE_Base,KGE_CN,KGE_TGD,signed_e_Base,signed_e_TGD,signed_e_CN,abs_e_Base,abs_e_TGD,abs_e_CN,valid_year_count_Base,valid_year_count_TGD,valid_year_count_CN
01434025,IC-CMA-ES,IC-CMA-ES,test,0.23781373120698,S3,0.10948619429021234,-6.0,-13.0,0.0977933984600099,0.5016159430792793,0.6111021373694916,0.5133087389094817,-10.0,-3.0,16.0,10.0,3.0,16.0,15,15,15
01435000,IC-CMA-ES,IC-CMA-ES,test,0.223616269388589,S3,0.11506284457103466,-16.0,-16.0,0.05272544669276502,0.639325809145266,0.7543886537163007,0.7016632070235357,-3.0,3.0,19.0,3.0,3.0,19.0,15,15,15
01439500,IC-CMA-ES,IC-CMA-ES,test,0.163765228832016,S3,0.04187559839732291,1.0,-6.0,0.02494229539653503,0.7414055296462252,0.7832811280435481,0.7583388326470131,-7.0,0.0,6.0,7.0,0.0,6.0,15,15,15
01440000,IC-CMA-ES,IC-CMA-ES,test,0.147767408338048,S2,0.03937140432471564,10.0,7.0,0.05920831238259694,0.7856890056599511,0.8250604099846668,0.7658520976020698,-10.0,-7.0,0.0,10.0,7.0,0.0,15,15,15
01440400,IC-CMA-ES,IC-CMA-ES,test,0.172223371092882,S3,0.02486447108117784,-2.0,-4.0,0.0028118261168327274,0.7470727392442733,0.7719372103254512,0.7691253842086184,-6.0,-4.0,8.0,6.0,4.0,8.0,15,15,15
01451800,IC-CMA-ES,IC-CMA-ES,test,0.128362665991427,S2,0.0061877186310659305,4.0,5.0,-0.009047949042083836,0.8602648871475769,0.8664526057786428,0.8755005548207266,-4.0,-5.0,0.0,4.0,5.0,0.0,15,15,15
01466500,IC-CMA-ES,IC-CMA-ES,test,0.0626617697616761,S2,0.007927537859649059,-1.0,0.0,0.02052624903654421,0.653760840731179,0.6616883785908281,0.6411621295542839,0.0,-1.0,-1.0,0.0,1.0,1.0,15,15,15
01484100,IC-CMA-ES,IC-CMA-ES,test,0.042571686471381,S1,-0.01654591553421836,1.0,1.0,-0.0029779353685511767,0.7717581587464958,0.7552122432122774,0.7581901785808286,-2.0,2.0,1.0,2.0,2.0,1.0,15,15,15
01487000,IC-CMA-ES,IC-CMA-ES,test,0.0424689894259026,S1,-0.005965333353589286,0.0,1.0,0.01470693963058789,0.865381694788163,0.8594163614345737,0.8447094218039858,1.0,-2.0,-1.0,1.0,2.0,1.0,15,15,15
01491000,IC-CMA-ES,IC-CMA-ES,test,0.0500257211233794,S2,0.04444843482226657,2.0,0.0,0.02961355876771332,0.7946096825785276,0.8390581174007942,0.8094445586330808,-10.0,-8.0,-8.0,10.0,8.0,8.0,15,15,15
01510000,IC-CMA-ES,IC-CMA-ES,test,0.237057400622962,S3,0.18285566450505797,11.0,-6.0,0.12671264694624984,0.6064537969116172,0.7893094614166751,0.6625968144704253,-22.0,5.0,11.0,22.0,5.0,11.0,15,15,15
01516500,IC-CMA-ES,IC-CMA-ES,test,0.199238597784613,S3,0.030685113182118195,21.0,7.0,0.05802455638478854,0.31553288389948664,0.34621799708160483,0.2881934406968163,-24.0,-10.0,3.0,24.0,10.0,3.0,15,15,15
01518862,IC-CMA-ES,IC-CMA-ES,test,0.201111344911574,S3,0.1002303634786097,13.0,11.0,0.033601679098317794,0.6527092633332989,0.7529396268119086,0.7193379477135908,-16.0,-14.0,3.0,16.0,14.0,3.0,15,15,15
01532000,IC-CMA-ES,IC-CMA-ES,test,0.176741266621108,S3,0.0973650919586121,5.0,3.0,0.06429297574926884,0.6371335212158835,0.7344986131744956,0.6702056374252268,-8.0,-6.0,3.0,8.0,6.0,3.0,15,15,15
01539000,IC-CMA-ES,IC-CMA-ES,test,0.156285913306627,S3,-0.004088539698364313,8.0,4.0,-0.016296018767662068,0.7991020012592869,0.7950134615609226,0.8113094803285846,-11.0,-7.0,3.0,11.0,7.0,3.0,15,15,15
01542810,IC-CMA-ES,IC-CMA-ES,test,0.189716485804691,S3,0.11325010104559252,-6.0,-7.0,0.08560721828592055,0.6679135560336684,0.7811636570792609,0.6955564387933404,-4.0,-3.0,10.0,4.0,3.0,10.0,15,15,15
01543000,IC-CMA-ES,IC-CMA-ES,test,0.188056577083995,S3,0.10644154547449969,-3.0,-6.0,0.09955453980087403,0.7289801622617618,0.8354217077362615,0.7358671679353874,-5.0,-2.0,8.0,5.0,2.0,8.0,15,15,15
01543500,IC-CMA-ES,IC-CMA-ES,test,0.181653610941671,S3,0.10986023341343831,0.0,0.0,0.08424068731720646,0.7437298865604214,0.8535901199738597,0.7693494326566532,-7.0,-7.0,7.0,7.0,7.0,7.0,15,15,15
01544500,IC-CMA-ES,IC-CMA-ES,test,0.20336289315932,S3,0.059342648081838645,8.0,-2.0,0.03937239594727315,0.6465628647104302,0.7059055127922689,0.6665331168449957,-12.0,2.0,4.0,12.0,2.0,4.0,15,15,15
01545600,IC-CMA-ES,IC-CMA-ES,test,0.192645540908709,S3,0.09842942827402312,7.0,-4.0,0.055677809481688656,0.5926272640291523,0.6910566923031755,0.6353788828214868,-16.0,-5.0,9.0,16.0,5.0,9.0,15,15,15
01547700,IC-CMA-ES,IC-CMA-ES,test,0.156172998266035,S3,0.06202650536996179,-4.0,-7.0,0.07352636242409516,0.7861045946203662,0.848131099990328,0.7746047375662328,-4.0,-1.0,8.0,4.0,1.0,8.0,15,15,15
01548500,IC-CMA-ES,IC-CMA-ES,test,0.202088630482319,S3,0.05580520072695816,7.0,-7.0,0.011163205202754267,0.5428298469642613,0.5986350476912194,0.5874718424884652,-15.0,1.0,8.0,15.0,1.0,8.0,15,15,15
01549500,IC-CMA-ES,IC-CMA-ES,test,0.186519052942025,S3,0.04994464534291665,-17.0,-18.0,0.06043291641924864,0.3165477905245082,0.36649243586742486,0.3060595194481762,-3.0,-2.0,20.0,3.0,2.0,20.0,15,15,15
01550000,IC-CMA-ES,IC-CMA-ES,test,0.179825512854574,S3,0.09174548491107981,-6.0,-10.0,0.047478222452675856,0.5633742054688748,0.6551196903799547,0.6076414679272788,-9.0,-5.0,15.0,9.0,5.0,15.0,15,15,15
01552000,IC-CMA-ES,IC-CMA-ES,test,0.17305912288721,S3,0.09152604727569058,-1.0,-4.0,0.07726929968576246,0.5290651154708294,0.6205911627465199,0.5433218630607575,-8.0,-5.0,9.0,8.0,5.0,9.0,15,15,15
01552500,IC-CMA-ES,IC-CMA-ES,test,0.185169707979555,S3,0.08294490603092664,-11.0,-10.0,0.0621975282226952,0.6860512205323224,0.768996126563249,0.7067985983405538,-1.0,-2.0,12.0,1.0,2.0,12.0,15,15,15
01557500,IC-CMA-ES,IC-CMA-ES,test,0.15867182381751,S3,0.09410653950558323,-1.0,-5.0,0.1607188333364986,0.7482840736570915,0.8423906131626747,0.6816717798261761,-7.0,3.0,8.0,7.0,3.0,8.0,15,15,15
